unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/919_main_units																															
cha_avar_guard		0	heavy	1	false	cha_avar_guard	80	0	950	cha_longship_transport	1	40	160	0	950			100	heavy	-1		false	false	0	11102	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
cha_avar_noble_archers		0	heavy	1	false	cha_avar_noble_archers	80	0	800	cha_longship_transport	1	40	160	0	800			270	medium	-1		false	false	0	11157	true		nomad	att_cav_bow_land	att_special_transportship_naval	3
cha_avar_tribesmen		0	medium	1	false	cha_avar_tribesmen	160	0	550	cha_longship_transport	1	40	160	0	550			160	medium	-1		false	false	0	11177	true		nomad	att_inf_bow_land	att_special_transportship_naval	2
cha_bre_armorican_cav		0	heavy	1	false	cha_bre_armorican_cav	80	0	900	cha_transport	1	40	160	0	900			270	heavy	-1		false	false	0	11179	true		roman_christian	att_cav_melee_land	att_special_transportship_naval	2
cha_bre_armorican_knights		0	heavy	1	false	cha_bre_armorican_knights	80	0	1000	cha_transport	1	40	160	0	1000			300	heavy	-1		false	false	0	11181	true		roman_christian	att_cav_melee_land	att_special_transportship_naval	3
cha_byz_archers		0	light	1	false	cha_byz_archers	160	0	225	cha_transport	1	40	160	0	225			52	very_light	-1		false	false	0	11182	true		roman_christian	att_inf_bow_land	att_special_transportship_naval	1
cha_byz_armoured_archers		0	light	1	false	cha_byz_armoured_archers	160	0	400	cha_transport	1	40	160	0	400			95	medium	-1		false	false	0	11185	true		roman_christian	att_inf_bow_land	att_special_transportship_naval	2
cha_byz_castle_dromon_guard_marines		0	heavy	1	true	cha_byz_guard_marines	128	0	1000	cha_castle_dromon	1	40	160	0	1000			100	heavy	-1		false	false	0	11190	true		roman_christian	att_inf_sword_marine	att_inf_sword_naval	3
cha_byz_duxs_guard		0	heavy	1	false	cha_byz_duxs_guard	80	0	1100	cha_transport	1	40	160	0	1200			100	very_heavy	-1		false	false	0	11207	true		roman_christian	att_cav_melee_land	att_special_transportship_naval	2
cha_byz_skirm		0	light	1	false	cha_byz_skirm	160	0	150	cha_transport	1	40	160	0	150			36	very_light	-1		false	false	0	11238	true		roman_christian	att_inf_javelin_land	att_special_transportship_naval	1
cha_byz_skutatoi		20	heavy	1	false	cha_byz_skutatoi	160	0	700	cha_transport	1	40	160	0	700			210	heavy	-1		false	false	0	11248	true		roman_christian	att_inf_sword_land	att_special_transportship_naval	2
cha_byz_skutatoi_axemen		20	heavy	1	false	cha_byz_skutatoi_axemen	160	0	750	cha_transport	1	40	160	0	750			225	heavy	-1		false	false	0	11251	true		roman_christian	att_inf_axe_land	att_special_transportship_naval	2
cha_byz_skutatoi_spear		30	heavy	1	false	cha_byz_skutatoi_spear	160	0	600	cha_transport	1	40	160	0	600			180	heavy	-1		false	false	0	11261	true		roman_christian	att_inf_spear_land	att_special_transportship_naval	2
cha_byz_tagmata_cavalry		30	heavy	1	false	cha_byz_tagmata_cavalry	80	0	950	cha_transport	1	40	160	0	950			285	very_heavy	-1		false	false	0	11271	true		roman_christian	att_cav_melee_land	att_special_transportship_naval	3
cha_cel_ceithern		0	light	1	false	cha_cel_ceithern	160	0	250	cha_longship_transport	1	40	160	0	250			75	very_light	-1		false	false	0	11316	true		barbarian_christian	att_inf_javelin_land	att_special_transportship_naval	1
cha_cel_currach_teulu_marines		0	heavy	1	true	cha_cel_teulu_marines	128	0	1000	cha_currach	1	40	160	0	1000			100	heavy	-1		false	false	0	12459	true		barbarian_christian	att_inf_sword_marine	att_inf_sword_naval	3
cha_cel_dragonship_teulu_marines		0	heavy	1	true	cha_cel_teulu_marines	128	0	1000	cha_coracle	1	40	160	0	1000			100	heavy	-1		false	false	0	11282	true		barbarian_christian	att_inf_sword_marine	att_inf_sword_naval	3
cha_cel_gaillmhigh		6	medium	1	false	cha_cel_gaillmhigh	160	3	550	cha_longship_transport	1	40	160	0	550			150	very_light	-1		false	false	0	14726	false		barbarian_christian	att_inf_javelin_land	att_special_transportship_naval	1
cha_cel_gazelhounds		0	medium	1	false	cha_cel_gazelhounds	40	0	140	cha_longship_transport	1	10	40	0	140			55	medium	-1		false	false	0	11298	true		barbarian_christian	att_special_wardog_land	att_special_transportship_naval	1
cha_cel_horsemen		0	medium	1	false	cha_cel_horsemen	80	0	350	cha_longship_transport	1	40	160	0	350			120	light	-1		false	false	0	11308	true		barbarian_christian	att_cav_melee_land	att_special_transportship_naval	1
cha_cel_kings_fianna		0	heavy	1	false	cha_cel_kings_fianna	80	0	800	cha_longship_transport	1	40	160	0	800			100	heavy	-1		false	false	0	11318	true		barbarian_christian	att_cav_melee_land	att_special_transportship_naval	3
cha_cel_kings_warband		0	heavy	1	false	cha_cel_kings_warband	160	0	900	cha_longship_transport	1	40	160	0	900			270	heavy	-1		false	false	0	11327	true		barbarian_christian	att_inf_sword_land	att_special_transportship_naval	3
cha_cel_levy_archers		0	light	1	false	cha_cel_levy_archers	160	0	150	cha_longship_transport	1	40	160	0	150			45	very_light	-1		false	false	0	11331	true		barbarian_christian	att_inf_bow_land	att_special_transportship_naval	1
cha_cel_pictish_archers		0	light	1	false	cha_cel_pictish_archers	160	0	200	cha_longship_transport	1	40	160	0	200			60	very_light	-1		false	false	0	11373	true		barbarian_christian	att_inf_bow_land	att_special_transportship_naval	2
cha_cel_pictish_nobles		0	heavy	1	false	cha_cel_pictish_nobles	80	0	900	cha_longship_transport	1	40	160	0	900			100	heavy	-1		false	false	0	11387	true		barbarian_christian	att_cav_melee_land	att_special_transportship_naval	3
cha_cel_royal_horsemen		0	heavy	1	false	cha_cel_royal_horsemen	80	0	800	cha_longship_transport	1	40	160	0	800			240	heavy	-1		false	false	0	11392	true		barbarian_christian	att_cav_melee_land	att_special_transportship_naval	3
cha_cel_teulu		0	heavy	1	false	cha_cel_teulu	80	0	1000	cha_longship_transport	1	40	160	0	1000			100	heavy	-1		false	false	0	11421	true		barbarian_christian	att_cav_melee_land	att_special_transportship_naval	3
cha_cel_welsh_longbowmen		0	light	1	false	cha_cel_welsh_longbowmen	160	0	300	cha_longship_transport	1	40	160	0	300			75	very_light	-1		false	false	0	11426	true		barbarian_christian	att_inf_bow_land	att_special_transportship_naval	1
cha_eng_fyrd_javelinmen		0	light	1	false	cha_eng_fyrd_javelinmen	160	0	150	cha_longship_transport	1	40	160	0	150			36	very_light	-1		false	false	0	11455	true		barbarian_christian	att_inf_javelin_land	att_special_transportship_naval	1
