unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_BTW_main_units																															
BTW_Nights_Watch_MAA_Swordsmen		0	medium	1	false	BTW_Nights_Watch_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591129	true		nomad	Wall_Watch	att_special_transportship_naval	2
BTW_Nights_Watch_MAA_Crossbowmen		0	light	1	false	BTW_Nights_Watch_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591130	true		nomad	Wall_Watch	att_special_transportship_naval	2
BTW_Nights_Watch_MAA_Longbowmen		0	light	1	false	BTW_Nights_Watch_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591131	true		nomad	Wall_Watch	att_special_transportship_naval	2
BTW_Nights_Watch_MAA_Mounted_Swordsmen		0	medium	1	false	BTW_Nights_Watch_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591132	true		nomad	Wall_Watch	att_special_transportship_naval	2
BTW_Nights_Watch_MAA_Spearmen		0	medium	1	false	BTW_Nights_Watch_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591133	true		nomad	Wall_Watch	att_special_transportship_naval	2
BTW_Nights_Watch_Guard_Rangers		0	heavy	1	false	BTW_Nights_Watch_Guard_Rangers	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591134	true		nomad	Wall_Watch	att_special_transportship_naval	3
BTW_Jeor_Mormont		0	heavy	1	false	BTW_Jeor_Mormont	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591135	true		nomad	Wall_Watch	att_special_transportship_naval	3
BTW_Jon_Snow		0	heavy	1	false	BTW_Jon_Snow	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591136	true		nomad	Wall_Watch	att_special_transportship_naval	3
BTW_Alliser_Thorne		0	heavy	1	false	BTW_Alliser_Thorne	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591137	true		nomad	Wall_Watch	att_special_transportship_naval	3
BTW_Night_King_Army_Ancient_Wight_Infantry		0	light	1	false	BTW_Night_King_Army_Ancient_Wight_Infantry	300	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591138	true		nomad	Wall_WW	att_special_transportship_naval	3
BTW_Night_King_Army_Wight_Infantry		0	medium	1	false	BTW_Night_King_Army_Wight_Infantry	300	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591139	true		nomad	Wall_WW	att_special_transportship_naval	3
BTW_Mance_Rayder		0	heavy	1	false	BTW_Mance_Rayder	160	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591140	true		nomad	Wall_Free_Folk	att_special_transportship_naval	2
BTW_Wildling_MAA_Swordsmen		0	medium	1	false	BTW_Wildling_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591141	true		nomad	Wall_Free_Folk	att_special_transportship_naval	2
BTW_Wildling_MAA_Axemen		0	medium	1	false	BTW_Wildling_MAA_Axemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591142	true		nomad	Wall_Free_Folk	att_special_transportship_naval	2
BTW_Wildling_MAA_Archers		0	light	1	false	BTW_Wildling_MAA_Archers	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591143	true		nomad	Wall_Free_Folk	att_special_transportship_naval	2
BTW_Wildling_MAA_Spearmen		0	medium	1	false	BTW_Wildling_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591144	true		nomad	Wall_Free_Folk	att_special_transportship_naval	2
BTW_Wildling_Guard_Spearmen		0	heavy	1	false	BTW_Wildling_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591145	true		nomad	Wall_Free_Folk	att_special_transportship_naval	3
BTW_Wildling_Guard_Axemen		0	heavy	1	false	BTW_Wildling_Guard_Axemen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591146	true		nomad	Wall_Free_Folk	att_special_transportship_naval	3
