unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Catapults_main_units																															
Westerlands_Lannister_Catapult		0	light	1	false	Westerlands_Lannister_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059101	true		roman	West_Lannister	att_special_transportship_naval	2
Westerlands_Brax_Catapult		0	light	1	false	Westerlands_Brax_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059102	true		roman	West_Brax	att_special_transportship_naval	2
North_Bolton_Catapult		0	light	1	false	North_Bolton_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059103	true		roman	North_Bolton	att_special_transportship_naval	2
North_Glover_Catapult		0	light	1	false	North_Glover_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059104	true		roman	North_Glover	att_special_transportship_naval	2
North_Hornwood_Catapult		0	light	1	false	North_Hornwood_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059105	true		roman	North_Hornwood	att_special_transportship_naval	2
North_Karstark_Catapult		0	light	1	false	North_Karstark_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059106	true		roman	North_Karstark	att_special_transportship_naval	2
North_Mormont_Catapult		0	light	1	false	North_Mormont_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059108	true		roman	North_Mormont	att_special_transportship_naval	2
North_Stark_Catapult		0	light	1	false	North_Stark_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059109	true		roman	North_Stark	att_special_transportship_naval	2
North_Umber_Catapult		0	light	1	false	North_Umber_Catapult	40	0	2800	att_cor_light_rom	1	10	40	0	425			215	light	-1		false	false	0	30059110	true		roman	North_Umber	att_special_transportship_naval	2
