unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Crownlands_main_units																															
Crownlands_Kings_Landing_Goldcloak_Swordsmen		0	medium	1	false	Crownlands_Kings_Landing_Goldcloak_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059188	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	2
Crownlands_Kings_Landing_Goldcloak_Crossbowmen		0	medium	1	false	Crownlands_Kings_Landing_Goldcloak_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059189	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	2
Crownlands_Kings_Landing_Goldcloak_Mounted_Swordsmen		0	medium	1	false	Crownlands_Kings_Landing_Goldcloak_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059190	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	2
Crownlands_Kings_Landing_Goldcloak_Spearmen		0	medium	1	false	Crownlands_Kings_Landing_Goldcloak_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059191	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	2
Crownlands_Kings_Landing_Peasants		0	light	1	false	Crownlands_Kings_Landing_Peasants	160	0	500	att_lon_light_tra_hun	1	40	160	0	550			300	light	-1		false	false	0	30059192	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	1
Crownlands_Kings_Landing_Faith_Militant		0	light	1	false	Crownlands_Kings_Landing_Faith_Militant	160	0	750	att_lon_light_tra_hun	1	40	160	0	550			300	light	-1		false	false	0	30059193	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	1
Crownlands_Robert_Baratheon		0	heavy	1	false	Crownlands_Robert_Baratheon	8	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059194	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	3
Crownlands_Tommen_Baratheon		0	heavy	1	false	Crownlands_Tommen_Baratheon	8	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059195	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	3
Crownlands_Joffrey_Baratheon		0	heavy	1	false	Crownlands_Joffrey_Baratheon	8	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059196	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	3
Crownlands_Bronn		0	heavy	1	false	Crownlands_Bronn	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059197	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	3
Crownlands_Sandor_Clegane		0	heavy	1	false	Crownlands_Sandor_Clegane	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059198	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	3
Crownlands_Kings_Landing_Golden_Company_Swordsmen		0	medium	1	false	Crownlands_Kings_Landing_Golden_Company_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059199	true		nomad	Crown_Golden_Company	att_special_transportship_naval	2
Crownlands_Kings_Landing_Golden_Company_Spearmen		0	medium	1	false	Crownlands_Kings_Landing_Golden_Company_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059200	true		nomad	Crown_Golden_Company	att_special_transportship_naval	2
Crownlands_Kings_Landing_Golden_Company_Elephants		0	heavy	4	false	Crownlands_Kings_Landing_Golden_Company_Elephants	24	0	2500	att_cor_light_rom	1	6	24	0	2750			1715	super_heavy	-1		false	false	0	30059201	true		nomad	Crown_Golden_Company	att_special_transportship_naval	3
Crownlands_Kings_Landing_Golden_Company_Harry_Strickland		0	heavy	1	false	Crownlands_Kings_Landing_Golden_Company_Harry_Strickland	80	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059202	true		nomad	Crown_Golden_Company	att_special_transportship_naval	2
Crownlands_Kings_Landing_Golden_Company_Longbowmen		0	light	1	false	Crownlands_Kings_Landing_Golden_Company_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059203	true		nomad	Crown_Golden_Company	att_special_transportship_naval	2
Crownlands_Jaime_Lannister		0	heavy	1	false	Crownlands_Jaime_Lannister	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059204	true		nomad	Crown_Kings_Landing	att_special_transportship_naval	3
