unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Essos_main_units																															
Essos_Targaryen_Unsullied_Spearmen		0	medium	1	false	Essos_Targaryen_Unsullied_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591119	true		nomad	Essos_Targaryen	att_special_transportship_naval	2
Essos_Targaryen_Greyworm		0	medium	1	false	Essos_Targaryen_Greyworm	160	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591120	true		nomad	Essos_Targaryen	att_special_transportship_naval	2
Essos_Targaryen_Unsullied_Swordsmen		0	medium	1	false	Essos_Targaryen_Unsullied_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591121	true		nomad	Essos_Targaryen	att_special_transportship_naval	2
Essos_Targaryen_Unsullied_Pikemen		0	medium	1	false	Essos_Targaryen_Unsullied_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591122	true		nomad	Essos_Targaryen	att_special_transportship_naval	2
Essos_Targaryen_Dothraki_Bloodriders		0	heavy	1	false	Essos_Targaryen_Dothraki_Bloodriders	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591124	true		nomad	Essos_Targaryen	att_special_transportship_naval	2
Essos_Targaryen_Dothraki_Khalasar		0	heavy	1	false	Essos_Targaryen_Dothraki_Khalasar	200	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591126	true		nomad	Essos_Targaryen	att_special_transportship_naval	3
Essos_Targaryen_Barristan_Selmy		0	heavy	1	false	Essos_Targaryen_Barristan_Selmy	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591127	true		nomad	Essos_Targaryen	att_special_transportship_naval	3
Essos_Targaryen_Jorah_Mormont		0	heavy	1	false	Essos_Targaryen_Jorah_Mormont	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591128	true		nomad	Essos_Targaryen	att_special_transportship_naval	3
Essos_Targaryen_Qhono		0	heavy	1	false	Essos_Targaryen_Qhono	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591129	true		nomad	Essos_Targaryen	att_special_transportship_naval	3
Essos_Targaryen_Dothraki_Mounted_Archers		0	medium	1	false	Essos_Targaryen_Dothraki_Mounted_Archers	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591125	true		nomad	Essos_Targaryen	att_special_transportship_naval	2
