unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Iron_Islands_main_units																															
Iron_Islands_Greyjoy_MAA_Swordsmen		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059161	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_MAA_Bowmen		0	light	1	false	Iron_Islands_Greyjoy_MAA_Bowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059162	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_MAA_Spearmen		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059163	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_Guard_Swordsmen		0	heavy	1	false	Iron_Islands_Greyjoy_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059164	true		nomad	Iron_Greyjoy	att_special_transportship_naval	3
Iron_Islands_Euron_Greyjoy		0	heavy	1	false	Iron_Islands_Euron_Greyjoy	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059165	true		nomad	Iron_Greyjoy	att_special_transportship_naval	3
Iron_Islands_Greyjoy_MAA_Axemen		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Axemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059166	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_MAA_Infantry		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Infantry	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059167	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Yara_Greyjoy		0	heavy	1	false	Iron_Islands_Yara_Greyjoy	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059168	true		nomad	Iron_Greyjoy	att_special_transportship_naval	3
Iron_Islands_Theon_Greyjoy		0	heavy	1	false	Iron_Islands_Theon_Greyjoy	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059169	true		nomad	Iron_Greyjoy	att_special_transportship_naval	3
Iron_Islands_Greyjoy_MAA_Halberdiers		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Halberdiers	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059170	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_MAA_Billmen		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059171	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_MAA_Lance_Cavalry		0	heavy	1	false	Iron_Islands_Greyjoy_MAA_Lance_Cavalry	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059172	true		nomad	Iron_Greyjoy	att_special_transportship_naval	3
Iron_Islands_Greyjoy_MAA_Mounted_Swordsmen		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059173	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_MAA_Pikemen		0	medium	1	false	Iron_Islands_Greyjoy_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059174	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Greyjoy_Guard_Spearmen		0	heavy	1	false	Iron_Islands_Greyjoy_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059175	true		nomad	Iron_Greyjoy	att_special_transportship_naval	3
Iron_Islands_Greyjoy_MAA_Crossbowmen		0	light	1	false	Iron_Islands_Greyjoy_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059176	true		nomad	Iron_Greyjoy	att_special_transportship_naval	2
Iron_Islands_Harlaw_MAA_Crossbowmen		0	light	1	false	Iron_Islands_Harlaw_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059176	true		nomad	Iron_Harlaw	att_special_transportship_naval	2
Iron_Islands_Harlaw_MAA_Pikemen		0	medium	1	false	Iron_Islands_Harlaw_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059174	true		nomad	Iron_Harlaw	att_special_transportship_naval	2
Iron_Islands_Harlaw_MAA_Mounted_Swordsmen		0	medium	1	false	Iron_Islands_Harlaw_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059173	true		nomad	Iron_Harlaw	att_special_transportship_naval	2
Iron_Islands_Harlaw_MAA_Lance_Cavalry		0	heavy	1	false	Iron_Islands_Harlaw_MAA_Lance_Cavalry	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059172	true		nomad	Iron_Harlaw	att_special_transportship_naval	3
Iron_Islands_Harlaw_MAA_Billmen		0	medium	1	false	Iron_Islands_Harlaw_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059171	true		nomad	Iron_Harlaw	att_special_transportship_naval	2
Iron_Islands_Harlaw_MAA_Halberdiers		0	medium	1	false	Iron_Islands_Harlaw_MAA_Halberdiers	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059170	true		nomad	Iron_Harlaw	att_special_transportship_naval	2
