unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_North_main_units																															
North_Stark_MAA_Swordsmen		0	medium	1	false	North_Stark_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059122	true		nomad	North_Stark	att_special_transportship_naval	2
North_Stark_MAA_Crossbowmen		0	light	1	false	North_Stark_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059123	true		nomad	North_Stark	att_special_transportship_naval	2
North_Stark_MAA_Longbowmen		0	light	1	false	North_Stark_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059124	true		nomad	North_Stark	att_special_transportship_naval	2
North_Stark_MAA_Mounted_Swordsmen		0	medium	1	false	North_Stark_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059125	true		nomad	North_Stark	att_special_transportship_naval	2
North_Stark_MAA_Pikemen		0	medium	1	false	North_Stark_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059126	true		nomad	North_Stark	att_special_transportship_naval	2
North_Stark_MAA_Spearmen		0	medium	1	false	North_Stark_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059127	true		nomad	North_Stark	att_special_transportship_naval	2
North_Stark_Guard_Spearmen		0	heavy	1	false	North_Stark_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059128	true		nomad	North_Stark	att_special_transportship_naval	3
North_Stark_Guard_Swordsmen		0	heavy	1	false	North_Stark_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059129	true		nomad	North_Stark	att_special_transportship_naval	3
North_Robb_Stark		0	heavy	1	false	North_Robb_Stark	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059130	true		nomad	North_Stark	att_special_transportship_naval	3
North_Eddard_Stark		0	heavy	1	false	North_Eddard_Stark	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059132	true		nomad	North_Stark	att_special_transportship_naval	3
North_Jon_Snow		0	heavy	1	false	North_Jon_Snow	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059133	true		nomad	North_Stark	att_special_transportship_naval	3
North_Bolton_MAA_Swordsmen		0	medium	1	false	North_Bolton_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059134	true		nomad	North_Bolton	att_special_transportship_naval	2
North_Bolton_MAA_Longbowmen		0	light	1	false	North_Bolton_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059135	true		nomad	North_Bolton	att_special_transportship_naval	2
North_Bolton_MAA_Mounted_Swordsmen		0	medium	1	false	North_Bolton_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059136	true		nomad	North_Bolton	att_special_transportship_naval	2
