unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Reach_main_units																															
Reach_Tyrell_MAA_Swordsmen		0	medium	1	false	Reach_Tyrell_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059170	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tyrell_MAA_Crossbowmen		0	light	1	false	Reach_Tyrell_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059171	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tyrell_MAA_Longbowmen		0	light	1	false	Reach_Tyrell_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059172	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tyrell_MAA_Mounted_Swordsmen		0	medium	1	false	Reach_Tyrell_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059173	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tyrell_MAA_Pikemen		0	medium	1	false	Reach_Tyrell_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059174	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tyrell_MAA_Spearmen		0	medium	1	false	Reach_Tyrell_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059175	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tyrell_Guard_Spearmen		0	heavy	1	false	Reach_Tyrell_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059176	true		nomad	Reach_Tyrell	att_special_transportship_naval	3
Reach_Tyrell_Guard_Swordsmen		0	heavy	1	false	Reach_Tyrell_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059177	true		nomad	Reach_Tyrell	att_special_transportship_naval	3
Reach_Mace_Tyrell		0	heavy	1	false	Reach_Mace_Tyrell	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059178	true		nomad	Reach_Tyrell	att_special_transportship_naval	3
Reach_Loras_Tyrell		0	heavy	1	false	Reach_Loras_Tyrell	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059180	true		nomad	Reach_Tyrell	att_special_transportship_naval	3
Reach_Tarly_MAA_Swordsmen		0	medium	1	false	Reach_Tarly_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059181	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tarly_MAA_Longbowmen		0	light	1	false	Reach_Tarly_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059182	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tarly_MAA_Mounted_Swordsmen		0	medium	1	false	Reach_Tarly_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059183	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tarly_MAA_Pikemen		0	medium	1	false	Reach_Tarly_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059184	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tarly_MAA_Spearmen		0	medium	1	false	Reach_Tarly_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059185	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tarly_Guard_Spearmen		0	heavy	1	false	Reach_Tarly_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059186	true		nomad	Reach_Tarly	att_special_transportship_naval	3
Reach_Tarly_Guard_Swordsmen		0	heavy	1	false	Reach_Tarly_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059187	true		nomad	Reach_Tarly	att_special_transportship_naval	3
Reach_Randyll_Tarly		0	heavy	1	false	Reach_Randyll_Tarly	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059188	true		nomad	Reach_Tarly	att_special_transportship_naval	3
Reach_Dickon_Tarly		0	heavy	1	false	Reach_Dickon_Tarly	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059190	true		nomad	Reach_Tarly	att_special_transportship_naval	3
Reach_Tyrell_MAA_Halberdiers		0	medium	1	false	Reach_Tyrell_MAA_Halberdiers	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059198	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tarly_MAA_Halberdiers		0	medium	1	false	Reach_Tarly_MAA_Halberdiers	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059199	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tyrell_MAA_Axemen		0	medium	1	false	Reach_Tyrell_MAA_Axemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591100	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tarly_MAA_Axemen		0	medium	1	false	Reach_Tarly_MAA_Axemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591101	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tyrell_MAA_Billmen		0	medium	1	false	Reach_Tyrell_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591102	true		nomad	Reach_Tyrell	att_special_transportship_naval	2
Reach_Tarly_MAA_Billmen		0	medium	1	false	Reach_Tarly_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591103	true		nomad	Reach_Tarly	att_special_transportship_naval	2
Reach_Tyrell_MAA_Lance_Cavalry		0	heavy	1	false	Reach_Tyrell_MAA_Lance_Cavalry	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591104	true		nomad	Reach_Tyrell	att_special_transportship_naval	3
Reach_Tarly_MAA_Lance_Cavalry		0	heavy	1	false	Reach_Tarly_MAA_Lance_Cavalry	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591105	true		nomad	Reach_Tarly	att_special_transportship_naval	3
Reach_Tarly_MAA_Crossbowmen		0	light	1	false	Reach_Tarly_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591106	true		nomad	Reach_Tarly	att_special_transportship_naval	2
