unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Riverlands_main_units																															
Riverlands_Tully_MAA_Swordsmen		0	medium	1	false	Riverlands_Tully_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059198	true		nomad	River_Tully	att_special_transportship_naval	2
Riverlands_Tully_MAA_Crossbowmen		0	light	1	false	Riverlands_Tully_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059199	true		nomad	River_Tully	att_special_transportship_naval	2
Riverlands_Tully_MAA_Longbowmen		0	light	1	false	Riverlands_Tully_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591100	true		nomad	River_Tully	att_special_transportship_naval	2
Riverlands_Tully_MAA_Mounted_Swordsmen		0	medium	1	false	Riverlands_Tully_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591101	true		nomad	River_Tully	att_special_transportship_naval	2
Riverlands_Tully_MAA_Pikemen		0	medium	1	false	Riverlands_Tully_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591102	true		nomad	River_Tully	att_special_transportship_naval	2
Riverlands_Tully_MAA_Spearmen		0	medium	1	false	Riverlands_Tully_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591103	true		nomad	River_Tully	att_special_transportship_naval	2
Riverlands_Tully_Guard_Spearmen		0	heavy	1	false	Riverlands_Tully_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591104	true		nomad	River_Tully	att_special_transportship_naval	3
Riverlands_Tully_Guard_Swordsmen		0	heavy	1	false	Riverlands_Tully_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591105	true		nomad	River_Tully	att_special_transportship_naval	3
Riverlands_Edmure_Tully		0	heavy	1	false	Riverlands_Edmure_Tully	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591106	true		nomad	River_Tully	att_special_transportship_naval	3
Riverlands_Tully_MAA_Billmen		0	medium	1	false	Riverlands_Tully_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591107	true		nomad	River_Tully	att_special_transportship_naval	2
Riverlands_Blackfish_Tully		0	heavy	1	false	Riverlands_Blackfish_Tully	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591108	true		nomad	River_Tully	att_special_transportship_naval	3
Riverlands_Mallister_MAA_Swordsmen		0	medium	1	false	Riverlands_Mallister_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591109	true		nomad	River_Mallister	att_special_transportship_naval	2
Riverlands_Mallister_MAA_Longbowmen		0	light	1	false	Riverlands_Mallister_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591110	true		nomad	River_Mallister	att_special_transportship_naval	2
Riverlands_Mallister_MAA_Pikemen		0	medium	1	false	Riverlands_Mallister_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591111	true		nomad	River_Mallister	att_special_transportship_naval	2
Riverlands_Mallister_MAA_Mounted_Swordsmen		0	medium	1	false	Riverlands_Mallister_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591112	true		nomad	River_Mallister	att_special_transportship_naval	2
Riverlands_Mallister_MAA_Spearmen		0	medium	1	false	Riverlands_Mallister_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591113	true		nomad	River_Mallister	att_special_transportship_naval	2
Riverlands_Mallister_MAA_Billmen		0	medium	1	false	Riverlands_Mallister_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591114	true		nomad	River_Mallister	att_special_transportship_naval	2
Riverlands_Jaremy_Mallister		0	heavy	1	false	Riverlands_Jaremy_Mallister	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591115	true		nomad	River_Mallister	att_special_transportship_naval	3
