unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Stormlands_main_units																															
Stormlands_Renly_MAA_Swordsmen		0	medium	1	false	Stormlands_Renly_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059101	true		nomad	Storm_Renly	att_special_transportship_naval	2
Stormlands_Renly_MAA_Axemen		0	medium	1	false	Stormlands_Renly_MAA_Axemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059102	true		nomad	Storm_Renly	att_special_transportship_naval	2
Stormlands_Renly_MAA_Crossbowmen		0	light	1	false	Stormlands_Renly_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059103	true		nomad	Storm_Renly	att_special_transportship_naval	2
Stormlands_Renly_MAA_Longbowmen		0	light	1	false	Stormlands_Renly_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059104	true		nomad	Storm_Renly	att_special_transportship_naval	2
Stormlands_Renly_MAA_Mounted_Swordsmen		0	medium	1	false	Stormlands_Renly_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059105	true		nomad	Storm_Renly	att_special_transportship_naval	2
Stormlands_Renly_MAA_Pikemen		0	medium	1	false	Stormlands_Renly_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059106	true		nomad	Storm_Renly	att_special_transportship_naval	2
Stormlands_Renly_MAA_Spearmen		0	medium	1	false	Stormlands_Renly_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059107	true		nomad	Storm_Renly	att_special_transportship_naval	2
Stormlands_Renly_Guard_Spearmen		0	heavy	1	false	Stormlands_Renly_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059108	true		nomad	Storm_Renly	att_special_transportship_naval	3
Stormlands_Renly_Guard_Swordsmen		0	heavy	1	false	Stormlands_Renly_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059109	true		nomad	Storm_Renly	att_special_transportship_naval	3
Stormlands_Renly_Baratheon		0	heavy	1	false	Stormlands_Renly_Baratheon	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059110	true		nomad	Storm_Renly	att_special_transportship_naval	3
