unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Vale_main_units																															
Vale_Arryn_MAA_Swordsmen		0	medium	1	false	Vale_Arryn_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059122	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Arryn_MAA_Crossbowmen		0	light	1	false	Vale_Arryn_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059123	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Arryn_MAA_Longbowmen		0	light	1	false	Vale_Arryn_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059124	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Arryn_MAA_Mounted_Swordsmen		0	medium	1	false	Vale_Arryn_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059125	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Arryn_MAA_Pikemen		0	medium	1	false	Vale_Arryn_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059126	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Arryn_MAA_Spearmen		0	medium	1	false	Vale_Arryn_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059127	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Arryn_Guard_Spearmen		0	heavy	1	false	Vale_Arryn_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059128	true		nomad	Vale_Arryn	att_special_transportship_naval	3
Vale_Arryn_Guard_Swordsmen		0	heavy	1	false	Vale_Arryn_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059129	true		nomad	Vale_Arryn	att_special_transportship_naval	3
Vale_Vardis_Egen		0	heavy	1	false	Vale_Vardis_Egen	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059130	true		nomad	Vale_Arryn	att_special_transportship_naval	3
Vale_Arryn_Faction_Specialist_Lance_Cavalry		0	heavy	1	false	Vale_Arryn_Faction_Specialist_Lance_Cavalry	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059131	true		nomad	Vale_Arryn	att_special_transportship_naval	3
Vale_Royce_MAA_Swordsmen		0	medium	1	false	Vale_Royce_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059132	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Royce_MAA_Longbowmen		0	light	1	false	Vale_Royce_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059135	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Royce_MAA_Mounted_Swordsmen		0	medium	1	false	Vale_Royce_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059136	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Royce_MAA_Pikemen		0	medium	1	false	Vale_Royce_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059137	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Royce_MAA_Spearmen		0	medium	1	false	Vale_Royce_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059138	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Yohn_Royce		0	heavy	1	false	Vale_Yohn_Royce	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059139	true		nomad	Vale_Royce	att_special_transportship_naval	3
Vale_Royce_MAA_Lance_Cavalry		0	heavy	1	false	Vale_Royce_MAA_Lance_Cavalry	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059140	true		nomad	Vale_Royce	att_special_transportship_naval	3
Vale_Arryn_MAA_Halberdiers		0	medium	1	false	Vale_Arryn_MAA_Halberdiers	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059141	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Royce_MAA_Halberdiers		0	medium	1	false	Vale_Royce_MAA_Halberdiers	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059142	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Arryn_MAA_Axemen		0	medium	1	false	Vale_Arryn_MAA_Axemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059143	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Royce_MAA_Axemen		0	medium	1	false	Vale_Royce_MAA_Axemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059144	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Arryn_MAA_Billmen		0	medium	1	false	Vale_Arryn_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059145	true		nomad	Vale_Arryn	att_special_transportship_naval	2
Vale_Royce_MAA_Billmen		0	medium	1	false	Vale_Royce_MAA_Billmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059146	true		nomad	Vale_Royce	att_special_transportship_naval	2
Vale_Royce_MAA_Crossbowmen		0	light	1	false	Vale_Royce_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059147	true		nomad	Vale_Royce	att_special_transportship_naval	2
