unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/7K_Westerlands_main_units																															
Westerlands_Lannister_MAA_Swordsmen		0	medium	1	false	Westerlands_Lannister_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059141	true		nomad	West_Lannister	att_special_transportship_naval	2
Westerlands_Lannister_MAA_Crossbowmen		0	light	1	false	Westerlands_Lannister_MAA_Crossbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059142	true		nomad	West_Lannister	att_special_transportship_naval	2
Westerlands_Lannister_MAA_Longbowmen		0	light	1	false	Westerlands_Lannister_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059143	true		nomad	West_Lannister	att_special_transportship_naval	2
Westerlands_Lannister_MAA_Mounted_Swordsmen		0	medium	1	false	Westerlands_Lannister_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059144	true		nomad	West_Lannister	att_special_transportship_naval	2
Westerlands_Lannister_MAA_Pikemen		0	medium	1	false	Westerlands_Lannister_MAA_Pikemen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059145	true		nomad	West_Lannister	att_special_transportship_naval	2
Westerlands_Lannister_MAA_Spearmen		0	medium	1	false	Westerlands_Lannister_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	30059146	true		nomad	West_Lannister	att_special_transportship_naval	2
Westerlands_Lannister_Guard_Spearmen		0	heavy	1	false	Westerlands_Lannister_Guard_Spearmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059147	true		nomad	West_Lannister	att_special_transportship_naval	3
Westerlands_Lannister_Guard_Swordsmen		0	heavy	1	false	Westerlands_Lannister_Guard_Swordsmen	160	0	2500	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059148	true		nomad	West_Lannister	att_special_transportship_naval	3
Westerlands_Tywin_Lannister		0	heavy	1	false	Westerlands_Tywin_Lannister	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	30059149	true		nomad	West_Lannister	att_special_transportship_naval	3
