unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/Morrigen_Stormlands_main_units																															
Stormlands_Morrigen_MAA_Swordsmen		0	medium	1	false	Stormlands_Morrigen_MAA_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591109	true		nomad	Storm_Morrigen	att_special_transportship_naval	2
Stormlands_Morrigen_MAA_Longbowmen		0	light	1	false	Stormlands_Morrigen_MAA_Longbowmen	160	0	1000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591110	true		nomad	Storm_Morrigen	att_special_transportship_naval	2
Stormlands_Morrigen_MAA_Mounted_Swordsmen		0	medium	1	false	Stormlands_Morrigen_MAA_Mounted_Swordsmen	80	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591112	true		nomad	Storm_Morrigen	att_special_transportship_naval	2
Stormlands_Morrigen_MAA_Spearmen		0	medium	1	false	Stormlands_Morrigen_MAA_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591113	true		nomad	Storm_Morrigen	att_special_transportship_naval	2
Stormlands_Guyard_Morrigen		0	heavy	1	false	Stormlands_Guyard_Morrigen	40	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591115	true		nomad	Storm_Morrigen	att_special_transportship_naval	3
Stormlands_Morrigen_MAA_Lance_Cavalry		0	heavy	1	false	Stormlands_Morrigen_MAA_Lance_Cavalry	100	0	2000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591137	true		nomad	Storm_Morrigen	att_special_transportship_naval	3
Stormlands_Stannis		0	heavy	1	false	Stormlands_Stannis	30	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591115	true		nomad	Storm_Dragonstone	att_special_transportship_naval	3
Stormlands_Renly		0	heavy	1	false	Stormlands_Renly	1	1	3000	att_lon_light_tra_hun	1	40	160	0	550			300	heavy	-1		false	false	0	300591115	true		nomad	Storm_Renly	att_special_transportship_naval	3
Stormlands_Morrigen_Guard_Swordsmen		0	medium	1	false	Stormlands_Morrigen_Guard_Swordsmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591109	true		nomad	Storm_Dragonstone	att_special_transportship_naval	2
Stormlands_Morrigen_Guard_Spearmen		0	medium	1	false	Stormlands_Morrigen_Guard_Spearmen	160	0	1500	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	300591113	true		nomad	Storm_Dragonstone	att_special_transportship_naval	2
