unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/AOCR_main_units																															
cha_avar_dragonship_guard_marines		0	heavy	1	true	cha_avar_guard_boatmen	160	0	1000	cha_kondura	1	40	160	0	1000			300	very_heavy	-1		false	false	0	11097	true		nomad	att_inf_sword_marine	att_inf_sword_naval	3
cha_avar_foot_archers		0	light	1	false	cha_avar_foot_archers	240	0	275	cha_longship_transport	1	40	240	0	275			60	very_light	-1		false	false	0	11099	true		nomad	att_inf_bow_land	att_special_transportship_naval	1
cha_avar_guard		0	heavy	1	false	cha_avar_guard	120	0	950	cha_longship_transport	1	40	160	0	1200			100	very_heavy	-1		false	false	0	11102	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
cha_avar_horse_archers		0	light	1	false	cha_avar_horse_archers	120	0	400	cha_longship_transport	1	40	160	0	400			120	very_light	-1		false	false	0	11109	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
cha_avar_horse_masters		0	heavy	1	false	cha_avar_horse_masters	120	0	950	cha_longship_transport	1	40	160	0	1000			300	heavy	-1		false	false	0	11114	true		nomad	att_cav_bow_land	att_special_transportship_naval	3
cha_avar_lancers		0	light	1	false	cha_avar_lancers	120	0	500	cha_longship_transport	1	40	160	0	500			150	light	-1		false	false	0	11124	true		nomad	att_cav_shock_land	att_special_transportship_naval	2
cha_avar_levy_archers		0	light	1	false	cha_avar_levy_archers	180	0	205	cha_longship_transport	1	40	180	0	0			0	very_light	-1		false	false	0	11126	true		nomad	att_inf_bow_land	att_special_transportship_naval	1
cha_avar_levy_spear		0	medium	1	false	cha_avar_levy_spear	300	0	150	cha_longship_transport	1	40	160	0	150			45	medium	-1		false	false	0	11133	true		nomad	att_inf_spear_land	att_special_transportship_naval	1
cha_avar_longship_boatmen		0	medium	1	true	cha_avar_boatmen	160	0	500	cha_sagena	1	40	160	0	500			150	medium	-1		false	false	0	11136	true		nomad	att_inf_sword_marine	att_inf_sword_naval	1
cha_avar_longship_heavy_boatmen		0	heavy	1	true	cha_avar_heavy_boatmen	160	0	600	cha_sagena	1	40	160	0	600			180	heavy	-1		false	false	0	11141	true		nomad	att_inf_sword_marine	att_inf_sword_naval	2
