unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/ARM_custom_main_units																															
ARM_spear_levy		0	medium	1	false	ARM_spear_levy	300	0	300	att_lon_light_tra_hun	1	40	300	0	300			100	medium	-1		false	false	0	6600010	false		eastern	att_inf_spear_land	att_special_transportship_naval	1
ARM_spear_heavy		0	heavy	1	false	ARM_spear_heavy	300	0	900	att_lon_light_tra_hun	1	40	300	0	900			330	heavy	-1		false	false	0	6600011	false		eastern	att_inf_spear_land	att_special_transportship_naval	3
ARM_azats		0	heavy	1	false	ARM_azats	120	0	750	att_cor_heavy_rom	1	20	300	0	750			350	heavy	-1		false	false	0	6600012	false		eastern_generic	att_cav_shock_land	att_special_transportship_naval	2
ARM_nakhara		0	heavy	1	false	ARM_nakhara	120	0	800	att_cor_light_rom	1	20	300	0	800			450	very_heavy	-1		false	false	0	6600013	false		eastern_generic	att_cav_bow_land	att_special_transportship_naval	3
ARM_skirmishers		0	light	1	false	ARM_skirmishers	136	0	180	att_cor_light_rom	1	20	300	0	180			90	very_light	-1		false	false	0	6600014	false		eastern	att_inf_javelin_land	att_special_transportship_naval	1
ARM_halberdiers		0	heavy	1	false	ARM_halberdiers	240	0	360	att_cor_light_rom	1	20	300	0	360			90	heavy	-1		false	false	0	6600015	false		eastern	att_inf_axe_land	att_special_transportship_naval	2
ARM_light_halberdiers		0	light	1	false	ARM_light_halberdiers	256	0	180	att_cor_light_rom	1	20	300	0	120			90	light	-1		false	false	0	6600016	false		eastern	att_inf_pike_land	att_special_transportship_naval	1
ARM_foot_guards		0	heavy	1	false	ARM_foot_guards	240	0	1080	att_cor_light_rom	1	20	300	0	1200			590	heavy	-1		false	false	0	6600017	false		eastern	att_inf_axe_land	att_special_transportship_naval	3
ARM_town_levy		0	light	1	false	ARM_town_levy	240	0	100	att_cor_light_rom	1	20	300	0	100			59	light	-1		false	false	0	6600018	false		eastern	att_inf_axe_land	att_special_transportship_naval	1
ARM_heavy_axemen		0	heavy	1	false	ARM_heavy_axemen	240	0	540	att_cor_light_rom	1	20	300	0	600			295	heavy	-1		false	false	0	6600019	false		eastern	att_inf_axe_land	att_special_transportship_naval	2
ARM_mountain_archers		0	light	1	false	ARM_mountain_archers	136	0	130	att_cor_light_rom	1	20	300	0	140			95	very_light	-1		false	false	0	6600020	false	khorsoran	eastern	att_inf_bow_land	att_special_transportship_naval	1
ARM_heavy_archers		0	heavy	1	false	ARM_heavy_archers	240	0	830	att_cor_light_rom	1	20	300	0	1140			540	heavy	-1		false	false	0	6600021	false	khorsoran	eastern	att_inf_bow_land	att_special_transportship_naval	3
ARM_horseman_levy		0	light	1	false	ARM_horseman_levy	120	0	240	att_cor_light_rom	1	20	300	0	240			185	light	-1		false	false	0	6600022	false		eastern	att_cav_shock_land	att_special_transportship_naval	1
ARM_mountain_horsemen		0	light	1	false	ARM_mountain_horsemen	120	0	260	att_cor_light_rom	1	20	300	0	260			195	light	-1		false	false	0	6600023	false	khorsoran	eastern	att_cav_javelin_land	att_special_transportship_naval	1
ARM_light_cavalry		0	light	1	false	ARM_light_cavalry	120	0	280	att_cor_light_rom	1	20	300	0	380			295	light	-1		false	false	0	6600024	false		eastern	att_cav_shock_land	att_special_transportship_naval	2
ARM_ayriudzi		0	heavy	1	false	ARM_ayriudzi	120	0	1280	att_cor_light_rom	1	20	300	0	1280			1180	very_heavy	-1		false	false	0	6600025	false	khorsoran	eastern	att_cav_shock_land	att_special_transportship_naval	3
