unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/KOK_main_units																															
kok_khazars		0	light	1	false	kok_khazars	120	0	350	att_lon_light_tra_hun	1	40	300	0	380			195	light	-1		false	false	0	770021	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
kok_oq_horse_archers		0	medium	1	false	kok_oq_horse_archers	120	0	900	att_lon_light_tra_hun	1	40	300	0	650			370	medium	-1		false	false	0	770022	true		nomad	att_cav_bow_land	att_special_transportship_naval	2
kok_cha_gen_armoured_spear		0	medium	1	false	kok_cha_gen_armoured_spear	300	0	195	att_lon_light_tra_hun	1	40	300	0	195			180	medium	-1		false	false	0	770023	true		nomad	att_inf_spear_land	att_special_transportship_naval	2
KOK_cha_bre_armorican_cav		0	medium	1	false	KOK_cha_bre_armorican_cav	120	0	900	att_lon_light_tra_hun	1	40	300	0	650			370	medium	-1		false	false	0	770024	true		nomad	att_cav_shock_land	att_special_transportship_naval	2
KOK_cha_bre_armorican_knights		0	heavy	1	false	KOK_cha_bre_armorican_knights	120	0	1000	att_lon_light_tra_hun	1	40	300	0	1000			500	heavy	-1		false	false	0	770025	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
KOK_cha_gen_archers		0	heavy	1	false	KOK_cha_gen_archers	240	0	400	att_lon_light_tra_hun	1	40	300	0	400			360	heavy	-1		false	false	0	770026	true		nomad	att_inf_bow_land	att_special_transportship_naval	3
KOK_cha_gen_armoured_sword		0	heavy	1	false	KOK_cha_gen_armoured_sword	300	0	700	att_lon_light_tra_hun	1	40	300	0	700			410	heavy	-1		false	false	0	770027	true		nomad	att_inf_sword_land	att_special_transportship_naval	2
KOK_axe_warriors		0	heavy	1	false	KOK_axe_warriors	300	0	690	att_lon_light_tra_hun	1	40	300	0	680			390	heavy	-1		false	false	0	770028	true		nomad	att_inf_axe_land	att_special_transportship_naval	3
KOK_cha_gen_spear		0	heavy	1	false	KOK_cha_gen_spear	300	0	600	att_lon_light_tra_hun	1	40	300	0	600			360	heavy	-1		false	false	0	770029	true		nomad	att_inf_spear_land	att_special_transportship_naval	3
KOK_cha_gen_skirm_cav		0	light	1	false	KOK_cha_gen_skirm_cav	120	0	350	att_lon_light_tra_hun	1	40	300	0	350			155	very_light	-1		false	false	0	770030	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
KOK_cha_gen_guard_cav		0	heavy	1	false	KOK_cha_gen_guard_cav	120	0	1100	att_lon_light_tra_hun	1	40	300	0	800			500	very_heavy	-1		false	false	0	770031	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
KOK_steppe_bows		0	medium	1	false	KOK_steppe_bows	240	0	360	att_lon_light_tra_hun	1	40	300	0	360			240	medium	-1		false	false	0	770032	true		nomad	att_inf_bow_land	att_special_transportship_naval	1
KOK_steppe_levy		0	light	1	false	KOK_steppe_levy	300	0	140	att_cor_light_rom	1	0	300	0	120			90	light	-1		false	false	0	770033	false		barbarian_pagan	att_inf_spear_land	att_special_transportship_naval	1
