unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/LOM_main_units																															
CORD_dux_bellorum		0	heavy	1	false	CORD_dux_bellorum	120	0	1100	att_cor_heavy_rom	1	40	300	0	700			420	heavy	-1		false	false	0	990000	true		roman	att_cav_melee_land	att_special_transportship_naval	3
LOM_fara_spears		0	light	1	false	LOM_fara_spears	300	0	270	att_lon_heavy_tra_ger	1	40	300	0	220			110	light	-1		false	false	0	990001	true		barbarian	att_inf_spear_land	att_special_transportship_naval	1
LOM_arimanni_spears		0	medium	1	false	LOM_arimanni_spears	300	0	300	att_lon_heavy_tra_ger	1	40	300	0	260			160	medium	-1		false	false	0	990002	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
LOM_gasindii_spearmen		0	heavy	1	false	LOM_gasindii_spearmen	300	0	625	att_lon_heavy_tra_ger	1	40	300	0	625			350	heavy	-1		false	false	0	990003	true		barbarian	att_inf_spear_land	att_special_transportship_naval	3
LOM_fara_skirm		0	light	1	false	LOM_fara_skirm	120	0	275	att_lon_heavy_tra_ger	1	40	300	0	210			140	light	-1		false	false	0	990004	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
LOM_lancers		0	medium	1	false	LOM_lancers	120	0	675	att_cor_light_rom	1	20	300	0	675			235	medium	-1		false	false	0	990005	true		barbarian	att_cav_shock_land	att_special_transportship_naval	1
LOM_viri_devoti		0	light	1	false	LOM_viri_devoti	120	0	480	att_lon_light_tra_ger	1	20	300	0	475			230	light	-1		false	false	0	990006	true		barbarian	att_cav_shock_land	att_special_transportship_naval	1
LOM_exercitales		0	medium	1	false	LOM_exercitales	120	0	500	att_lon_light_tra_ger	1	20	300	0	500			250	medium	-1		false	false	0	990007	true		barbarian	att_cav_shock_land	att_special_transportship_naval	2
LOM_att_nom_hunnic_lancers		4	medium	1	false	LOM_att_nom_hunnic_lancers	120	0	575	att_cor_light_rom	1	20	300	0	575			330	medium	-1		false	false	0	990008	true	italy	nomad	att_cav_shock_land	att_special_transportship_naval	2
HORDE_LOM_arimanni_spears		0	medium	1	false	HORDE_LOM_arimanni_spears	300	0	1	att_lon_heavy_tra_ger	1	40	300	0	1			1	medium	-1		false	false	0	990009	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
HORDE_att_ger_langobard_clubmen		0	heavy	1	false	HORDE_att_ger_langobard_clubmen	300	0	1	att_lon_heavy_tra_ger	1	40	300	0	1			1	heavy	-1		false	false	0	990010	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
HORDE_att_ger_godansmen		0	medium	1	false	HORDE_att_ger_godansmen	300	0	1	att_lon_heavy_tra_ger	1	40	300	0	1			1	medium	-1		false	false	0	990011	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
HORDE_att_ger_germanic_warband		0	medium	1	false	HORDE_att_ger_germanic_warband	300	0	1	att_lon_heavy_tra_ger	1	40	300	0	1			1	medium	-1		false	false	0	990012	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
HORDE_att_ger_germanic_hunters		0	light	1	false	HORDE_att_ger_germanic_hunters	120	0	1	att_lon_heavy_tra_ger	1	40	300	0	1			1	very_light	-1		false	false	0	990013	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
HORDE_LOM_fara_skirm		0	light	1	false	HORDE_LOM_fara_skirm	120	0	1	att_lon_heavy_tra_ger	1	40	300	0	1			1	light	-1		false	false	0	990014	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
HORDE_LOM_exercitales		0	medium	1	false	HORDE_LOM_exercitales	120	0	1	att_lon_light_tra_ger	1	20	300	0	1			1	medium	-1		false	false	0	990015	true		barbarian	att_cav_shock_land	att_special_transportship_naval	2
HORDE_LOM_lancers		0	medium	1	false	HORDE_LOM_lancers	120	0	1	att_cor_light_rom	1	20	300	0	1			1	medium	-1		false	false	0	990016	true		barbarian	att_cav_shock_land	att_special_transportship_naval	1
HORDE_att_ger_germanic_night_raiders		0	light	1	false	HORDE_att_ger_germanic_night_raiders	120	0	1	att_lon_light_tra_ger	1	20	300	0	1			1	light	-1		false	false	0	990017	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	3
