unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/AOJ_main_units																															
att_alan_alani_cavalry_raiders		0	light	1	false	att_alan_alani_cavalry_raiders	120	0	450	att_lon_light_tra_hun	1	40	300	0	450			270	very_light	-1		false	false	0	661165	true		nomad	att_cav_javelin_land	att_special_transportship_naval	1
att_alan_alani_cavalry_warriors		0	generic	1	false	att_alan_alani_cavalry_warriors	120	0	400	att_lon_light_tra_hun	1	20	300	0	400			180	medium	-1		false	false	0	661166	true		nomad	att_cav_shock_land	att_special_transportship_naval	1
att_alan_alani_chosen_raiders		0	medium	1	false	att_alan_alani_chosen_raiders	120	0	900	att_lon_light_tra_hun	1	40	300	0	900			600	medium	-1		false	false	0	661167	true		nomad	att_cav_javelin_land	att_special_transportship_naval	3
att_alan_alani_horse_archers		0	medium	1	false	att_alan_alani_horse_archers	120	0	475	att_lon_light_tra_hun	1	20	300	0	475			250	medium	-1		false	false	0	661168	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
att_alan_alani_mounted_bows		0	light	1	false	att_alan_alani_mounted_bows	120	0	450	att_lon_light_tra_hun	1	20	300	0	450			200	very_light	-1		false	false	0	661169	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
att_alan_alani_mounted_sword_raiders		0	medium	1	false	att_alan_alani_mounted_sword_raiders	120	0	600	att_lon_light_tra_hun	1	40	300	0	600			350	medium	-1		false	false	0	661170	true		nomad	att_cav_javelin_land	att_special_transportship_naval	2
att_alan_alani_nobles_general		0	medium	1	false	att_alan_alani_nobles_general	120	0	450	att_lon_light_tra_ger	1	20	300	0	450			200	medium	-1		false	false	0	661171	true		nomad	att_cav_shock_land	att_special_transportship_naval	1
att_alan_alani_swordsmen		0	medium	1	false	att_alan_alani_swordsmen	300	0	300	att_lon_light_tra_hun	1	40	300	0	550			300	medium	-1		false	false	0	661172	true		nomad	att_inf_sword_land	att_special_transportship_naval	1
att_alan_alani_warriors		0	light	1	false	att_alan_alani_warriors	300	0	300	att_lon_light_tra_hun	1	40	300	0	300			200	medium	-1		false	false	0	661173	true		nomad	att_inf_sword_land	att_special_transportship_naval	2
att_alan_anti_cav_light_tier_3		0	medium	1	false	att_alan_anti_cav_light_tier_3	120	0	500	att_lon_light_tra_hun	1	20	300	0	500			380	medium	-1		false	false	0	661174	true		nomad	att_cav_shock_land	att_special_transportship_naval	2
att_alan_anti_cav_light_tier_4		0	medium	1	false	att_alan_anti_cav_light_tier_4	120	0	650	att_lon_light_tra_hun	1	20	300	0	650			500	medium	-1		false	false	0	661175	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
att_alan_onager		0	light	1	false	att_alan_onager	40	0	425	att_lon_light_tra_ger	1	10	300	0	325			215	light	-1		false	false	0	661176	true		barbarian	att_art_field_land	att_special_transportship_naval	1
att_alan_sarmatian_band		0	light	1	false	att_alan_sarmatian_band	300	0	150	att_lon_light_tra_hun	1	40	300	0	150			75	medium	-1		false	false	0	661177	true		nomad	att_inf_axe_land	att_special_transportship_naval	1
att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5		0	heavy	1	false	att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5	120	0	1150	att_lon_light_tra_hun	1	20	300	0	1150			650	very_heavy	-1		false	false	0	661178	true		nomad	att_cav_melee_land	att_special_transportship_naval	3
att_alan_sarmatian_shock_tier_1		0	medium	1	false	att_alan_sarmatian_shock_tier_1	120	0	400	att_lon_light_tra_hun	1	20	300	0	400			200	medium	-1		false	false	0	661179	true		nomad	att_cav_shock_land	att_special_transportship_naval	1
att_alan_sarmatian_shock_tier_4		0	heavy	1	false	att_alan_sarmatian_shock_tier_4	120	0	980	att_lon_light_tra_hun	1	20	300	0	980			570	medium	-1		false	false	0	661180	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
att_alan_tank		0	heavy	1	false	att_alan_tank	120	0	1200	att_lon_light_tra_hun	1	20	300	0	1200			650	very_heavy	-1		false	false	0	661181	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
att_cel_black_blades		0	heavy	1	false	att_cel_black_blades	240	0	725	att_lon_heavy_tra_cel	1	40	300	0	725			360	heavy	-1		false	false	0	661182	true		barbarian	att_inf_sword_land	att_special_transportship_naval	3
att_cel_caledonian_axemen		0	medium	1	false	att_cel_caledonian_axemen	240	0	575	att_lon_heavy_tra_cel	1	40	300	0	575			285	medium	-1		false	false	0	661183	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
att_cel_cateran_brigade		0	heavy	1	false	att_cel_cateran_brigade	240	0	525	att_lon_heavy_tra_cel	1	40	300	0	525			265	heavy	-1		false	false	0	661184	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
BRIT_rherel		0	heavy	1	false	BRIT_rherel	240	0	525	att_lon_heavy_tra_cel	1	40	300	0	525			265	heavy	-1		false	false	0	661185	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
att_cel_celtic_archers		0	light	1	false	att_cel_celtic_archers	180	0	180	att_lon_heavy_tra_cel	1	40	300	0	180			90	very_light	-1		false	false	0	661186	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
att_cel_celtic_axe_band		0	medium	1	false	att_cel_celtic_axe_band	240	0	425	att_lon_heavy_tra_cel	1	40	300	0	425			210	medium	-1		false	false	0	661187	true		barbarian	att_inf_axe_land	att_special_transportship_naval	1
att_cel_celtic_axe_warriors		0	medium	1	false	att_cel_celtic_axe_warriors	240	0	500	att_lon_heavy_tra_cel	1	40	300	0	500			245	medium	-1		false	false	0	661188	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
att_cel_celtic_band		0	light	1	false	att_cel_celtic_band	240	0	230	att_lon_heavy_tra_cel	1	40	300	0	230			115	light	-1		false	false	0	661189	true		barbarian	att_inf_sword_land	att_special_transportship_naval	1
