unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/MAURI_main_units																															
MAUR_tuareg_riders		0	medium	1	false	MAUR_tuareg_riders	120	0	700	att_cor_light_rom	1	40	300	0	700			280	medium	-1		false	false	0	660001	true		eastern	att_cav_shock_land	att_special_transportship_naval	2
MAUR_amazigh_tribesmen		0	medium	1	false	MAUR_amazigh_tribesmen	300	0	500	att_cor_light_rom	1	40	300	0	500			250	medium	-1		false	false	0	660003	true		eastern	att_inf_sword_land	att_special_transportship_naval	1
MAUR_spear_throwers		0	light	1	false	MAUR_spear_throwers	200	0	200	att_cor_light_rom	1	40	300	0	200			120	very_light	-1		false	false	0	660005	true		eastern	att_inf_javelin_land	att_special_transportship_naval	1
MAUR_amazigh_archers		0	light	1	false	MAUR_amazigh_archers	160	0	200	att_cor_light_rom	1	40	300	0	200			108	very_light	-1		false	false	0	660008	true		eastern	att_inf_bow_land	att_special_transportship_naval	1
MAUR_amxzni_sagittarii		8	medium	1	false	MAUR_amxzni_sagittarii	160	0	325	att_cor_light_rom	1	40	300	0	325			372	medium	-1		false	false	0	660010	true		eastern	att_inf_bow_land	att_special_transportship_naval	2
MAUR_catafractarii		4	heavy	1	false	MAUR_catafractarii	120	0	850	att_cor_light_rom	1	40	300	0	850			910	heavy	-1		false	false	0	660012	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
MAUR_ilguman		0	light	1	false	MAUR_ilguman	120	0	450	att_cor_light_rom	1	40	300	0	450			235	very_light	-1		false	false	0	660016	true		eastern	att_cav_javelin_land	att_special_transportship_naval	1
MAUR_amazigh_raiders		0	light	1	false	MAUR_amazigh_raiders	120	0	400	att_cor_light_rom	1	40	300	0	400			220	light	-1		false	false	0	660019	true		eastern	att_cav_shock_land	att_special_transportship_naval	1
MAUR_amazigh_tribal_horsemen		0	light	1	false	MAUR_amazigh_tribal_horsemen	120	0	400	att_cor_light_rom	1	40	300	0	400			205	very_light	-1		false	false	0	660021	true		eastern	att_cav_javelin_land	att_special_transportship_naval	1
MAUR_limitanei_spears		0	medium	1	false	MAUR_limitanei_spears	300	0	200	att_cor_light_rom	1	40	300	0	400			220	medium	-1		false	false	0	660023	true		eastern	att_inf_spear_land	att_special_transportship_naval	1
MAUR_agher_spears		0	medium	1	false	MAUR_agher_spears	300	0	450	att_cor_light_rom	1	40	300	0	450			235	medium	-1		false	false	0	660025	true		eastern	att_inf_spear_land	att_special_transportship_naval	2
MAUR_slingers		0	light	1	false	MAUR_slingers	200	0	200	att_cor_light_rom	1	40	300	0	200			78	very_light	-1		false	false	0	660035	true		eastern	att_inf_sling_land	att_special_transportship_naval	1
MAUR_amxzni		8	heavy	1	false	MAUR_amxzni	300	0	1000	att_cor_light_rom	1	40	300	0	1000			300	very_heavy	-1		false	false	0	660038	true		eastern	att_inf_spear_land	att_special_transportship_naval	3
