unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/CUSTOM_MERC_main_units																															
MERC_gallo_noble		5	heavy	1	false	MERC_gallo_noble	120	0	1200	att_cor_heavy_rom	1	40	240	0	1200			640	heavy	-1		false	false	0	14677	false		roman_christian	att_cav_shock_land	att_special_transportship_naval	2
MERC_gothic_milites		0	medium	1	false	MERC_gothic_milites	300	0	550	att_cor_heavy_rom	1	40	300	0	550			310	medium	-1		false	false	0	14678	false		barbarian_christian	att_inf_spear_land	att_special_transportship_naval	2
MERC_huns		0	light	1	false	MERC_huns	120	0	490	att_lon_light_tra_hun	1	20	120	0	490			350	light	-1		false	false	0	14679	false		nomad_hunnic	att_cav_bow_land	att_special_transportship_naval	3
MERC_sword_celts		0	light	1	false	MERC_sword_celts	240	0	400	att_lon_light_tra_cel	1	20	300	0	400			200	light	-1		false	false	0	14680	false		barbarian_christian	att_inf_sword_land	att_special_transportship_naval	2
MERC_hirelings		0	heavy	1	false	MERC_hirelings	240	0	800	att_lon_light_tra_cel	1	20	300	0	1400			800	heavy	-1		false	false	0	14681	false		barbarian_christian	att_inf_sword_land	att_special_transportship_naval	3
MERC_armorican_milites		0	medium	1	false	MERC_armorican_milites	300	0	390	att_cor_heavy_rom	1	20	300	0	390			290	medium	-1		false	false	0	14682	false		roman_christian	att_inf_spear_land	att_special_transportship_naval	1
MERC_vascon_ambushers		0	light_merc	1	false	MERC_vascon_ambushers	180	0	220	att_dro_light_mis_ger	1	20	240	0	360			180	very_light	-1		false	false	0	14683	false		barbarian_pagan	att_inf_javelin_land	att_special_transportship_naval	1
MERC_vascon_javelin_cav		0	light_merc	1	false	MERC_vascon_javelin_cav	120	0	280	att_cor_heavy_rom	1	20	240	0	560			260	very_light	-1		false	false	0	14684	false		barbarian_pagan	att_cav_javelin_land	att_special_transportship_naval	1
MERC_massed_archers_germanic		0	medium_merc	1	false	MERC_massed_archers_germanic	240	0	440	att_cor_heavy_rom	1	20	300	0	480			240	medium	-1		false	false	0	14685	false		barbarian_christian	att_inf_bow_land	att_special_transportship_naval	1
MERC_vascon_slingers		0	light_merc	1	false	MERC_vascon_slingers	90	0	180	att_cor_heavy_rom	1	10	200	0	300			180	very_light	-1		false	false	0	14686	false		barbarian	att_inf_sling_land	att_special_transportship_naval	0
MERC_noble_alani_fra		0	heavy_merc	1	false	MERC_noble_alani_fra	90	0	720	att_cor_heavy_rom	1	20	240	0	1140			720	heavy	-1		false	false	0	14687	false		barbarian_sarmatian	att_cav_shock_land	att_special_transportship_naval	2
MERC_sarmatae		0	heavy_merc	1	false	MERC_sarmatae	100	0	880	att_cor_heavy_rom	1	20	240	0	1600			900	heavy	-1		false	false	0	14688	false		barbarian_sarmatian	att_cav_shock_land	att_special_transportship_naval	3
MERC_saxon_spears		0	heavy_merc	1	false	MERC_saxon_spears	240	0	625	att_lon_heavy_mel_nor	1	20	300	0	625			525	heavy	-1		false	false	0	14689	false		barbarian	att_inf_spear_land	att_special_transportship_naval	3
MERC_bucellarii_pedites_FRA		0	heavy_merc	1	false	MERC_bucellarii_pedites_FRA	240	0	600	att_cor_heavy_rom	1	20	300	0	600			410	heavy	-1		false	false	0	14690	false		barbarian_christian	att_inf_spear_land	att_special_transportship_naval	2
MERC_alamanni_nobles		0	medium_merc	0	false	MERC_alamanni_nobles	90	0	725	att_cor_heavy_rom	1	20	160	0	900			560	medium	-1		false	false	0	14691	false		barbarian_christian	att_cav_shock_land	att_special_transportship_naval	2
MERC_large_onager		0	light	1	false	MERC_large_onager	40	0	210	att_lon_light_tra_ger	1	10	200	0	210			210	light	-1		false	false	0	14692	false		roman	att_art_field_land	att_special_transportship_naval	1
MERC_voini_javelins		0	light_merc	1	false	MERC_voini_javelins	136	0	175	att_lon_heavy_tra_ger	1	20	240	0	490			175	very_light	-1		false	false	0	14693	false		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
MERC_syrian_archers		0	medium_merc	1	false	MERC_syrian_archers	240	0	750	att_cor_heavy_rom	1	40	300	0	1250			625	medium	-1		false	false	0	14694	false		eastern	att_inf_bow_land	att_special_transportship_naval	2
MERC_ERE_perso_armenii		0	medium	1	false	MERC_ERE_perso_armenii	100	0	475	att_cor_heavy_rom	1	20	300	0	1400			610	medium	-1		false	false	0	14695	false		eastern_persian	att_cav_shock_land	att_special_transportship_naval	3
MERC_ERE_perso_iustiniani		0	heavy	1	false	MERC_ERE_perso_iustiniani	100	0	875	att_cor_heavy_rom	0	20	300	0	1350			675	heavy	-1		false	false	0	14696	false		eastern_persian	att_cav_shock_land	att_special_transportship_naval	3
MERC_armenian_spearmen		0	heavy_merc	1	false	MERC_armenian_spearmen	240	0	450	att_cor_heavy_rom	1	40	300	0	900			500	heavy	-1		false	false	0	14697	false		eastern_persian	att_inf_spear_land	att_special_transportship_naval	2
MERC_bulgaroi_spears		0	heavy_merc	1	false	MERC_bulgaroi_spears	260	0	980	att_cor_light_rom	1	40	300	0	980			340	heavy	-1		false	false	0	14698	false		barbarian_pagan	att_inf_spear_land	att_special_transportship_naval	2
MERC_avars		0	medium_merc	1	false	MERC_avars	100	0	950	att_cor_light_rom	1	20	300	0	950			525	medium	-1		false	false	0	14699	false		nomad	att_cav_shock_land	att_special_transportship_naval	3
MERC_bucellarii_german		0	heavy_merc	1	false	MERC_bucellarii_german	100	0	1050	att_cor_light_rom	1	20	300	0	1500			1050	heavy	-1		false	false	0	14700	false		barbarian_christian	att_cav_shock_land	att_special_transportship_naval	3
MERC_bucellarii_hun		0	heavy_merc	1	false	MERC_bucellarii_hun	100	0	1050	att_cor_light_rom	1	20	300	0	1500			1050	heavy	-1		false	false	0	14701	false		nomad	att_cav_bow_land	att_special_transportship_naval	3
MERC_bucellarii_persian		0	heavy_merc	1	false	MERC_bucellarii_persian	100	0	1050	att_cor_light_rom	1	20	300	0	1500			1050	heavy	-1		false	false	0	14702	false		eastern_persian	att_cav_bow_land	att_special_transportship_naval	3
MERC_isaurians		0	medium_merc	1	false	MERC_isaurians	240	0	850	att_cor_light_rom	1	40	300	0	1150			325	medium	-1		false	false	0	14703	false		eastern	att_inf_axe_land	att_special_transportship_naval	3
NOM_T2_horse_archers		0	medium	0	false	NOM_T2_horse_archers	120	0	250	att_cor_light_rom	1	20	300	0	50			50	medium	-1		false	false	0	14704	false		nomad	att_cav_bow_land	att_special_transportship_naval	2
NOM_T2_lancers		0	medium	0	false	NOM_T2_lancers	120	0	250	att_cor_light_rom	1	20	300	0	50			50	medium	-1		false	false	0	14705	false		nomad	att_cav_shock_land	att_special_transportship_naval	2
NOM_swords		0	medium	1	false	NOM_swords	300	0	250	att_cor_light_rom	1	40	300	0	50			50	medium	-1		false	false	0	14706	false		nomad	att_inf_sword_land	att_special_transportship_naval	2
