unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_arn_main_units																															
arn_spear_militia		0	medium	1	false	arn_spear_militia	190	0	550	good_transport_ship	1	40	190	0	550			140	tier_I_medium	-1		false	false	0	33333301	true		roman	att_inf_spear_land	att_special_transportship_naval	6
arn_sword_militia		0	medium	1	false	arn_sword_militia	190	0	625	good_transport_ship	1	40	190	0	625			155	tier_I_medium	-1		false	false	0	33333302	true		roman	att_inf_sword_land	att_special_transportship_naval	6
arn_mounted_scouts		0	light	1	false	arn_mounted_scouts	85	0	875	good_transport_ship	1	20	85	0	875			220	tier_I_very_light	-1		false	false	0	33333303	true		roman	spear_cavalry	att_special_transportship_naval	6
arn_eriador_hunters		0	light	1	false	arn_eriador_hunters	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	33333304	true		roman	att_inf_javelin_land	att_special_transportship_naval	6
arn_hobbit_shirrifs		0	light	1	false	arn_hobbit_shirrifs	190	0	375	good_transport_ship	1	40	190	0	375			95	tier_I_light	-1		false	false	0	33333305	true		roman	att_inf_bow_land	att_special_transportship_naval	6
arn_border_guards		0	heavy	1	false	arn_border_guards	190	0	700	good_transport_ship	1	40	190	0	700			200	tier_II_heavy	-1		false	false	0	33333306	true		roman	att_inf_spear_land	att_special_transportship_naval	6
arn_swordmen		0	heavy	1	false	arn_swordmen	170	0	775	good_transport_ship	1	40	170	0	775			220	tier_II_heavy	-1		false	false	0	33333307	true		roman	att_inf_sword_land	att_special_transportship_naval	6
arn_ranged_patrollers		0	medium	1	false	arn_ranged_patrollers	170	0	775	good_transport_ship	1	40	170	0	775			220	tier_II_medium	-1		false	false	0	33333308	true		roman	att_inf_bow_land	att_special_transportship_naval	6
arn_eriador_foresters		0	medium	1	false	arn_eriador_foresters	170	0	700	good_transport_ship	1	40	170	0	700			200	tier_II_medium	-1		false	false	0	33333309	true		roman	att_inf_axe_land	att_special_transportship_naval	6
arn_sergeants		0	heavy	1	false	arn_sergeants	80	0	1125	good_transport_ship	1	20	80	0	1125			305	tier_II_heavy	-1		false	false	0	33333310	true		roman	spear_cavalry	att_special_transportship_naval	6
arn_royal_infantry		0	heavy	1	false	arn_royal_infantry	130	0	1125	good_transport_ship	1	40	130	0	1125			330	tier_III_very_heavy	-1		false	false	0	33333311	true		roman	att_inf_sword_land	att_special_transportship_naval	4
arn_royal_wardens		0	heavy	1	false	arn_royal_wardens	130	0	1125	good_transport_ship	1	40	130	0	1125			330	tier_III_very_heavy	-1		false	false	0	33333312	true		roman	att_inf_pike_land	att_special_transportship_naval	4
arn_royal_marksmen		0	heavy	1	false	arn_royal_marksmen	130	0	1125	good_transport_ship	1	40	130	0	1125			305	tier_III_heavy	-1		false	false	0	33333313	true		roman	att_inf_bow_land	att_special_transportship_naval	4
arn_lords_westernesse		0	heavy	1	false	arn_lords_westernesse	110	0	1325	good_transport_ship	1	40	110	0	1325			405	tier_IV_very_heavy	-1		false	false	0	33333314	true		roman	att_inf_sword_land	att_special_transportship_naval	4
arn_marshals_annuminas		0	heavy	1	false	arn_marshals_annuminas	65	0	1825	good_transport_ship	1	20	65	0	1825			530	tier_IV_very_heavy	-1		false	false	0	33333315	true		roman	att_cav_shock_land	att_special_transportship_naval	4
arn_aragorn		0	heavy	1	false	arn_aragorn	65	0	1925	good_transport_ship	1	20	65	0	1925			530	tier_IV_very_heavy	-1		false	false	0	33333316	true		roman	att_cav_shock_land	att_special_transportship_naval	4
