unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_av_main_units																															
av_stoor_shirrifs		0	light	1	false	av_stoor_shirrifs	190	0	325	good_transport_ship	1	40	190	0	325			80	tier_I_very_light	-1		false	false	0	71371320	true		roman	att_inf_sling_land	att_special_transportship_naval	8
av_valesmen_archer_levy		0	light	1	false	av_valesmen_archer_levy	190	0	425	good_transport_ship	1	40	190	0	425			105	tier_I_very_light	-1		false	false	0	71371321	true		roman	att_inf_bow_land	att_special_transportship_naval	6
av_valesmen_levy		0	light	1	false	av_valesmen_levy	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	71371322	true		roman	att_inf_spear_land	att_special_transportship_naval	6
av_woodland_axemen		0	light	1	false	av_woodland_axemen	190	0	525	good_transport_ship	1	40	190	0	525			130	tier_I_very_light	-1		false	false	0	71371323	true		roman	att_inf_axe_land	att_special_transportship_naval	6
av_eotheod_outriders		0	light	1	false	av_eotheod_outriders	85	0	775	good_transport_ship	1	20	85	0	775			195	tier_I_very_light	-1		false	false	0	71371324	true		roman	att_cav_javelin_land	att_special_transportship_naval	6
av_vale_spearmen		0	medium	1	false	av_vale_spearmen	170	0	675	good_transport_ship	1	40	170	0	675			195	tier_II_medium	-1		false	false	0	71371325	true		roman	att_inf_spear_land	att_special_transportship_naval	6
av_vale_axemen		0	medium	1	false	av_vale_axemen	170	0	750	good_transport_ship	1	40	170	0	750			215	tier_II_medium	-1		false	false	0	71371326	true		roman	att_inf_axe_land	att_special_transportship_naval	6
av_vale_yeomen		0	light	1	false	av_vale_yeomen	170	0	725	good_transport_ship	1	40	170	0	725			205	tier_II_light	-1		false	false	0	71371327	true		roman	att_inf_bow_land	att_special_transportship_naval	6
av_greenwood_foresters		0	light	1	false	av_greenwood_foresters	170	0	800	good_transport_ship	1	40	170	0	800			225	tier_II_very_light	-1		false	false	0	71371328	true		roman	att_inf_axe_land	att_special_transportship_naval	6
av_eotheod_cavalry		0	medium	1	false	av_eotheod_cavalry	80	0	1025	good_transport_ship	1	20	80	0	1025			280	tier_II_medium	-1		false	false	0	71371329	true		roman	spear_cavalry	att_special_transportship_naval	6
av_anduin_sentinels		0	heavy	1	false	av_anduin_sentinels	140	0	900	good_transport_ship	1	40	140	0	900			275	tier_III_heavy	-1		false	false	0	71371330	true		roman	att_inf_spear_land	att_special_transportship_naval	6
av_anduin_longbowmen		0	medium	1	false	av_anduin_longbowmen	140	0	950	good_transport_ship	1	40	140	0	950			290	tier_III_medium	-1		false	false	0	71371331	true		roman	att_inf_bow_land	att_special_transportship_naval	6
av_greenwood_rangers		0	light	1	false	av_greenwood_rangers	140	0	1175	good_transport_ship	1	40	140	0	1175			170	tier_III_very_light	-1		false	false	0	71371332	true		roman	att_inf_javelin_land	att_special_transportship_naval	6
av_carrock_wardens		0	medium	1	false	av_carrock_wardens	140	0	950	good_transport_ship	1	40	140	0	950			290	tier_III_medium	-1		false	false	0	71371333	true		roman	att_inf_pike_land	att_special_transportship_naval	6
av_pass_sentries		0	medium	1	false	av_pass_sentries	140	0	1000	good_transport_ship	1	40	140	0	1000			300	tier_III_medium	-1		false	false	0	71371334	true		roman	att_inf_polearm_shock_land	att_special_transportship_naval	6
av_eotheod_footmen		0	heavy	1	false	av_eotheod_footmen	140	0	975	good_transport_ship	1	40	140	0	975			295	tier_III_heavy	-1		false	false	0	71371335	true		roman	att_inf_sword_land	att_special_transportship_naval	6
av_eotheod_lancers		0	heavy	1	false	av_eotheod_lancers	75	0	1400	good_transport_ship	1	20	75	0	1400			400	tier_III_heavy	-1		false	false	0	71371336	true		roman	att_cav_shock_land	att_special_transportship_naval	6
av_eotheod_horse_archers		0	heavy	1	false	av_eotheod_horse_archers	75	0	1375	good_transport_ship	1	20	75	0	1375			395	tier_III_heavy	-1		false	false	0	71371337	true		roman	att_cav_bow_land	att_special_transportship_naval	6
av_beorning_warriors		0	heavy	1	false	av_beorning_warriors	90	0	1375	good_transport_ship	1	20	90	0	1375			420	tier_IV_heavy	-1		false	false	0	71371338	true		roman	att_inf_polearm_shock_land	att_special_transportship_naval	6
av_eotheod_nobles		0	heavy	1	false	av_eotheod_nobles	70	0	1525	good_transport_ship	1	20	70	0	1525			455	tier_IV_very_heavy	-1		false	false	0	71371339	true		roman	spear_cavalry	att_special_transportship_naval	6
