unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_bal_main_units																															
bal_loke_rim_macemen		0	heavy	1	false	bal_loke_rim_macemen	140	0	1025	evil_transport_ship	1	40	140	0	1025			305	tier_III_very_heavy	-1		false	false	0	99991000	true		barbarian	att_inf_axe_land	att_special_transportship_naval	12
bal_loke_rim_archers		0	heavy	1	false	bal_loke_rim_archers	140	0	975	evil_transport_ship	1	40	140	0	975			295	tier_III_heavy	-1		false	false	0	99991001	true		barbarian	att_inf_bow_land	att_special_transportship_naval	12
bal_loke_rim_halberdiers		0	heavy	1	false	bal_loke_rim_halberdiers	140	0	975	evil_transport_ship	1	40	140	0	975			295	tier_III_heavy	-1		false	false	0	888881001	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	12
bal_variag_warriors		0	heavy	1	false	bal_variag_warriors	140	0	1025	evil_transport_ship	1	40	140	0	1025			305	tier_III_heavy	-1		false	false	0	888881002	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	12
bal_variag_bowmen		0	heavy	1	false	bal_variag_bowmen	140	0	1225	evil_transport_ship	1	40	140	0	1225			355	tier_III_very_heavy	-1		false	false	0	888881003	true		barbarian	att_inf_bow_land	att_special_transportship_naval	12
bal_bane_of_the_steppes		0	heavy	1	false	bal_bane_of_the_steppes	70	0	1550	evil_transport_ship	1	20	70	0	1550			465	tier_IV_very_heavy	-1		false	false	0	888881004	true		barbarian	att_cav_melee_land	att_special_transportship_naval	12
bal_variag_lancers		0	heavy	1	false	bal_variag_lancers	75	0	1325	evil_transport_ship	1	20	75	0	1325			380	tier_III_very_heavy	-1		false	false	0	888881005	true		barbarian	spear_cavalry	att_special_transportship_naval	12
bal_clan_guards		0	heavy	1	false	bal_clan_guards	140	0	875	evil_transport_ship	1	40	140	0	875			270	tier_III_heavy	-1		false	false	0	888881006	true		barbarian	att_inf_spear_land	att_special_transportship_naval	12
bal_rhunic_warlords		0	medium	1	false	bal_rhunic_warlords	120	0	1175	evil_transport_ship	1	40	120	0	1175			370	tier_IV_medium	-1		false	false	0	888881007	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	12
