unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_campaign_main_units																															
c_nom_desert_spears		0	light	1	false	c_nom_desert_spears	190	0	475	evil_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	989898980	true		barbarian	att_inf_spear_land	att_special_transportship_naval	11
c_nom_desert_bowmen		0	light	1	false	c_nom_desert_bowmen	190	0	475	evil_transport_ship	1	40	190	0	475			120	tier_I_very_light	-1		false	false	0	989898981	true		barbarian	att_inf_bow_land	att_special_transportship_naval	11
c_nom_desert_raiders		0	light	1	false	c_nom_desert_raiders	85	0	925	evil_transport_ship	1	20	85	0	925			230	tier_I_very_light	-1		false	false	0	989898982	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	11
c_nom_desert_trackers		0	light	1	false	c_nom_desert_trackers	190	0	600	evil_transport_ship	1	40	190	0	600			150	tier_I_very_light	-1		false	false	0	989898983	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	11
c_nom_desert_swords		0	light	1	false	c_nom_desert_swords	190	0	550	evil_transport_ship	1	40	190	0	550			140	tier_I_light	-1		false	false	0	989898984	true		barbarian	att_inf_sword_land	att_special_transportship_naval	11
c_anfalas_sword_militia		0	light	1	false	c_anfalas_sword_militia	190	0	525	good_transport_ship	1	40	190	0	525			130	tier_I_light	-1		false	false	0	989898985	true		roman	att_inf_sword_land	att_special_transportship_naval	6
c_anfalas_longspear_militia		0	light	1	false	c_anfalas_longspear_militia	190	0	525	good_transport_ship	1	40	190	0	525			130	tier_I_very_light	-1		false	false	0	989898986	true		roman	att_inf_polearm_land	att_special_transportship_naval	6
c_blackroot_vale_spear_militia		0	light	1	false	c_blackroot_vale_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	989898987	true		roman	att_inf_spear_land	att_special_transportship_naval	6
c_blackroot_vale_bow_militia		0	light	1	false	c_blackroot_vale_bow_militia	190	0	450	good_transport_ship	1	40	190	0	450			115	tier_I_very_light	-1		false	false	0	989898988	true		roman	att_inf_bow_land	att_special_transportship_naval	6
c_dol_amroth_spear_militia		0	light	1	false	c_dol_amroth_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	989898989	true		roman	att_inf_spear_land	att_special_transportship_naval	6
c_dol_amroth_patrollers		0	light	1	false	c_dol_amroth_patrollers	85	0	800	good_transport_ship	1	20	85	0	800			200	tier_I_very_light	-1		false	false	0	989898990	true		roman	spear_cavalry	att_special_transportship_naval	6
c_dol_amroth_guards		0	medium	1	false	c_dol_amroth_guards	155	0	925	good_transport_ship	1	40	190	0	925			255	tier_II_medium	-1		false	false	0	989898991	true		roman	att_inf_sword_land	att_special_transportship_naval	4
c_lossarnach_spear_militia		0	light	1	false	c_lossarnach_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	989898992	true		roman	att_inf_spear_land	att_special_transportship_naval	6
c_lossarnach_axe_militia		0	light	1	false	c_lossarnach_axe_militia	190	0	550	good_transport_ship	1	40	190	0	550			140	tier_I_very_light	-1		false	false	0	989898993	true		roman	att_inf_axe_land	att_special_transportship_naval	6
c_lebennin_coast_levies		0	light	1	false	c_lebennin_coast_levies	190	0	575	good_transport_ship	1	40	190	0	575			145	tier_I_light	-1		false	false	0	989898994	true		roman	att_inf_javelin_land	att_special_transportship_naval	6
c_lebennin_guards		0	heavy	1	false	c_lebennin_guards	70	0	1175	good_transport_ship	1	40	155	0	1175			320	tier_II_heavy	-1		false	false	0	989898995	true		roman	spear_cavalry	att_special_transportship_naval	4
c_pinnath_gelin_sword_militia		0	light	1	false	c_pinnath_gelin_sword_militia	190	0	550	good_transport_ship	1	40	190	0	550			140	tier_I_light	-1		false	false	0	989898996	true		roman	att_inf_sword_land	att_special_transportship_naval	6
c_pinnath_gelin_spear_militia		0	light	1	false	c_pinnath_gelin_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	989898997	true		roman	att_inf_spear_land	att_special_transportship_naval	6
c_ringlo_vale_spear_militia		0	light	1	false	c_ringlo_vale_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	989898998	true		roman	att_inf_spear_land	att_special_transportship_naval	6
c_ringlo_vale_bow_militia		0	light	1	false	c_ringlo_vale_bow_militia	190	0	450	good_transport_ship	1	40	190	0	450			115	tier_I_very_light	-1		false	false	0	989898999	true		roman	att_inf_bow_land	att_special_transportship_naval	6
c_lamedon_sword_militia		0	light	1	false	c_lamedon_sword_militia	190	0	550	good_transport_ship	1	40	190	0	550			140	tier_I_light	-1		false	false	0	989899000	true		roman	att_inf_sword_land	att_special_transportship_naval	6
c_lamedon_spear_militia		0	light	1	false	c_lamedon_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	989899001	true		roman	att_inf_spear_land	att_special_transportship_naval	6
gon_trained_sword_militia		0	heavy	1	false	gon_trained_sword_militia	190	0	700	good_transport_ship	1	40	190	0	550			170	tier_I_heavy	-1		false	false	0	99991049	true		roman	att_inf_sword_land	att_special_transportship_naval	6
gon_trained_anorien_patrollers		0	heavy	1	false	gon_trained_anorien_patrollers	85	0	950	good_transport_ship	1	20	85	0	800			240	tier_I_heavy	-1		false	false	0	99991050	true		roman	spear_cavalry	att_special_transportship_naval	6
gon_trained_bow_militia		0	medium	1	false	gon_trained_bow_militia	190	0	550	good_transport_ship	1	40	190	0	450			130	tier_I_medium	-1		false	false	0	99991051	true		roman	att_inf_bow_land	att_special_transportship_naval	6
