unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_dale_main_units																															
dale_cavalry_regiment		0	heavy	1	false	dale_cavalry_regiment	75	0	1500	good_transport_ship	1	20	75	0	1500			425	tier_III_very_heavy	-1		false	false	0	99991002	true		roman	att_cav_shock_land	att_special_transportship_naval	6
dale_vineland_watchmen		0	medium	1	false	dale_vineland_watchmen	170	0	725	good_transport_ship	1	40	170	0	725			205	tier_II_medium	-1		false	false	0	99991003	true		roman	att_inf_pike_land	att_special_transportship_naval	6
dale_laketown_guards		0	medium	1	false	dale_laketown_guards	140	0	950	good_transport_ship	1	40	140	0	950			290	tier_III_medium	-1		false	false	0	99991004	true		roman	att_inf_polearm_land	att_special_transportship_naval	6
dale_spear_militia		0	light	1	false	dale_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	99991005	true		roman	att_inf_spear_land	att_special_transportship_naval	6
dale_spearguards		0	heavy	1	false	dale_spearguards	140	0	925	good_transport_ship	1	40	140	0	925			280	tier_III_very_heavy	-1		false	false	0	99991006	true		roman	att_inf_spear_land	att_special_transportship_naval	6
dale_watchpost_sentries		0	medium	1	false	dale_watchpost_sentries	170	0	600	good_transport_ship	1	40	170	0	600			175	tier_II_medium	-1		false	false	0	99991007	true		roman	att_inf_spear_land	att_special_transportship_naval	6
dale_bardings		0	heavy	1	false	dale_bardings	120	0	1300	good_transport_ship	1	40	120	0	1300			400	tier_IV_heavy	-1		false	false	0	99991008	true		roman	att_inf_bow_land	att_special_transportship_naval	6
dale_marksmen		0	heavy	1	false	dale_marksmen	140	0	1000	good_transport_ship	1	40	140	0	1000			300	tier_III_heavy	-1		false	false	0	99991009	true		roman	att_inf_bow_land	att_special_transportship_naval	6
dale_rhovanion_rangers		0	light	1	false	dale_rhovanion_rangers	120	0	1225	good_transport_ship	1	40	120	0	1225			200	tier_IV_very_light	-1		false	false	0	99991010	true		roman	att_inf_bow_land	att_special_transportship_naval	6
dale_yeomen		0	light	1	false	dale_yeomen	190	0	525	good_transport_ship	1	40	190	0	525			140	tier_I_very_light	-1		false	false	0	99991011	true		roman	att_inf_bow_land	att_special_transportship_naval	6
dale_northmen_scouts		0	light	1	false	dale_northmen_scouts	85	0	700	good_transport_ship	1	20	85	0	700			175	tier_I_light	-1		false	false	0	99991012	true		roman	att_cav_melee_land	att_special_transportship_naval	6
dale_rivermen		0	light	1	false	dale_rivermen	190	0	575	good_transport_ship	1	40	190	0	575			145	tier_I_light	-1		false	false	0	99991013	true		roman	att_inf_javelin_land	att_special_transportship_naval	6
dale_merchant_escorts		0	heavy	1	false	dale_merchant_escorts	80	0	1025	good_transport_ship	1	20	80	0	1025			280	tier_II_heavy	-1		false	false	0	99991014	true		roman	att_cav_melee_land	att_special_transportship_naval	6
dale_shipmen		0	heavy	1	false	dale_shipmen	170	0	800	good_transport_ship	1	40	170	0	800			225	tier_II_heavy	-1		false	false	0	99991015	true		roman	att_inf_sword_land	att_special_transportship_naval	6
dale_swordsmen		0	heavy	1	false	dale_swordsmen	140	0	1000	good_transport_ship	1	40	140	0	1000			300	tier_III_very_heavy	-1		false	false	0	99991016	true		roman	att_inf_sword_land	att_special_transportship_naval	6
dale_rhovanion_regent		0	heavy	1	false	dale_rhovanion_regent	70	0	1725	good_transport_ship	1	20	70	0	1725			505	tier_IV_very_heavy	-1		false	false	0	99991017	true		roman	att_cav_shock_land	att_special_transportship_naval	6
dale_vineland_yardpatrollers		0	light	1	false	dale_vineland_yardpatrollers	170	0	725	good_transport_ship	1	40	170	0	725			205	tier_II_light	-1		false	false	0	99991018	true		roman	att_inf_bow_land	att_special_transportship_naval	6
dale_vineland_guard_sword		0	heavy	1	false	dale_vineland_guard_sword	120	0	1225	good_transport_ship	1	40	120	0	1225			380	tier_IV_very_heavy	-1		false	false	0	99991019	true		roman	att_inf_sword_land	att_special_transportship_naval	6
dale_avari_wanderers		3	light	1	false	dale_avari_wanderers	100	0	1500	good_transport_ship	1	20	100	0	1500			200	tier_III_very_light	-1		false	false	0	99991020	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	3
dale_brand		0	heavy	1	false	dale_brand	120	0	1400	good_transport_ship	1	40	120	0	1400			400	tier_IV_heavy	-1		false	false	0	99991021	true		roman	att_inf_bow_land	att_special_transportship_naval	6
