unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_dg_main_units																															
dg_servants_of_the_eyes		0	heavy	1	false	dg_servants_of_the_eyes	65	0	1700	evil_transport_ship	1	20	65	0	1700			500	tier_IV_very_heavy	-1		false	false	0	999991065	true		barbarian	att_cav_melee_land	att_special_transportship_naval	5
dg_khamul		0	heavy	1	false	dg_khamul	100	0	1350	evil_transport_ship	1	20	100	0	1350			390	tier_IV_heavy	-1		false	false	0	999551070	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	12
dg_nazgul		0	heavy	1	false	dg_nazgul	65	0	1750	evil_transport_ship	1	20	65	0	1750			490	tier_IV_very_heavy	-1		false	false	0	999991066	true		barbarian	att_cav_melee_land	att_special_transportship_naval	5
dg_chieftain		0	heavy	1	false	dg_chieftain	165	0	1225	evil_transport_ship	1	40	165	0	1225			380	tier_IV_very_heavy	-1		false	false	0	999551065	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	13
dg_guldur_blades		0	heavy	1	false	dg_guldur_blades	190	0	950	evil_transport_ship	1	40	190	0	950			290	tier_III_very_heavy	-1		false	false	0	999551062	true		nomad	att_inf_sword_land	att_special_transportship_naval	13
dg_guldur_pikes		0	heavy	1	false	dg_guldur_pikes	190	0	975	evil_transport_ship	1	40	190	0	975			295	tier_III_heavy	-1		false	false	0	999551063	true		nomad	att_inf_pike_land	att_special_transportship_naval	13
dg_guldur_glaives		0	heavy	1	false	dg_guldur_glaives	190	0	1000	evil_transport_ship	1	40	190	0	1000			300	tier_III_heavy	-1		false	false	0	999551064	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	13
dg_wraiths		0	medium	1	false	dg_wraiths	100	0	875	evil_transport_ship	1	20	100	0	875			245	tier_II_medium	-1		false	false	0	999551068	true		barbarian	att_inf_sword_land	att_special_transportship_naval	13
dg_mirkwood_trackers		0	light	1	false	dg_mirkwood_trackers	250	0	440	evil_transport_ship	1	40	250	0	440			110	tier_I_very_light	-1		false	false	0	999551066	true		nomad	att_inf_bow_land	att_special_transportship_naval	13
dg_mirkwood_raiders		0	light	1	false	dg_mirkwood_raiders	250	0	590	evil_transport_ship	1	40	250	0	590			150	tier_I_very_light	-1		false	false	0	999551067	true		nomad	att_inf_javelin_land	att_special_transportship_naval	13
dg_phantoms		0	light	1	false	dg_phantoms	100	0	415	evil_transport_ship	1	20	100	0	415			105	tier_I_very_light	-1		false	false	0	999551069	true		barbarian	att_inf_spear_land	att_special_transportship_naval	13
dg_spiders		0	heavy	1	false	dg_spiders	24	0	1500	evil_transport_ship	1	5	20	0	1500			400	spiders	-1		false	false	0	999991067	true		barbarian	rom_spiders	att_special_transportship_naval	20
