unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_dun_main_units																															
dun_warlords_cavalry		0	heavy	1	false	dun_warlords_cavalry	75	0	1250	evil_transport_ship	1	20	75	0	1250			365	tier_III_heavy	-1		false	false	0	777781001	true		barbarian	spear_cavalry	att_special_transportship_naval	17
dun_warlords_champions		0	light	1	false	dun_warlords_champions	90	0	1175	evil_transport_ship	1	20	90	0	1175			370	tier_IV_light	-1		false	false	0	777781002	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	17
dun_huscarls		0	heavy	1	false	dun_huscarls	120	0	1200	evil_transport_ship	1	40	120	0	1200			375	tier_IV_very_heavy	-1		false	false	0	777781003	true		barbarian	att_inf_sword_land	att_special_transportship_naval	17
dun_rangers		0	light	1	false	dun_rangers	170	0	625	evil_transport_ship	1	40	170	0	625			180	tier_II_light	-1		false	false	0	777781004	true		barbarian	att_inf_bow_land	att_special_transportship_naval	17
dun_chosen_heerban		0	medium	1	false	dun_chosen_heerban	140	0	950	evil_transport_ship	1	40	140	0	950			290	tier_III_medium	-1		false	false	0	777781005	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	17
dun_bloodsworn		0	heavy	1	false	dun_bloodsworn	170	0	850	evil_transport_ship	1	40	170	0	850			240	tier_II_heavy	-1		false	false	0	777781006	true		barbarian	att_inf_axe_land	att_special_transportship_naval	17
dun_pillagers		0	light	1	false	dun_pillagers	170	0	775	evil_transport_ship	1	40	170	0	775			220	tier_II_very_light	-1		false	false	0	777781007	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	17
dun_hound_tamers		0	light	1	false	dun_hound_tamers	70	0	875	evil_transport_ship	1	20	70	0	875			250	tier_II_light	-1		false	false	0	777781008	true		barbarian	att_special_wardog_land	att_special_transportship_naval	17
dun_archer_heerban		0	medium	1	false	dun_archer_heerban	140	0	925	evil_transport_ship	1	40	140	0	925			280	tier_III_medium	-1		false	false	0	777781009	true		barbarian	att_inf_bow_land	att_special_transportship_naval	17
dun_elder_spears		0	heavy	1	false	dun_elder_spears	170	0	700	evil_transport_ship	1	40	170	0	700			200	tier_II_heavy	-1		false	false	0	777781010	true		barbarian	att_inf_spear_land	att_special_transportship_naval	17
dun_tribal_spearmen		0	medium	1	false	dun_tribal_spearmen	190	0	500	evil_transport_ship	1	40	190	0	500			125	tier_I_medium	-1		false	false	0	777781011	true		barbarian	att_inf_spear_land	att_special_transportship_naval	17
dun_tribal_warriors		0	medium	1	false	dun_tribal_warriors	190	0	650	evil_transport_ship	1	40	190	0	650			165	tier_I_medium	-1		false	false	0	777781012	true		barbarian	att_inf_axe_land	att_special_transportship_naval	17
dun_tribal_raiders		0	light	1	false	dun_tribal_raiders	85	0	850	evil_transport_ship	1	20	85	0	850			215	tier_I_very_light	-1		false	false	0	777781013	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	17
dun_tribal_youth		0	medium	1	false	dun_tribal_youth	190	0	625	evil_transport_ship	1	40	190	0	625			155	tier_I_medium	-1		false	false	0	777781014	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	17
dun_elder_riders		0	heavy	1	false	dun_elder_riders	80	0	1075	evil_transport_ship	1	20	80	0	1075			295	tier_II_heavy	-1		false	false	0	777781015	true		barbarian	att_cav_melee_land	att_special_transportship_naval	17
dun_pikemen		0	medium	1	false	dun_pikemen	170	0	700	evil_transport_ship	1	40	170	0	700			200	tier_II_medium	-1		false	false	0	777781016	true		barbarian	att_inf_pike_land	att_special_transportship_naval	17
dun_slingers		0	medium	1	false	dun_slingers	170	0	775	evil_transport_ship	1	40	170	0	775			220	tier_II_medium	-1		false	false	0	777781017	true		barbarian	att_inf_sling_land	att_special_transportship_naval	17
dun_warlord_crossbows		0	medium	1	false	dun_warlord_crossbows	170	0	750	evil_transport_ship	1	40	170	0	750			215	tier_II_medium	-1		false	false	0	777781018	true		barbarian	att_inf_crossbow_land	att_special_transportship_naval	17
dun_axe_heerbann		0	heavy	1	false	dun_axe_heerbann	140	0	1025	evil_transport_ship	1	40	140	0	1025			305	tier_III_heavy	-1		false	false	0	777781019	true		barbarian	att_inf_axe_land	att_special_transportship_naval	17
dun_orthanc_servants		0	heavy	1	false	dun_orthanc_servants	140	0	1000	evil_transport_ship	1	40	140	0	1000			300	tier_III_heavy	-1		false	false	0	777781020	true		barbarian	att_inf_pike_land	att_special_transportship_naval	17
dun_hill_wardens		0	heavy	1	false	dun_hill_wardens	120	0	1075	evil_transport_ship	1	40	120	0	1075			345	tier_IV_heavy	-1		false	false	0	777781021	true		barbarian	att_inf_spear_land	att_special_transportship_naval	17
