unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_ere_main_units																															
ere_merc_cav		0	heavy	1	false	ere_merc_cav	80	0	1025	good_transport_ship	1	20	80	0	1025			280	tier_II_heavy	-1		false	false	0	999971002	true		barbarian	att_cav_melee_land	att_special_transportship_naval	6
ere_iron_guardians		0	heavy	1	false	ere_iron_guardians	100	0	1300	good_transport_ship	1	20	100	0	1300			400	tier_IV_very_heavy	-1		false	false	0	9999710043	true		barbarian	att_inf_spear_land	att_special_transportship_naval	9
ere_tomb_wardens		0	heavy	1	false	ere_tomb_wardens	100	0	1375	good_transport_ship	1	20	100	0	1375			420	tier_IV_very_heavy	-1		false	false	0	9999710043	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	9
ere_sons_of_mountain		0	heavy	1	false	ere_sons_of_mountain	100	0	1550	good_transport_ship	1	20	100	0	1550			440	tier_IV_very_heavy	-1		false	false	0	9999710044	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_sons_of_mountain_alt_officer		0	heavy	1	false	ere_sons_of_mountain_alt_officer	100	0	1550	good_transport_ship	1	20	100	0	1550			440	tier_IV_very_heavy	-1		false	false	0	9999710068	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_mansion_reclaimers		0	heavy	1	false	ere_mansion_reclaimers	100	0	1500	good_transport_ship	1	20	100	0	1500			450	tier_IV_very_heavy	-1	rom_resource_mithril	false	false	0	9999710045	true		barbarian	att_inf_sword_land	att_special_transportship_naval	9
ere_ered_mithrin_veterans		0	heavy	1	false	ere_ered_mithrin_veterans	100	0	1375	good_transport_ship	1	20	100	0	1375			420	tier_IV_medium	-1		false	false	0	9999710046	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_baruk_guard		0	heavy	1	false	ere_baruk_guard	100	0	1425	good_transport_ship	1	20	100	0	1425			430	tier_IV_very_heavy	-1		false	false	0	9999710047	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_spearguards		0	heavy	1	false	ere_spearguards	115	0	1100	good_transport_ship	1	40	115	0	1100			325	tier_III_very_heavy	-1		false	false	0	9999710048	true		barbarian	att_inf_spear_land	att_special_transportship_naval	9
ere_orocarni_hammers		0	heavy	1	false	ere_orocarni_hammers	115	0	1275	good_transport_ship	1	40	115	0	1275			305	tier_III_heavy	-1		false	false	0	9999710049	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_crossbowmen		0	heavy	1	false	ere_crossbowmen	115	0	1175	good_transport_ship	1	40	115	0	1175			345	tier_III_very_heavy	-1		false	false	0	9999710050	true		barbarian	att_inf_crossbow_land	att_special_transportship_naval	9
ere_axe_warriors		0	heavy	1	false	ere_axe_warriors	115	0	1250	good_transport_ship	1	40	115	0	1250			365	tier_III_very_heavy	-1		false	false	0	9999710051	true		barbarian	att_inf_axe_land	att_special_transportship_naval	9
ere_orocarni_archers		0	heavy	1	false	ere_orocarni_archers	115	0	1025	good_transport_ship	1	40	115	0	1025			255	tier_III_medium	-1		false	false	0	9999710052	true		barbarian	att_inf_bow_land	att_special_transportship_naval	9
ere_mattock_warriors		0	heavy	1	false	ere_mattock_warriors	135	0	1050	good_transport_ship	1	40	135	0	1050			265	tier_II_heavy	-1		false	false	0	9999710053	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_dwarven_warriors		0	heavy	1	false	ere_dwarven_warriors	135	0	925	good_transport_ship	1	40	135	0	925			255	tier_II_heavy	-1		false	false	0	9999710054	true		barbarian	att_inf_axe_land	att_special_transportship_naval	9
ere_halberdiers		0	heavy	1	false	ere_halberdiers	135	0	950	good_transport_ship	1	40	135	0	950			265	tier_II_medium	-1		false	false	0	9999710055	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	9
ere_axemen		0	heavy	1	false	ere_axemen	135	0	1000	good_transport_ship	1	40	135	0	1000			275	tier_II_medium	-1		false	false	0	9999710056	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_miners		0	light	1	false	ere_miners	150	0	725	good_transport_ship	1	40	150	0	725			180	tier_I_very_light	-1		false	false	0	9999710057	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_dwarven_ranged_travellers		0	light	1	false	ere_dwarven_ranged_travellers	150	0	675	good_transport_ship	1	40	150	0	675			170	tier_I_very_light	-1		false	false	0	9999710058	true		barbarian	att_inf_bow_land	att_special_transportship_naval	9
ere_dwarven_company		0	medium	1	false	ere_dwarven_company	150	0	725	good_transport_ship	1	40	150	0	725			180	tier_I_medium	-1		false	false	0	9999710059	true		barbarian	att_inf_axe_land	att_special_transportship_naval	9
ere_axe_throwers		0	medium	1	false	ere_axe_throwers	150	0	850	good_transport_ship	1	40	150	0	850			215	tier_I_medium	-1		false	false	0	9999710060	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	9
ere_dwarven_spearmen		0	medium	1	false	ere_dwarven_spearmen	135	0	850	good_transport_ship	1	40	135	0	850			240	tier_II_heavy	-1		false	false	0	9999710061	true		barbarian	att_inf_spear_land	att_special_transportship_naval	9
ere_iron_hill_crossbow		0	medium	1	false	ere_iron_hill_crossbow	135	0	925	good_transport_ship	1	40	135	0	925			255	tier_II_medium	-1		false	false	0	9999710062	true		barbarian	att_inf_crossbow_land	att_special_transportship_naval	9
ere_gimli		0	heavy	1	false	ere_gimli	100	0	1525	good_transport_ship	1	20	100	0	1525			430	tier_IV_very_heavy	-1		false	false	0	9999710063	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_balin		0	heavy	1	false	ere_balin	100	0	1600	good_transport_ship	1	20	100	0	1600			450	tier_IV_very_heavy	-1		false	false	0	9999710064	true		barbarian	att_inf_sword_land	att_special_transportship_naval	9
ere_axe_guards		0	heavy	1	false	ere_axe_guards	115	0	1225	good_transport_ship	1	40	115	0	1225			355	tier_III_very_heavy	-1		false	false	0	9999710065	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_gloin		0	heavy	1	false	ere_gloin	100	0	1525	good_transport_ship	1	20	100	0	1525			430	tier_IV_heavy	-1		false	false	0	9999710066	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_thorin		0	heavy	1	false	ere_thorin	100	0	1475	good_transport_ship	1	20	100	0	1475			420	tier_IV_medium	-1		false	false	0	9999710067	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	9
