unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_gob_main_units																															
gob_snaga_javelin		0	light	1	false	gob_snaga_javelin	250	0	375	evil_transport_ship	1	40	250	0	375			95	tier_I_very_light	-1		false	false	0	79437001	true		nomad	att_inf_javelin_land	att_special_transportship_naval	16
gob_goblin_light_inf		0	light	1	false	gob_goblin_light_inf	250	0	375	evil_transport_ship	1	40	250	0	375			95	tier_I_light	-1		false	false	0	79437002	true		nomad	att_inf_sword_land	att_special_transportship_naval	16
gob_goblin_scrappers		0	light	1	false	gob_goblin_scrappers	250	0	500	evil_transport_ship	1	40	250	0	500			125	tier_I_very_light	-1		false	false	0	79437003	true		nomad	att_inf_axe_land	att_special_transportship_naval	16
gob_night_raiders		0	light	1	false	gob_night_raiders	225	0	725	evil_transport_ship	1	40	225	0	725			205	tier_II_light	-1		false	false	0	79437004	true		nomad	att_inf_axe_land	att_special_transportship_naval	16
gob_underground_wardens		0	medium	1	false	gob_underground_wardens	225	0	725	evil_transport_ship	1	40	225	0	725			205	tier_II_medium	-1		false	false	0	79437005	true		nomad	att_inf_polearm_land	att_special_transportship_naval	16
gob_mountain_pass_scout		0	medium	1	false	gob_mountain_pass_scout	225	0	600	evil_transport_ship	1	40	225	0	600			175	tier_II_medium	-1		false	false	0	79437006	true		nomad	att_inf_bow_land	att_special_transportship_naval	16
gob_goblin_blade_warriors		0	heavy	1	false	gob_goblin_blade_warriors	190	0	900	evil_transport_ship	1	40	190	0	900			275	tier_III_very_heavy	-1		false	false	0	79437008	true		nomad	att_inf_sword_land	att_special_transportship_naval	16
gob_goblin_spear_warriors		0	heavy	1	false	gob_goblin_spear_warriors	190	0	875	evil_transport_ship	1	40	190	0	875			270	tier_III_heavy	-1		false	false	0	79437009	true		nomad	att_inf_polearm_land	att_special_transportship_naval	16
gob_goblin_heavy_archers		0	heavy	1	false	gob_goblin_heavy_archers	190	0	825	evil_transport_ship	1	40	190	0	825			255	tier_III_heavy	-1		false	false	0	79437010	true		nomad	att_inf_bow_land	att_special_transportship_naval	16
gob_mordor_uruks		0	heavy	1	false	gob_mordor_uruks	190	0	900	evil_transport_ship	1	40	190	0	900			275	tier_III_heavy	-1		false	false	0	79437011	true		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	19
gob_mountain_trolls		0	heavy	1	false	gob_mountain_trolls	8	0	1500	evil_transport_ship	1	2	8	0	2000			425	troll_heavy	-1		false	false	0	79437012	true		barbarian	rom_trolls	att_special_transportship_naval	18
gob_goblin_bodyguards		0	heavy	1	false	gob_goblin_bodyguards	165	0	1100	evil_transport_ship	1	40	165	0	1100			350	tier_IV_heavy	-1		false	false	0	79437013	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	16
gob_chieftan_guard		0	heavy	1	false	gob_chieftan_guard	165	0	1075	evil_transport_ship	1	40	165	0	1075			345	tier_IV_very_heavy	-1		false	false	0	79437014	true		nomad	att_inf_sword_land	att_special_transportship_naval	16
gob_cave_trolls		0	heavy	1	false	gob_cave_trolls	8	0	1400	evil_transport_ship	1	2	8	0	1400			500	troll_heavy	-1		false	false	0	79437015	true		barbarian	rom_trolls	att_special_transportship_naval	18
gob_goblin_king		0	heavy	1	false	gob_goblin_king	165	0	1175	evil_transport_ship	1	40	165	0	1175			345	tier_IV_very_heavy	-1		false	false	0	79437016	true		nomad	att_inf_sword_land	att_special_transportship_naval	16
gob_goblin_warband		0	medium	1	false	gob_goblin_warband	250	0	425	evil_transport_ship	1	40	250	0	425			105	tier_I_medium	-1		false	false	0	79437017	true		nomad	att_inf_spear_land	att_special_transportship_naval	16
gob_mountain_marauders		0	medium	1	false	gob_mountain_marauders	225	0	725	evil_transport_ship	1	40	225	0	725			205	tier_II_medium	-1		false	false	0	79437018	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	16
gob_scavenged_crossbows		0	medium	1	false	gob_scavenged_crossbows	225	0	700	evil_transport_ship	1	40	225	0	700			200	tier_II_medium	-1		false	false	0	79437019	true		nomad	att_inf_crossbow_land	att_special_transportship_naval	16
gob_warg_pack		0	light	1	false	gob_warg_pack	70	0	800	evil_transport_ship	1	20	70	0	800			225	tier_II_light	-1		false	false	0	79437021	true		nomad	rom_wargs	att_special_transportship_naval	13
