unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_gon_main_units																															
gon_hillmen_of_lamedon		4	medium	1	false	gon_hillmen_of_lamedon	190	0	575	good_transport_ship	1	40	190	0	575			145	tier_I_medium	-1		false	false	0	99991022	true		roman	att_inf_axe_land	att_special_transportship_naval	6
gon_lossarnach_warriors		3	medium	1	false	gon_lossarnach_warriors	170	0	825	good_transport_ship	1	40	170	0	825			230	tier_II_medium	-1		false	false	0	99991023	true		roman	att_inf_polearm_shock_land	att_special_transportship_naval	6
gon_silver_swan_knights		2	heavy	1	false	gon_silver_swan_knights	65	0	1800	good_transport_ship	1	20	65	0	1800			525	tier_IV_very_heavy	-1		false	false	0	99991024	true		roman	att_cav_shock_land	att_special_transportship_naval	4
gon_fountain_guard		2	heavy	1	false	gon_fountain_guard	110	0	1300	good_transport_ship	1	40	110	0	1300			400	tier_IV_very_heavy	-1		false	false	0	99991025	true		roman	att_inf_polearm_land	att_special_transportship_naval	4
gon_cavalry		0	heavy	1	false	gon_cavalry	75	0	1425	good_transport_ship	1	20	75	0	1425			405	tier_III_very_heavy	-1		false	false	0	99991026	true		roman	spear_cavalry	att_special_transportship_naval	6
gon_citadel_guard		2	heavy	1	false	gon_citadel_guard	110	0	1275	good_transport_ship	1	40	110	0	1275			395	tier_IV_very_heavy	-1		false	false	0	99991027	true		roman	att_inf_spear_land	att_special_transportship_naval	4
gon_pinnath_gelin		3	heavy	1	false	gon_pinnath_gelin	170	0	700	good_transport_ship	1	40	170	0	700			200	tier_II_heavy	-1		false	false	0	99991028	true		roman	att_inf_spear_land	att_special_transportship_naval	6
gon_spear_infantry		0	heavy	1	false	gon_spear_infantry	140	0	1000	good_transport_ship	1	40	140	0	1000			300	tier_III_very_heavy	-1		false	false	0	99991029	true		roman	att_inf_spear_land	att_special_transportship_naval	6
gon_spear_militia		0	light	1	false	gon_spear_militia	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	99991030	true		roman	att_inf_spear_land	att_special_transportship_naval	6
gon_archers		0	heavy	1	false	gon_archers	140	0	1025	good_transport_ship	1	40	140	0	1025			305	tier_III_very_heavy	-1		false	false	0	99991031	true		roman	att_inf_bow_land	att_special_transportship_naval	6
gon_blackroot_archers		3	medium	1	false	gon_blackroot_archers	170	0	800	good_transport_ship	1	40	170	0	800			225	tier_II_medium	-1		false	false	0	99991032	true		roman	att_inf_bow_land	att_special_transportship_naval	6
gon_bow_militia		0	light	1	false	gon_bow_militia	190	0	450	good_transport_ship	1	40	190	0	450			115	tier_I_very_light	-1		false	false	0	99991033	true		roman	att_inf_bow_land	att_special_transportship_naval	6
gon_ithilien_rangers		2	light	1	false	gon_ithilien_rangers	110	0	1300	good_transport_ship	1	40	110	0	1300			205	tier_IV_very_light	-1		false	false	0	99991034	true		roman	att_inf_bow_land	att_special_transportship_naval	4
gon_anfalas_coastlevies		4	light	1	false	gon_anfalas_coastlevies	190	0	575	good_transport_ship	1	40	190	0	575			145	tier_I_light	-1		false	false	0	99991035	true		roman	att_inf_javelin_land	att_special_transportship_naval	6
gon_pelargir_marines		3	medium	1	false	gon_pelargir_marines	155	0	875	good_transport_ship	1	40	155	0	875			245	tier_II_medium	-1		false	false	0	99991036	true		roman	att_inf_sword_land	att_special_transportship_naval	4
gon_ringlo_vale_footmen		3	medium	1	false	gon_ringlo_vale_footmen	170	0	725	good_transport_ship	1	40	170	0	725			205	tier_II_medium	-1		false	false	0	99991037	true		roman	att_inf_sword_land	att_special_transportship_naval	6
gon_sword_infantry		0	heavy	1	false	gon_sword_infantry	140	0	1075	good_transport_ship	1	40	140	0	1075			320	tier_III_very_heavy	-1		false	false	0	99991038	true		roman	att_inf_sword_land	att_special_transportship_naval	6
gon_sword_militia		0	light	1	false	gon_sword_militia	190	0	550	good_transport_ship	1	40	190	0	550			140	tier_I_light	-1		false	false	0	99991039	true		roman	att_inf_sword_land	att_special_transportship_naval	6
gon_princes_coastguard		3	medium	1	false	gon_princes_coastguard	155	0	875	good_transport_ship	1	40	155	0	875			245	tier_II_medium	-1		false	false	0	888871001	true		roman	att_inf_polearm_land	att_special_transportship_naval	4
gon_princes_sergeants		3	heavy	1	false	gon_princes_sergeants	70	0	1175	good_transport_ship	1	20	70	0	1175			320	tier_II_heavy	-1		false	false	0	99991041	true		roman	spear_cavalry	att_special_transportship_naval	4
gon_wardens_ithilien		2	heavy	1	false	gon_wardens_ithilien	110	0	1300	good_transport_ship	1	40	110	0	1300			400	tier_IV_very_heavy	-1		false	false	0	99991042	true		roman	att_inf_pike_land	att_special_transportship_naval	4
gon_imrahil		0	heavy	1	false	gon_imrahil	65	0	1900	good_transport_ship	1	20	65	0	1900			525	tier_IV_very_heavy	-1		false	false	0	99991043	true		roman	att_cav_shock_land	att_special_transportship_naval	4
gon_denethor		0	heavy	1	false	gon_denethor	110	0	1375	good_transport_ship	1	40	110	0	1375			395	tier_IV_very_heavy	-1		false	false	0	99991044	true		roman	att_inf_spear_land	att_special_transportship_naval	4
gon_boromir		0	heavy	1	false	gon_boromir	110	0	1450	good_transport_ship	1	40	110	0	1450			415	tier_IV_very_heavy	-1		false	false	0	99991045	true		roman	att_inf_sword_land	att_special_transportship_naval	4
gon_faramir		0	light	1	false	gon_faramir	110	0	1400	good_transport_ship	1	40	110	0	1400			205	tier_IV_very_light	-1		false	false	0	99991046	true		roman	att_inf_bow_land	att_special_transportship_naval	4
gon_cavalry_sword		0	heavy	1	false	gon_cavalry_sword	75	0	1450	good_transport_ship	1	20	75	0	1450			415	tier_III_very_heavy	-1		false	false	0	99991047	true		roman	att_cav_melee_land	att_special_transportship_naval	6
gon_anorien_patrollers		0	light	1	false	gon_anorien_patrollers	85	0	800	good_transport_ship	1	20	85	0	800			200	tier_I_very_light	-1		false	false	0	99991048	true		roman	spear_cavalry	att_special_transportship_naval	6
