unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_gun_main_units																															
gun_tunnel_slaves		0	light	1	false	gun_tunnel_slaves	250	0	325	evil_transport_ship	1	40	215	0	325			80	tier_I_very_light	-1		false	false	0	99999901	true		nomad	att_inf_javelin_land	att_special_transportship_naval	13
gun_orc_warband		0	medium	1	false	gun_orc_warband	215	0	500	evil_transport_ship	1	40	215	0	500			125	tier_I_medium	-1		false	false	0	99999902	true		nomad	att_inf_spear_land	att_special_transportship_naval	15
gun_orc_marauders		0	light	1	false	gun_orc_marauders	215	0	625	evil_transport_ship	1	40	215	0	625			155	tier_I_very_light	-1		false	false	0	99999903	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	15
gun_goblin_mercenaries		0	light	1	false	gun_goblin_mercenaries	250	0	450	evil_transport_ship	1	40	250	0	450			115	tier_I_light	-1		false	false	0	99999904	true		nomad	att_inf_sword_land	att_special_transportship_naval	16
gun_stalkers		0	heavy	1	false	gun_stalkers	190	0	775	evil_transport_ship	1	40	190	0	775			220	tier_II_heavy	-1		false	false	0	99999905	true		nomad	att_inf_sword_land	att_special_transportship_naval	15
gun_reavers		0	light	1	false	gun_reavers	190	0	775	evil_transport_ship	1	40	190	0	775			220	tier_II_light	-1		false	false	0	99999906	true		nomad	att_inf_axe_land	att_special_transportship_naval	15
gun_night_hunters		0	light	1	false	gun_night_hunters	190	0	675	evil_transport_ship	1	40	190	0	675			195	tier_II_very_light	-1		false	false	0	99999907	true		nomad	att_inf_bow_land	att_special_transportship_naval	15
gun_warg_scouts		0	light	1	false	gun_warg_scouts	70	0	1025	evil_transport_ship	1	20	70	0	1025			280	tier_II_light	-1		false	false	0	99999909	true		nomad	rom_wargs_missile	att_special_transportship_naval	15
gun_warg_riders		0	light	1	false	gun_warg_riders	70	0	925	evil_transport_ship	1	20	70	0	925			255	tier_II_light	-1		false	false	0	99999910	true		nomad	rom_wargs	att_special_transportship_naval	15
gun_rhudaur_infantry		0	heavy	1	false	gun_rhudaur_infantry	170	0	725	evil_transport_ship	1	40	170	0	725			205	tier_II_heavy	-1		false	false	0	99999911	true		nomad	att_inf_spear_land	att_special_transportship_naval	17
gun_heavy_halberds		0	heavy	1	false	gun_heavy_halberds	160	0	1000	evil_transport_ship	1	40	160	0	1000			300	tier_III_heavy	-1		false	false	0	99999912	true		nomad	att_inf_polearm_land	att_special_transportship_naval	15
gun_heavy_blades		0	heavy	1	false	gun_heavy_blades	160	0	1000	evil_transport_ship	1	40	160	0	1000			300	tier_III_very_heavy	-1		false	false	0	99999913	true		nomad	att_inf_sword_land	att_special_transportship_naval	15
gun_traversers		0	heavy	1	false	gun_traversers	160	0	1150	evil_transport_ship	1	40	160	0	1150			340	tier_III_heavy	-1		false	false	0	99999914	true		nomad	att_inf_bow_land	att_special_transportship_naval	15
gun_armoured_blade_wargs		0	heavy	1	false	gun_armoured_blade_wargs	70	0	1350	evil_transport_ship	1	20	70	0	1350			390	tier_III_very_heavy	-1		false	false	0	99999915	true		nomad	rom_wargs	att_special_transportship_naval	15
gun_barrow_wights		0	light	1	false	gun_barrow_wights	100	0	925	evil_transport_ship	1	20	100	0	925			280	tier_III_very_light	-1		false	false	0	99999916	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	15
gun_tomb_raiders		0	heavy	1	false	gun_tomb_raiders	140	0	1275	evil_transport_ship	1	40	140	0	1275			395	tier_IV_heavy	-1		false	false	0	99999917	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	15
gun_armoured_spear_wargs		0	heavy	1	false	gun_armoured_spear_wargs	65	0	1525	evil_transport_ship	1	20	65	0	1525			455	tier_IV_very_heavy	-1		false	false	0	99999918	true		nomad	rom_wargs	att_special_transportship_naval	15
gun_warlords		0	heavy	1	false	gun_warlords	140	0	1150	evil_transport_ship	1	40	140	0	1150			365	tier_IV_very_heavy	-1		false	false	0	99999919	true		nomad	att_inf_spear_land	att_special_transportship_naval	15
gun_citadel_guards		0	heavy	1	false	gun_citadel_guards	140	0	1175	evil_transport_ship	1	40	140	0	1175			370	tier_IV_very_heavy	-1		false	false	0	99999920	true		nomad	att_inf_spear_land	att_special_transportship_naval	15
gun_berserkers		0	light	1	false	gun_berserkers	90	0	1175	evil_transport_ship	1	20	90	0	1175			370	tier_IV_light	-1		false	false	0	99999921	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	15
gun_warg_pack		0	light	1	false	gun_warg_pack	70	0	825	evil_transport_ship	1	20	70	0	825			230	tier_II_light	-1		false	false	0	99999922	true		nomad	rom_wargs	att_special_transportship_naval	13
