unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_har_main_units																															
har_desert_spears		0	light	1	false	har_desert_spears	190	0	475	evil_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	99991043	true		barbarian	att_inf_spear_land	att_special_transportship_naval	11
har_desert_bowmen		0	light	1	false	har_desert_bowmen	190	0	475	evil_transport_ship	1	40	190	0	475			120	tier_I_very_light	-1		false	false	0	99991044	true		barbarian	att_inf_bow_land	att_special_transportship_naval	11
har_desert_raiders		0	light	1	false	har_desert_raiders	85	0	925	evil_transport_ship	1	20	85	0	925			230	tier_I_very_light	-1		false	false	0	99991045	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	11
har_desert_trackers		0	light	1	false	har_desert_trackers	190	0	600	evil_transport_ship	1	40	190	0	600			150	tier_I_very_light	-1		false	false	0	99991068	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	11
har_harad_swords		0	medium	1	false	har_harad_swords	170	0	725	evil_transport_ship	1	40	170	0	725			205	tier_II_medium	-1		false	false	0	99991046	true		barbarian	att_inf_sword_land	att_special_transportship_naval	11
har_harad_glaives		0	light	1	false	har_harad_glaives	170	0	725	evil_transport_ship	1	40	170	0	725			205	tier_II_light	-1		false	false	0	99991047	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	11
har_harad_archers		0	light	1	false	har_harad_archers	170	0	650	evil_transport_ship	1	40	170	0	650			190	tier_II_light	-1		false	false	0	99991048	true		barbarian	att_inf_bow_land	att_special_transportship_naval	11
har_harad_horse_archers		0	light	1	false	har_harad_horse_archers	80	0	925	evil_transport_ship	1	20	80	0	925			255	tier_II_light	-1		false	false	0	99991049	true		barbarian	att_cav_bow_land	att_special_transportship_naval	11
har_harad_camel_riders		0	medium	1	false	har_harad_camel_riders	80	0	1050	evil_transport_ship	1	20	80	0	1050			290	tier_II_medium	-1		false	false	0	99991065	true		barbarian	att_cav_melee_land	att_special_transportship_naval	11
har_harad_lancers		0	light	1	false	har_harad_lancers	80	0	925	evil_transport_ship	1	20	80	0	925			255	tier_II_light	-1		false	false	0	99991050	true		barbarian	att_cav_shock_land	att_special_transportship_naval	11
har_mahud_hunters		0	light	1	false	har_mahud_hunters	170	0	750	evil_transport_ship	1	40	170	0	750			215	tier_II_very_light	-1		false	false	0	99991051	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	11
har_mahud_clubmen		0	medium	1	false	har_mahud_clubmen	170	0	550	evil_transport_ship	1	40	170	0	550			165	tier_II_medium	-1		false	false	0	99991052	true		barbarian	att_inf_sword_land	att_special_transportship_naval	11
har_mahud_spearmen		0	medium	1	false	har_mahud_spearmen	170	0	550	evil_transport_ship	1	40	170	0	550			165	tier_II_medium	-1		false	false	0	99991069	true		barbarian	att_inf_spear_land	att_special_transportship_naval	11
har_corsair_marines		0	light	1	false	har_corsair_marines	170	0	875	evil_transport_ship	1	40	170	0	875			245	tier_II_very_light	-1		false	false	0	99991066	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	11
har_corsair_raiders		0	light	1	false	har_corsair_raiders	170	0	675	evil_transport_ship	1	40	170	0	675			195	tier_II_very_light	-1		false	false	0	99991053	true		barbarian	att_inf_axe_land	att_special_transportship_naval	11
har_corsair_archers		0	light	1	false	har_corsair_archers	170	0	625	evil_transport_ship	1	40	170	0	625			180	tier_II_very_light	-1		false	false	0	99991054	true		barbarian	att_inf_bow_land	att_special_transportship_naval	11
har_serpent_archers		0	medium	1	false	har_serpent_archers	140	0	950	evil_transport_ship	1	40	140	0	950			290	tier_III_medium	-1		false	false	0	99991055	true		barbarian	att_inf_bow_land	att_special_transportship_naval	11
har_serpent_warriors		0	medium	1	false	har_serpent_warriors	140	0	975	evil_transport_ship	1	40	140	0	975			295	tier_III_medium	-1		false	false	0	99991056	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	11
har_serpent_spearmen		0	heavy	1	false	har_serpent_spearmen	140	0	900	evil_transport_ship	1	40	140	0	900			275	tier_III_heavy	-1		false	false	0	99991057	true		barbarian	att_inf_spear_land	att_special_transportship_naval	11
har_mahud_beasttamers		0	medium	1	false	har_mahud_beasttamers	140	0	975	evil_transport_ship	1	40	140	0	975			295	tier_III_medium	-1		false	false	0	99991058	true		barbarian	att_inf_spear_land	att_special_transportship_naval	11
har_farharad_ranged_mutants		0	light	1	false	har_farharad_ranged_mutants	90	0	850	evil_transport_ship	1	40	140	0	850			265	tier_III_light	-1		false	false	0	99991067	true		barbarian	att_inf_bow_land	att_special_transportship_naval	11
har_farharad_mutants		0	light	1	false	har_farharad_mutants	90	0	825	evil_transport_ship	1	40	140	0	825			255	tier_III_light	-1		false	false	0	99991059	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	11
