unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_ise_main_units																															
ise_uruk_hai_infantry		0	heavy	1	false	ise_uruk_hai_infantry	160	0	1000	evil_transport_ship	1	40	160	0	1000			300	tier_III_very_heavy	-1		false	false	0	99991043	true		eastern	att_inf_sword_land	att_special_transportship_naval	14
ise_uruk_hai_pikemen		0	heavy	1	false	ise_uruk_hai_pikemen	160	0	1000	evil_transport_ship	1	40	160	0	1000			300	tier_III_heavy	-1		false	false	0	99991044	true		eastern	att_inf_pike_land	att_special_transportship_naval	14
ise_uruk_hai_crossbowmen		0	heavy	1	false	ise_uruk_hai_crossbowmen	160	0	1000	evil_transport_ship	1	40	160	0	1000			300	tier_III_heavy	-1		false	false	0	99991045	true		eastern	att_inf_crossbow_land	att_special_transportship_naval	14
ise_berserker		0	light	1	false	ise_berserker	90	0	975	evil_transport_ship	1	20	90	0	975			320	tier_IV_very_light	-1		false	false	0	99991046	true		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	14
ise_sapper		0	light	1	false	ise_sapper	10	0	1100	evil_transport_ship	1	2	10	0	1100			225	tier_IV_very_light	-1		false	false	0	99991047	true		eastern	ise_sapper	att_special_transportship_naval	14
ise_white_hand_stormer		0	heavy	1	false	ise_white_hand_stormer	140	0	1275	evil_transport_ship	1	40	140	0	1275			395	tier_IV_very_heavy	-1		false	false	0	99991048	true		eastern	att_inf_sword_land	att_special_transportship_naval	14
ise_uruk_hai_archers		0	light	1	false	ise_uruk_hai_archers	190	0	625	evil_transport_ship	1	40	190	0	625			180	tier_II_light	-1		false	false	0	99991049	true		eastern	att_inf_bow_land	att_special_transportship_naval	14
ise_uruk_hai_raiders		0	light	1	false	ise_uruk_hai_raiders	190	0	725	evil_transport_ship	1	40	190	0	725			205	tier_II_very_light	-1		false	false	0	99991050	true		eastern	att_inf_sword_land	att_special_transportship_naval	14
ise_halforc_axes		0	light	1	false	ise_halforc_axes	190	0	775	evil_transport_ship	1	40	190	0	775			220	tier_II_very_light	-1		false	false	0	99991051	true		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	14
ise_dunland_tribesmen		0	medium	1	false	ise_dunland_tribesmen	190	0	650	evil_transport_ship	1	40	190	0	650			165	tier_I_medium	-1		false	false	0	99991052	true		barbarian	att_inf_axe_land	att_special_transportship_naval	17
ise_dunland_horse_raider		0	light	1	false	ise_dunland_horse_raider	85	0	850	evil_transport_ship	1	20	85	0	850			215	tier_I_very_light	-1		false	false	0	99991053	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	17
ise_mordor_rabble		0	light	1	false	ise_mordor_rabble	250	0	350	evil_transport_ship	1	40	300	0	350			90	tier_I_light	-1		false	false	0	666666001	true		nomad	att_inf_spear_land	att_special_transportship_naval	13
ise_mordor_orc_bowmen		0	light	1	false	ise_mordor_orc_bowmen	250	0	325	evil_transport_ship	1	40	300	0	325			80	tier_I_very_light	-1		false	false	0	666666002	true		nomad	att_inf_bow_land	att_special_transportship_naval	13
ise_halforc_spears		0	medium	1	false	ise_halforc_spears	190	0	675	evil_transport_ship	1	40	190	0	675			195	tier_II_medium	-1		false	false	0	99991054	true		eastern	att_inf_spear_land	att_special_transportship_naval	14
ise_bomb_throwers		0	heavy	1	false	ise_bomb_throwers	80	0	1650	evil_transport_ship	1	20	80	0	1650			485	tier_IV_heavy	-1		false	false	0	99991055	true		eastern	att_special_grenade_land	att_special_transportship_naval	14
ise_lurtz		0	light	1	false	ise_lurtz	140	0	1525	evil_transport_ship	1	40	140	0	1525			220	tier_IV_very_light	-1		false	false	0	99991056	true		eastern	att_inf_bow_land	att_special_transportship_naval	14
ise_goblin_throng		0	light	1	false	ise_goblin_throng	250	0	400	evil_transport_ship	1	40	250	0	400			100	tier_I_light	-1		false	false	0	99991057	true		nomad	att_inf_sword_land	att_special_transportship_naval	16
ise_goblinmen_bows		0	light	1	false	ise_goblinmen_bows	190	0	475	evil_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	99991058	true		nomad	att_inf_bow_land	att_special_transportship_naval	17
ise_goblinmen_ruffians		0	medium	1	false	ise_goblinmen_ruffians	190	0	575	evil_transport_ship	1	40	190	0	575			145	tier_I_medium	-1		false	false	0	99991059	true		nomad	att_inf_sword_land	att_special_transportship_naval	17
ise_warg_riders		0	light	1	false	ise_warg_riders	85	0	925	evil_transport_ship	1	20	85	0	925			255	tier_II_light	-1		false	false	0	99991060	true		nomad	rom_wargs	att_special_transportship_naval	13
ise_ugluk		0	heavy	1	false	ise_ugluk	140	0	1325	evil_transport_ship	1	40	140	0	1325			380	tier_IV_very_heavy	-1		false	false	0	99991061	true		eastern	att_inf_sword_land	att_special_transportship_naval	14
ise_mog		0	heavy	1	false	ise_mog	140	0	1325	evil_transport_ship	1	40	140	0	1325			380	tier_IV_very_heavy	-1		false	false	0	99991062	true		eastern	att_inf_sword_land	att_special_transportship_naval	14
ise_saruman		0	heavy	1	false	ise_saruman	140	0	1375	evil_transport_ship	1	40	140	0	1375			395	tier_IV_very_heavy	-1		false	false	0	99991063	true		eastern	att_inf_sword_land	att_special_transportship_naval	14
