unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_lin_main_units																															
lin_swordsmen		0	heavy	1	false	lin_swordsmen	90	0	1200	good_transport_ship	1	20	90	0	1200			350	tier_III_heavy	-1		false	false	0	2900001	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
lin_spearmen		0	heavy	1	false	lin_spearmen	90	0	1125	good_transport_ship	1	20	90	0	1125			330	tier_III_very_heavy	-1		false	false	0	2900002	true		barbarian	att_inf_spear_land	att_special_transportship_naval	1
lin_cavalry		0	heavy	1	false	lin_cavalry	60	0	1600	good_transport_ship	1	20	60	0	1600			450	tier_III_very_heavy	-1		false	false	0	2900003	true		barbarian	spear_cavalry	att_special_transportship_naval	1
lin_archers		0	heavy	1	false	lin_archers	90	0	1225	good_transport_ship	1	20	90	0	1225			355	tier_III_heavy	-1		false	false	0	2900004	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
lin_nobles		0	heavy	1	false	lin_nobles	85	0	1400	good_transport_ship	1	20	85	0	1400			425	tier_IV_very_heavy	-1		false	false	0	2900005	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
lin_noldor_nobles		0	heavy	1	false	lin_noldor_nobles	80	0	1400	good_transport_ship	1	20	80	0	1400			425	tier_IV_heavy	-1		false	false	0	2900006	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	1
lin_falathrim_seafarers		0	medium	1	false	lin_falathrim_seafarers	135	0	925	good_transport_ship	1	40	135	0	925			230	tier_I_medium	-1		false	false	0	2900007	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	2
lin_haven_watchers		0	light	1	false	lin_haven_watchers	135	0	775	good_transport_ship	1	40	135	0	775			195	tier_I_light	-1		false	false	0	2900008	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
lin_lindon_scouts		0	light	1	false	lin_lindon_scouts	70	0	1200	good_transport_ship	1	20	70	0	1200			300	tier_I_light	-1		false	false	0	2900009	true		barbarian	att_cav_bow_land	att_special_transportship_naval	2
lin_haven_wardens		0	heavy	1	false	lin_haven_wardens	120	0	950	good_transport_ship	1	40	120	0	950			265	tier_II_heavy	-1		false	false	0	2900010	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
lin_haven_sentinels		0	medium	1	false	lin_haven_sentinels	120	0	975	good_transport_ship	1	40	120	0	975			270	tier_II_medium	-1		false	false	0	2900011	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
lin_noldor_longspear		0	medium	1	false	lin_noldor_longspear	110	0	975	good_transport_ship	1	40	110	0	975			270	tier_II_medium	-1		false	false	0	2900012	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	1
lin_guardians		0	heavy	1	false	lin_guardians	45	0	1100	good_transport_ship	1	10	45	0	1100			325	tier_III_heavy	-1		false	false	0	2900013	true		barbarian	att_inf_spear_land	att_special_transportship_naval	1
