unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_loth_main_units																															
loth_celeborn		0	medium	1	false	loth_celeborn	85	0	1600	good_transport_ship	1	20	85	0	1600			450	tier_IV_medium	-1		false	false	0	2700001	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
loth_haldir		0	light	1	false	loth_haldir	85	0	1800	good_transport_ship	1	20	85	0	1800			245	tier_IV_very_light	-1		false	false	0	2700002	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
loth_lor_sentries		0	light	1	false	loth_lor_sentries	135	0	775	good_transport_ship	1	40	135	0	775			195	tier_I_light	-1		false	false	0	2700003	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
loth_lor_sword_company		0	medium	1	false	loth_lor_sword_company	135	0	750	good_transport_ship	1	40	135	0	750			190	tier_I_medium	-1		false	false	0	2700004	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
loth_lor_spear_company		0	light	1	false	loth_lor_spear_company	135	0	725	good_transport_ship	1	40	135	0	725			180	tier_I_light	-1		false	false	0	2700005	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	2
loth_lor_outriders		0	medium	1	false	loth_lor_outriders	70	0	1175	good_transport_ship	1	20	70	0	1175			295	tier_I_medium	-1		false	false	0	2700006	true		barbarian	att_cav_melee_land	att_special_transportship_naval	2
loth_naith_infantry		0	heavy	1	false	loth_naith_infantry	120	0	900	good_transport_ship	1	40	120	0	900			250	tier_II_heavy	-1		false	false	0	2700007	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
loth_amroth_sentinels		0	heavy	1	false	loth_amroth_sentinels	120	0	975	good_transport_ship	1	40	120	0	975			270	tier_II_heavy	-1		false	false	0	2700008	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
loth_galadhon_archers		0	medium	1	false	loth_galadhon_archers	120	0	1000	good_transport_ship	1	40	120	0	1000			275	tier_II_medium	-1		false	false	0	2700009	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
loth_nimrodel_patrollers		0	medium	1	false	loth_nimrodel_patrollers	70	0	1425	good_transport_ship	1	20	70	0	1425			380	tier_II_medium	-1		false	false	0	2700010	true		barbarian	att_cav_bow_land	att_special_transportship_naval	2
loth_galad_bow_warriors		0	heavy	1	false	loth_galad_bow_warriors	100	0	1225	good_transport_ship	1	20	100	0	1225			355	tier_III_heavy	-1		false	false	0	2700011	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
loth_galad_sword_warriors		0	heavy	1	false	loth_galad_sword_warriors	100	0	1150	good_transport_ship	1	20	100	0	1150			340	tier_III_heavy	-1		false	false	0	2700012	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	2
loth_galad_spear_warriors		0	heavy	1	false	loth_galad_spear_warriors	100	0	1125	good_transport_ship	1	20	100	0	1125			330	tier_III_heavy	-1		false	false	0	2700013	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	2
loth_wardens_fences		0	light	1	false	loth_wardens_fences	100	0	1500	good_transport_ship	1	20	100	0	1500			200	tier_III_very_light	-1		false	false	0	2700014	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
loth_twilight_guard		0	heavy	1	false	loth_twilight_guard	85	0	1525	good_transport_ship	1	20	85	0	1525			455	tier_IV_heavy	-1		false	false	0	2700015	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
loth_mallorn_defenders		0	heavy	1	false	loth_mallorn_defenders	80	0	1400	good_transport_ship	1	20	80	0	1400			425	tier_IV_heavy	-1		false	false	0	2700016	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	2
loth_heroes_amon_lanc		0	heavy	1	false	loth_heroes_amon_lanc	85	0	1275	good_transport_ship	1	20	85	0	1275			395	tier_IV_very_heavy	-1		false	false	0	2700017	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
loth_haldirs_bodyguards		0	light	1	false	loth_haldirs_bodyguards	100	0	1475	good_transport_ship	1	20	100	0	1475			200	tier_III_very_light	-1		false	false	0	2700018	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
