unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_merc_main_units																															
merc_av_beorning_warriors		0	heavy_merc	1	false	av_beorning_warriors	90	0	1375	good_transport_ship	1	20	90	0	1375			420	tier_IV_heavy	-1		false	false	0	71371338	true		roman	att_inf_polearm_shock_land	att_special_transportship_naval	6
merc_av_carrock_wardens		0	medium_merc	1	false	av_carrock_wardens	140	0	950	good_transport_ship	1	40	140	0	950			290	tier_III_medium	-1		false	false	0	71371333	true		roman	att_inf_pike_land	att_special_transportship_naval	6
merc_av_eotheod_cavalry		0	medium_merc	1	false	av_eotheod_cavalry	80	0	1025	good_transport_ship	1	20	80	0	1025			280	tier_II_medium	-1		false	false	0	71371329	true		roman	spear_cavalry	att_special_transportship_naval	6
merc_av_pass_sentries		0	medium_merc	1	false	av_pass_sentries	140	0	1000	good_transport_ship	1	40	140	0	1000			300	tier_III_medium	-1		false	false	0	71371334	true		roman	att_inf_polearm_shock_land	att_special_transportship_naval	6
merc_av_vale_yeomen		0	light_merc	1	false	av_vale_yeomen	170	0	725	good_transport_ship	1	40	170	0	725			205	tier_II_light	-1		false	false	0	71371327	true		roman	att_inf_bow_land	att_special_transportship_naval	6
merc_bal_khandish_horse_archers		0	medium_merc	1	false	bal_khandish_horse_archers	80	0	1100	evil_transport_ship	1	20	80	0	1100			300	tier_II_medium	-1		false	false	0	888881009	true		barbarian	att_cav_bow_land	att_special_transportship_naval	12
merc_bal_khandish_sentries		0	medium_merc	1	false	bal_khandish_sentries	170	0	775	evil_transport_ship	1	40	170	0	775			220	tier_II_medium	-1		false	false	0	888881008	true		barbarian	att_inf_sword_land	att_special_transportship_naval	12
merc_bal_nobles		0	heavy_merc	1	false	bal_nobles	140	0	975	evil_transport_ship	1	40	140	0	975			295	tier_III_heavy	-1		false	false	0	888881027	true		barbarian	att_inf_sword_land	att_special_transportship_naval	12
merc_bal_raiders		0	light_merc	1	false	bal_raiders	170	0	750	evil_transport_ship	1	40	170	0	750			215	tier_II_very_light	-1		false	false	0	888881020	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	12
