unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_mor_main_units																															
mor_mountain_trolls		0	heavy	1	false	mor_mountain_trolls	8	0	1500	evil_transport_ship	1	2	8	0	2000			425	troll_heavy	-1		false	false	0	99991054	true		barbarian	rom_trolls	att_special_transportship_naval	18
mor_olog_hai		0	heavy	1	false	mor_olog_hai	8	0	2000	evil_transport_ship	1	2	8	0	2500			575	troll_armoured	-1		false	false	0	99991055	true		barbarian	rom_trolls	att_special_transportship_naval	18
mor_orc_rabble		0	light	1	false	mor_orc_rabble	250	0	350	evil_transport_ship	1	40	300	0	350			90	tier_I_light	-1		false	false	0	999991056	true		nomad	att_inf_spear_land	att_special_transportship_naval	13
mor_orc_pillagers		0	light	1	false	mor_orc_pillagers	250	0	700	evil_transport_ship	1	40	250	0	700			175	tier_I_very_light	-1		false	false	0	999991057	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	13
mor_orc_pikes		0	medium	1	false	mor_orc_pikes	225	0	725	evil_transport_ship	1	40	225	0	725			205	tier_II_medium	-1		false	false	0	999991058	true		nomad	att_inf_pike_land	att_special_transportship_naval	13
mor_orc_spears		0	heavy	1	false	mor_orc_spears	225	0	675	evil_transport_ship	1	40	225	0	675			195	tier_II_heavy	-1		false	false	0	999991069	true		nomad	att_inf_spear_land	att_special_transportship_naval	13
mor_orc_warriors		0	heavy	1	false	mor_orc_warriors	225	0	800	evil_transport_ship	1	40	225	0	800			225	tier_II_heavy	-1		false	false	0	999991059	true		nomad	att_inf_axe_land	att_special_transportship_naval	13
mor_orc_rabble_bowmen		0	light	1	false	mor_orc_rabble_bowmen	250	0	325	evil_transport_ship	1	40	300	0	325			80	tier_I_very_light	-1		false	false	0	999991060	true		nomad	att_inf_bow_land	att_special_transportship_naval	13
mor_uruk_spears		0	heavy	1	false	mor_uruk_spears	190	0	900	evil_transport_ship	1	40	190	0	900			275	tier_III_very_heavy	-1		false	false	0	999991061	true		eastern	att_inf_spear_land	att_special_transportship_naval	19
mor_uruk_throng		0	heavy	1	false	mor_uruk_throng	190	0	975	evil_transport_ship	1	40	190	0	975			295	tier_III_very_heavy	-1		false	false	0	999991062	true		eastern	att_inf_sword_land	att_special_transportship_naval	19
mor_uruk_archers		0	heavy	1	false	mor_uruk_archers	190	0	925	evil_transport_ship	1	40	190	0	925			280	tier_III_heavy	-1		false	false	0	999991063	true		eastern	att_inf_bow_land	att_special_transportship_naval	19
mor_morgul_legion		0	heavy	1	false	mor_morgul_legion	160	0	975	evil_transport_ship	1	40	160	0	975			295	tier_III_heavy	-1		false	false	0	999991064	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	19
mor_guards_of_the_teeth		0	heavy	1	false	mor_guards_of_the_teeth	110	0	1300	evil_transport_ship	1	40	110	0	1300			400	tier_IV_very_heavy	-1		false	false	0	999991066	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	5
mor_servants_of_the_eyes		0	heavy	1	false	mor_servants_of_the_eyes	65	0	1675	evil_transport_ship	1	20	65	0	1675			495	tier_IV_very_heavy	-1		false	false	0	999991065	true		barbarian	att_cav_melee_land	att_special_transportship_naval	5
mor_nazgul		0	heavy	1	false	mor_nazgul	65	0	1775	evil_transport_ship	1	20	65	0	1750			495	tier_IV_very_heavy	-1		false	false	0	999991066	true		barbarian	att_cav_melee_land	att_special_transportship_naval	5
mor_the_nine		0	heavy	1	false	mor_the_nine	9	0	1600	evil_transport_ship	1	2	9	0	1600			450	tier_IV_very_heavy	-1		false	false	0	999991067	true		barbarian	att_cav_melee_land	att_special_transportship_naval	5
mor_witchking		0	heavy	1	false	mor_witchking	65	0	1775	evil_transport_ship	1	20	65	0	1750			495	tier_IV_very_heavy	-1		false	false	0	999991068	true		barbarian	att_cav_melee_land	att_special_transportship_naval	5
mor_warg_riders		0	medium	1	false	mor_warg_riders	85	0	925	evil_transport_ship	1	20	85	0	925			255	tier_II_medium	-1		false	false	0	99991065	true		nomad	rom_wargs	att_special_transportship_naval	13
mor_morgul_orcs		0	heavy	1	false	mor_morgul_orcs	225	0	800	evil_transport_ship	1	40	225	0	800			225	tier_II_heavy	-1		false	false	0	999991070	true		nomad	att_inf_sword_land	att_special_transportship_naval	13
mor_morgul_wargs		0	light	1	false	mor_morgul_wargs	80	0	650	evil_transport_ship	1	20	80	0	650			140	tier_I_light	-1		false	false	0	999991071	true		nomad	att_special_wardog_land	att_special_transportship_naval	19
mor_morgul_raiders		0	light	1	false	mor_morgul_raiders	190	0	850	evil_transport_ship	1	40	190	0	850			240	tier_II_very_light	-1		false	false	0	999991072	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	19
mor_uruk_bodyguards		0	heavy	1	false	mor_uruk_bodyguards	160	0	1225	evil_transport_ship	1	40	160	0	1225			380	tier_IV_very_heavy	-1		false	false	0	999991073	true		eastern	att_inf_sword_land	att_special_transportship_naval	19
mor_orc_warband		0	heavy	1	false	mor_orc_warband	250	0	550	evil_transport_ship	1	40	250	0	550			140	tier_I_heavy	-1		false	false	0	999991074	true		eastern	att_inf_sword_land	att_special_transportship_naval	13
mor_othrod		0	heavy	1	false	mor_othrod	140	0	1325	evil_transport_ship	1	40	160	0	1325			380	tier_IV_very_heavy	-1		false	false	0	999991075	true		nomad	att_inf_sword_land	att_special_transportship_naval	19
mor_mirkwood_reavers		0	light	1	false	mor_mirkwood_reavers	225	0	700	evil_transport_ship	1	40	225	0	700			200	tier_II_light	-1		false	false	0	999991076	true		nomad	att_inf_axe_land	att_special_transportship_naval	13
mor_mirkwood_trackers		0	light	1	false	mor_mirkwood_trackers	250	0	450	evil_transport_ship	1	40	225	0	450			115	tier_I_very_light	-1		false	false	0	999991077	true		nomad	att_inf_bow_land	att_special_transportship_naval	13
mor_mirkwood_raiders		0	light	1	false	mor_mirkwood_raiders	225	0	675	evil_transport_ship	1	40	225	0	675			195	tier_II_very_light	-1		false	false	0	999991078	true		nomad	att_inf_javelin_land	att_special_transportship_naval	13
mor_guldur_archers		0	heavy	1	false	mor_guldur_archers	190	0	925	evil_transport_ship	1	40	190	0	925			280	tier_III_heavy	-1		false	false	0	999991079	true		nomad	att_inf_bow_land	att_special_transportship_naval	13
mor_guldur_head_hunters		0	heavy	1	false	mor_guldur_head_hunters	165	0	1200	evil_transport_ship	1	40	165	0	1200			375	tier_IV_heavy	-1		false	false	0	999991080	true		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	13
mor_warg_sentries		0	light	1	false	mor_warg_sentries	90	0	775	evil_transport_ship	1	20	90	0	775			195	tier_I_very_light	-1		false	false	0	999991081	true		nomad	rom_wargs_missile	att_special_transportship_naval	13
mor_orc_archers		0	medium	1	false	mor_orc_archers	225	0	675	evil_transport_ship	1	40	225	0	675			195	tier_II_medium	-1		false	false	0	999991082	true		nomad	att_inf_bow_land	att_special_transportship_naval	13
mor_uruk_marauders		0	light	1	false	mor_uruk_marauders	190	0	1025	evil_transport_ship	1	40	190	0	1025			305	tier_III_light	-1		false	false	0	999991083	true		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	13
mor_gothmog		0	heavy	1	false	mor_gothmog	110	0	1400	evil_transport_ship	1	40	165	0	1400			400	tier_IV_very_heavy	-1		false	false	0	999991084	true		eastern	att_inf_sword_land	att_special_transportship_naval	5
mor_sauron		0	heavy	1	false	mor_sauron	110	0	1400	evil_transport_ship	1	40	165	0	1400			400	tier_IV_very_heavy	-1		false	false	0	999991085	true		eastern	att_inf_sword_land	att_special_transportship_naval	5
