unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_naval_main_units																															
ship_gondor_eight_gon_nav_princes_coastguard_swords		0	heavy	1	true	gon_nav_princes_coastguard_swords	155	0	1200	gondor_eight	1	1	160	0	1200			390	tier_II_heavy	0		false	false	0	91919101	true		roman	att_inf_sword_marine	att_special_ram_naval	4
ship_gondor_six_melee_gon_nav_lebennin_marines		0	medium	1	true	gon_nav_lebennin_marines	100	0	675	gondor_six_melee	1	1	135	0	750			280	tier_II_heavy	0		false	false	0	91919102	true		roman	att_inf_sword_marine	att_inf_sword_naval	4
ship_gondor_six_ram_gon_nav_lebennin_marines		0	medium	1	true	gon_nav_lebennin_marines_ram	100	0	750	gondor_six_ram	1	1	100	0	750			280	tier_II_heavy	0		false	false	0	91919103	true		roman	att_inf_sword_marine	att_special_ram_naval	4
ship_gondor_six_ballista_gon_nav_lebennin_marines		0	medium	1	true	gon_nav_lebennin_marines_ballista	100	0	750	gondor_six_ballista	1	1	100	0	675			265	tier_II_heavy	0		false	false	0	91919104	true		roman	att_inf_sword_marine	att_art_field_naval	4
ship_gondor_six_missile_gon_nav_lebennin_marines_bows		0	medium	1	true	gon_nav_lebennin_marines_bows	100	0	625	gondor_six_missile	1	1	120	0	625			255	tier_II_heavy	0		false	false	0	91919105	true		roman	att_inf_bow_marine	att_inf_bow_naval	4
ship_gondor_ten_flagship_gon_nav_citadel_guard		0	heavy	1	true	gon_nav_citadel_guard	110	0	1275	gondor_ten_flagship	1	1	200	0	1275			405	tier_IV_very_heavy	0		false	false	0	91919106	true		roman	att_inf_sword_marine	att_inf_sword_naval	4
ship_gondor_ten_melee_gon_nav_lebennin_marines		0	heavy	1	true	gon_nav_lebennin_marines	155	0	1025	gondor_ten_melee	1	1	200	0	1025			335	tier_II_heavy	0		false	false	0	91919107	true		roman	att_inf_sword_marine	att_inf_sword_naval	4
ship_gondor_ten_trebuchet_gon_nav_lebennin_marines		0	heavy	1	true	gon_nav_lebennin_marines_trebuchet	155	0	1075	gondor_ten_trebuchet	1	1	160	0	975			325	tier_II_heavy	0		false	false	0	91919108	true		roman	att_inf_sword_marine	att_art_field_naval	4
ship_gondor_ten_missile_gon_nav_lebennin_marines_bows		0	heavy	1	true	gon_nav_lebennin_marines_bows	155	0	975	gondor_ten_missile	1	1	180	0	925			315	tier_II_heavy	0		false	false	0	91919109	true		roman	att_inf_bow_marine	att_inf_bow_naval	4
