unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_oro_main_units																															
oro_spears		0	medium	1	false	oro_spears	150	0	650	good_transport_ship	1	40	150	0	650			165	tier_I_medium	-1		false	false	0	9090384606	true		barbarian	att_inf_spear_land	att_special_transportship_naval	10
oro_halberds		0	light	1	false	oro_halberds	150	0	750	good_transport_ship	1	40	150	0	750			190	tier_I_light	-1		false	false	0	9090384602	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	10
oro_axes		0	medium	1	false	oro_axes	150	0	725	good_transport_ship	1	40	150	0	725			180	tier_I_medium	-1		false	false	0	9090384603	true		barbarian	att_inf_axe_land	att_special_transportship_naval	10
oro_bows		0	light	1	false	oro_bows	150	0	650	good_transport_ship	1	40	150	0	650			165	tier_I_light	-1		false	false	0	9090384604	true		barbarian	att_inf_bow_land	att_special_transportship_naval	10
oro_skirmishers		0	medium	1	false	oro_skirmishers	150	0	800	good_transport_ship	1	40	150	0	800			200	tier_I_medium	-1		false	false	0	9090384605	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	10
oro_ironfist_spears		0	heavy	1	false	oro_ironfist_spears	135	0	850	good_transport_ship	1	40	135	0	850			240	tier_II_heavy	-1		false	false	0	9090384596	true		barbarian	att_inf_spear_land	att_special_transportship_naval	10
oro_stiffbeard_skirmishers		0	heavy	1	false	oro_stiffbeard_skirmishers	135	0	975	good_transport_ship	1	40	135	0	975			270	tier_II_heavy	-1		false	false	0	9090384608	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	10
oro_stiffbeard_archers		0	medium	1	false	oro_stiffbeard_archers	135	0	875	good_transport_ship	1	40	135	0	875			245	tier_II_medium	-1		false	false	0	9090384599	true		barbarian	att_inf_bow_land	att_special_transportship_naval	10
oro_blacklock_infantry		0	heavy	1	false	oro_blacklock_infantry	135	0	1000	good_transport_ship	1	40	135	0	1000			275	tier_II_heavy	-1		false	false	0	9090384600	true		barbarian	att_inf_sword_land	att_special_transportship_naval	10
oro_stonefoot_halberds		0	medium	1	false	oro_stonefoot_halberds	135	0	925	good_transport_ship	1	40	135	0	925			255	tier_II_medium	-1		false	false	0	9090384593	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	10
oro_stonefoot_pikes		0	medium	1	false	oro_stonefoot_pikes	135	0	875	good_transport_ship	1	40	135	0	875			245	tier_II_medium	-1		false	false	0	9090384598	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	10
oro_ironfist_heavy_spears		0	heavy	1	false	oro_ironfist_heavy_spears	115	0	1100	good_transport_ship	1	40	115	0	1100			325	tier_III_very_heavy	-1		false	false	0	9090384601	true		barbarian	att_inf_spear_land	att_special_transportship_naval	10
oro_ironfist_warriors		0	heavy	1	false	oro_ironfist_warriors	115	0	1175	good_transport_ship	1	40	115	0	1175			345	tier_III_very_heavy	-1		false	false	0	9090384594	true		barbarian	att_inf_axe_land	att_special_transportship_naval	10
oro_stiffbeard_heavy_archers		0	medium	1	false	oro_stiffbeard_heavy_archers	115	0	1100	good_transport_ship	1	40	115	0	1100			325	tier_III_medium	-1		false	false	0	9090384609	true		barbarian	att_inf_bow_land	att_special_transportship_naval	10
oro_blacklock_heavy_infantry		0	heavy	1	false	oro_blacklock_heavy_infantry	115	0	1175	good_transport_ship	1	40	115	0	1175			345	tier_III_very_heavy	-1		false	false	0	9090384597	true		barbarian	att_inf_sword_land	att_special_transportship_naval	10
oro_blacklock_warriors		0	heavy	1	false	oro_blacklock_warriors	115	0	1200	good_transport_ship	1	40	115	0	1200			350	tier_III_heavy	-1		false	false	0	9090384607	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	10
oro_stonefoot_heavy_pikes		0	medium	1	false	oro_stonefoot_heavy_pikes	115	0	1050	good_transport_ship	1	40	115	0	1050			315	tier_III_medium	-1		false	false	0	9090384610	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	10
oro_ironfist_guards		0	heavy	1	false	oro_ironfist_guards	100	0	1325	good_transport_ship	1	20	100	0	1325			405	tier_IV_very_heavy	-1		false	false	0	9090384592	true		barbarian	att_inf_spear_land	att_special_transportship_naval	10
oro_stiffbeard_nobles		0	heavy	1	false	oro_stiffbeard_nobles	100	0	1500	good_transport_ship	1	20	100	0	1500			450	tier_IV_heavy	-1		false	false	0	9090384611	true		barbarian	att_inf_sword_land	att_special_transportship_naval	10
oro_blacklock_nobles		0	heavy	1	false	oro_blacklock_nobles	100	0	1400	good_transport_ship	1	20	100	0	1400			425	tier_IV_heavy	-1		false	false	0	9090384612	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	10
oro_stonefoot_guards		0	heavy	1	false	oro_stonefoot_guards	100	0	1350	good_transport_ship	1	20	100	0	1350			415	tier_IV_heavy	-1		false	false	0	9090384595	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	10
