unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_roh_main_units																															
roh_mustered_spears		0	medium	1	false	roh_mustered_spears	190	0	500	good_transport_ship	1	40	190	0	500			125	tier_I_medium	-1		false	false	0	5790000012	true		roman	att_inf_spear_land	att_special_transportship_naval	6
roh_mustered_axes		0	medium	1	false	roh_mustered_axes	190	0	575	good_transport_ship	1	40	190	0	575			145	tier_I_medium	-1		false	false	0	5790000013	true		roman	att_inf_axe_land	att_special_transportship_naval	6
roh_mustered_archers		0	light	1	false	roh_mustered_archers	190	0	475	good_transport_ship	1	40	190	0	475			120	tier_I_light	-1		false	false	0	5790000014	true		roman	att_inf_bow_land	att_special_transportship_naval	6
roh_rohan_skirmishers		0	medium	1	false	roh_rohan_skirmishers	85	0	800	good_transport_ship	1	20	85	0	800			200	tier_I_medium	-1		false	false	0	5790000033	true		roman	att_cav_javelin_land	att_special_transportship_naval	6
roh_horse_archers		0	light	1	false	roh_horse_archers	85	0	650	good_transport_ship	1	20	85	0	650			165	tier_I_light	-1		false	false	0	5790000036	true		roman	att_cav_bow_land	att_special_transportship_naval	6
roh_scouts_of_rohan		0	light	1	false	roh_scouts_of_rohan	85	0	725	good_transport_ship	1	20	85	0	725			180	tier_I_light	-1		false	false	0	5790000015	true		roman	spear_cavalry	att_special_transportship_naval	6
roh_esquires_of_rohan		0	medium	1	false	roh_esquires_of_rohan	80	0	1050	good_transport_ship	1	20	80	0	1050			290	tier_II_medium	-1		false	false	0	5790000016	true		roman	att_cav_melee_land	att_special_transportship_naval	6
roh_axe_theigns		0	heavy	1	false	roh_axe_theigns	170	0	800	good_transport_ship	1	40	170	0	800			225	tier_II_heavy	-1		false	false	0	5790000017	true		roman	att_inf_axe_land	att_special_transportship_naval	6
roh_sword_theigns		0	heavy	1	false	roh_sword_theigns	170	0	800	good_transport_ship	1	40	170	0	800			225	tier_II_heavy	-1		false	false	0	5790000018	true		roman	att_inf_sword_land	att_special_transportship_naval	6
roh_yeomen_of_the_mark		0	medium	1	false	roh_yeomen_of_the_mark	170	0	800	good_transport_ship	1	40	170	0	800			225	tier_II_medium	-1		false	false	0	5790000019	true		roman	att_inf_bow_land	att_special_transportship_naval	6
roh_riders_of_rohan		0	heavy	1	false	roh_riders_of_rohan	80	0	975	good_transport_ship	1	20	80	0	975			270	tier_II_heavy	-1		false	false	0	5790000020	true		roman	spear_cavalry	att_special_transportship_naval	6
roh_eored_eastfold		0	medium	1	false	roh_eored_eastfold	80	0	1150	good_transport_ship	1	20	80	0	1150			315	tier_II_medium	-1		false	false	0	5790000021	true		roman	att_cav_shock_land	att_special_transportship_naval	6
roh_eored_westfold		0	heavy	1	false	roh_eored_westfold	80	0	1125	good_transport_ship	1	20	80	0	1125			305	tier_II_heavy	-1		false	false	0	5790000022	true		roman	att_cav_melee_land	att_special_transportship_naval	6
roh_eored_gap		0	light	1	false	roh_eored_gap	80	0	925	good_transport_ship	1	20	80	0	925			255	tier_II_light	-1		false	false	0	5790000023	true		roman	att_cav_bow_land	att_special_transportship_naval	6
roh_eorling_retainers		0	heavy	1	false	roh_eorling_retainers	140	0	975	good_transport_ship	1	40	140	0	975			295	tier_III_heavy	-1		false	false	0	5790000031	true		roman	att_inf_sword_land	att_special_transportship_naval	6
roh_eorling_men_at_arms		0	heavy	1	false	roh_eorling_men_at_arms	140	0	900	good_transport_ship	1	40	140	0	900			275	tier_III_heavy	-1		false	false	0	5790000024	true		roman	att_inf_spear_land	att_special_transportship_naval	6
roh_eorling_knights		0	heavy	1	false	roh_eorling_knights	75	0	1300	good_transport_ship	1	20	75	0	1300			375	tier_III_heavy	-1		false	false	0	5790000025	true		roman	att_cav_shock_land	att_special_transportship_naval	6
roh_eorling_riders		0	heavy	1	false	roh_eorling_riders	75	0	1175	good_transport_ship	1	20	75	0	1175			345	tier_III_heavy	-1		false	false	0	5790000038	true		roman	spear_cavalry	att_special_transportship_naval	6
roh_helmingas		2	heavy	1	false	roh_helmingas	140	0	1250	good_transport_ship	1	40	140	0	1250			365	tier_III_heavy	-1		false	false	0	5790000027	true		roman	att_inf_bow_land	att_special_transportship_naval	6
roh_meduseld_guard		0	heavy	1	false	roh_meduseld_guard	120	0	1075	good_transport_ship	1	40	120	0	1075			345	tier_IV_heavy	-1		false	false	0	5790000028	true		roman	att_inf_spear_land	att_special_transportship_naval	6
roh_household_knights		0	heavy	1	false	roh_household_knights	70	0	1675	good_transport_ship	1	20	70	0	1675			495	tier_IV_very_heavy	-1		false	false	0	5790000029	true		roman	att_cav_shock_land	att_special_transportship_naval	6
roh_household_knights_theodred		0	heavy	1	false	roh_household_knights_theodred	70	0	1775	good_transport_ship	1	20	70	0	1775			495	tier_IV_very_heavy	-1		false	false	0	5790000032	true		roman	att_cav_shock_land	att_special_transportship_naval	6
roh_household_knights_theoden		0	heavy	1	false	roh_household_knights_theoden	70	0	1575	good_transport_ship	1	20	70	0	1575			445	tier_IV_very_heavy	-1		false	false	0	5790000030	true		roman	att_cav_melee_land	att_special_transportship_naval	6
roh_eored_king_mark		0	heavy	1	false	roh_eored_king_mark	75	0	1425	good_transport_ship	1	20	75	0	1425			405	tier_III_heavy	-1		false	false	0	5790000034	true		roman	att_cav_melee_land	att_special_transportship_naval	6
roh_eored_king_mark_eomer		0	heavy	1	false	roh_eored_king_mark_eomer	70	0	1800	good_transport_ship	1	20	70	0	1800			500	tier_IV_heavy	-1		false	false	0	5790000035	true		roman	spear_cavalry	att_special_transportship_naval	6
roh_erkenbrand		0	heavy	1	false	roh_erkenbrand	120	0	1550	good_transport_ship	1	40	120	0	1550			440	tier_IV_heavy	-1		false	false	0	5790000036	true		roman	att_inf_bow_land	att_special_transportship_naval	6
roh_retinue_house_eorl		0	heavy	1	false	roh_retinue_house_eorl	70	0	1700	good_transport_ship	1	20	70	0	1700			500	tier_IV_heavy	-1		false	false	0	5790000037	true		roman	spear_cavalry	att_special_transportship_naval	6
roh_king_company		0	heavy	1	false	roh_king_company	70	0	1475	good_transport_ship	1	20	70	0	1475			445	tier_IV_heavy	-1		false	false	0	5790000039	true		roman	att_cav_melee_land	att_special_transportship_naval	6
roh_winfried		0	heavy	1	false	roh_winfried	70	0	1575	good_transport_ship	1	20	70	0	1575			445	tier_IV_very_heavy	-1		false	false	0	5790000030	true		roman	att_cav_melee_land	att_special_transportship_naval	6
