unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_supply_main_units																															
bal_supply_wagon		0	medium	1	false	bal_supply_wagon	1	0	1100	evil_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	99991088	true		barbarian	supply_wagon	att_special_transportship_naval	12
dale_supply_wagon		0	medium	1	false	dale_supply_wagon	1	0	1100	good_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	99991092	true		roman	supply_wagon	att_special_transportship_naval	6
ere_supply_wagon		0	medium	1	false	ere_supply_wagon	1	0	1100	good_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	99991107	true		barbarian	supply_wagon	att_special_transportship_naval	9
gon_supply_wagon		0	medium	1	false	gon_supply_wagon	1	0	1100	good_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	99991115	true		roman	supply_wagon	att_special_transportship_naval	6
har_supply_wagon		0	medium	1	false	har_supply_wagon	1	0	1100	evil_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	99991125	true		barbarian	supply_wagon	att_special_transportship_naval	11
dun_supply_wagon		0	medium	1	false	dun_supply_wagon	1	0	1100	evil_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	99991101	true		barbarian	supply_wagon	att_special_transportship_naval	17
ise_supply_wagon		0	medium	1	false	ise_supply_wagon	1	0	1100	evil_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	99991135	true		eastern	supply_wagon	att_special_transportship_naval	14
bal_supply_barrel		0	medium	1	false	bal_supply_barrel	4	0	160	evil_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991087	true		barbarian	supply_barrel	att_special_transportship_naval	12
dale_supply_barrel		0	medium	1	false	dale_supply_barrel	4	0	160	good_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991091	true		roman	supply_barrel	att_special_transportship_naval	6
av_supply_barrel		0	medium	1	false	av_supply_barrel	4	0	160	good_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991082	true		roman	supply_barrel	att_special_transportship_naval	6
ere_supply_barrel		0	medium	1	false	ere_supply_barrel	4	0	160	good_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991106	true		barbarian	supply_barrel	att_special_transportship_naval	9
gon_supply_barrel		0	medium	1	false	gon_supply_barrel	4	0	160	good_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991114	true		roman	supply_barrel	att_special_transportship_naval	6
har_supply_barrel		0	medium	1	false	har_supply_barrel	4	0	160	evil_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991124	true		barbarian	supply_barrel	att_special_transportship_naval	11
dun_supply_barrel		0	medium	1	false	dun_supply_barrel	4	0	160	evil_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991100	true		barbarian	supply_barrel	att_special_transportship_naval	17
ise_supply_barrel		0	medium	1	false	ise_supply_barrel	4	0	160	evil_transport_ship	1	1	4	0	160			40	projectiles	-1		false	false	0	99991134	true		eastern	supply_barrel	att_special_transportship_naval	14
bal_onager		0	medium	1	false	bal_onager	40	0	1200	evil_transport_ship	1	10	40	0	1200			345	catapult	-1		false	false	0	99991084	true		barbarian	att_art_field_land	att_special_transportship_naval	12
bal_onager_bastion		0	medium	1	false	bal_onager_bastion	12	0	1200	evil_transport_ship	1	10	12	0	1200			345	catapult	-1		false	false	0	99991085	true		barbarian	att_art_field_land	att_special_transportship_naval	12
dale_onager		0	medium	1	false	dale_onager	40	0	1200	good_transport_ship	1	10	40	0	1200			345	catapult	-1		false	false	0	99991089	true		roman	att_art_field_land	att_special_transportship_naval	6
dale_onager_bastion		0	medium	1	false	dale_onager_bastion	12	0	1200	good_transport_ship	1	10	12	0	1200			345	catapult	-1		false	false	0	99991090	true		roman	att_art_field_land	att_special_transportship_naval	6
ere_onager		0	medium	1	false	ere_onager	40	0	1200	good_transport_ship	1	10	40	0	1200			345	catapult	-1		false	false	0	99991104	true		barbarian	att_art_field_land	att_special_transportship_naval	9
ere_onager_bastion		0	medium	1	false	ere_onager_bastion	12	0	1200	good_transport_ship	1	10	12	0	1200			345	catapult	-1		false	false	0	99991105	true		barbarian	att_art_field_land	att_special_transportship_naval	9
gon_onager		0	medium	1	false	gon_onager	40	0	1200	evil_transport_ship	1	10	40	0	1200			345	catapult	-1		false	false	0	99991112	true		roman	att_art_field_land	att_special_transportship_naval	6
gon_onager_bastion		0	medium	1	false	gon_onager_bastion	12	0	1200	good_transport_ship	1	10	12	0	1200			345	catapult	-1		false	false	0	99991113	true		roman	att_art_field_land	att_special_transportship_naval	6
har_onager		0	medium	1	false	har_onager	40	0	1200	evil_transport_ship	1	10	40	0	1400			345	catapult	-1		false	false	0	99991122	true		barbarian	att_art_field_land	att_special_transportship_naval	11
