unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_wr_main_units																															
wr_lasgalen_bows		0	heavy	1	false	wr_lasgalen_bows	100	0	1500	good_transport_ship	1	20	100	0	1500			425	tier_III_heavy	-1		false	false	0	667700001	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	2
wr_lasgalen_spears		0	heavy	1	false	wr_lasgalen_spears	100	0	1075	good_transport_ship	1	20	100	0	1075			320	tier_III_very_heavy	-1		false	false	0	667700002	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
wr_lasgalen_swords		0	heavy	1	false	wr_lasgalen_swords	100	0	1150	good_transport_ship	1	20	100	0	1150			340	tier_III_very_heavy	-1		false	false	0	667700003	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
wr_lasgalen_axes		0	heavy	1	false	wr_lasgalen_axes	100	0	1150	good_transport_ship	1	20	100	0	1150			340	tier_III_very_heavy	-1		false	false	0	667700019	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
wr_hall_guardians		0	heavy	1	false	wr_hall_guardians	85	0	1350	good_transport_ship	1	20	85	0	1350			415	tier_IV_heavy	-1		false	false	0	667700004	true		barbarian	att_inf_polearm_land	att_special_transportship_naval	2
wr_elvenking_riders		0	heavy	1	false	wr_elvenking_riders	60	0	1800	good_transport_ship	1	20	60	0	1800			525	tier_IV_very_heavy	-1		false	false	0	667700005	true		barbarian	att_cav_melee_land	att_special_transportship_naval	2
wr_lasgalen_lords		0	heavy	1	false	wr_lasgalen_lords	85	0	1500	good_transport_ship	1	20	85	0	1500			450	tier_IV_heavy	-1		false	false	0	667700006	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
wr_forest_rangers		0	light	1	false	wr_forest_rangers	100	0	1225	good_transport_ship	1	20	100	0	1225			175	tier_III_very_light	-1		false	false	0	667700007	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
wr_forest_sentinels		0	light	1	false	wr_forest_sentinels	120	0	925	good_transport_ship	1	40	120	0	925			255	tier_II_light	-1		false	false	0	667700008	true		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	2
