unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/exe_ereg_main_units																															
exe_ereg_volunteer_spears		0	light	1	false	exe_ereg_volunteer_spears	135	0	500	good_transport_ship	1	40	135	0	500			125	tier_I_light	-1		false	false	0	4200001005	false		barbarian	att_inf_spear_land	att_special_transportship_naval	2
exe_ereg_volunteer_archers		0	light	1	false	exe_ereg_volunteer_archers	135	0	625	good_transport_ship	1	40	135	0	625			155	tier_I_very_light	-1		false	false	0	4200001006	false		barbarian	att_inf_bow_land	att_special_transportship_naval	2
exe_ereg_hollin_sword_infantry		0	medium	1	false	exe_ereg_hollin_sword_infantry	110	0	1000	good_transport_ship	1	40	110	0	1000			275	tier_II_heavy	-1		false	false	0	4200001007	false		barbarian	att_inf_sword_land	att_special_transportship_naval	1
exe_ereg_hollin_pike_infantry		0	medium	1	false	exe_ereg_hollin_pike_infantry	110	0	975	good_transport_ship	1	40	110	0	975			270	tier_II_medium	-1		false	false	0	4200001008	false		barbarian	att_inf_pike_land	att_special_transportship_naval	1
exe_ereg_hollin_cavalry		0	heavy	1	false	exe_ereg_hollin_cavalry	60	0	1375	good_transport_ship	1	20	60	0	1375			370	tier_II_light	-1		false	false	0	4200001009	false		barbarian	spear_cavalry	att_special_transportship_naval	1
exe_ereg_spear_infantry		0	heavy	1	false	exe_ereg_spear_infantry	90	0	1125	good_transport_ship	1	20	90	0	1125			330	tier_III_very_heavy	-1		false	false	0	4200001000	false		barbarian	att_inf_spear_land	att_special_transportship_naval	1
exe_ereg_archers		0	heavy	1	false	exe_ereg_archers	90	0	1225	good_transport_ship	1	20	90	0	1225			355	tier_III_heavy	-1		false	false	0	4200001001	false		barbarian	att_inf_bow_land	att_special_transportship_naval	1
exe_ereg_hammer_infantry		0	heavy	1	false	exe_ereg_hammer_infantry	90	0	1300	good_transport_ship	1	20	90	0	1300			375	tier_III_very_heavy	-1		false	false	0	4200001002	false		barbarian	exe_hammer	att_special_transportship_naval	1
exe_ereg_swordsmen		0	heavy	1	false	exe_ereg_swordsmen	90	0	1200	good_transport_ship	1	20	90	0	1200			350	tier_III_heavy	-1		false	false	0	4200001003	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
exe_ereg_redhorn_pass_protectors		0	heavy	1	false	exe_ereg_redhorn_pass_protectors	80	0	1425	good_transport_ship	1	20	80	0	1425			430	tier_IV_very_heavy	-1		false	false	0	4200001004	false		barbarian	att_inf_axe_land	att_special_transportship_naval	1
exe_ereg_ost-in-edhil_defenders		0	heavy	1	false	exe_ereg_ost-in-edhil_defenders	80	0	1400	good_transport_ship	1	20	80	0	1400			425	tier_IV_heavy	-1		false	false	0	4200001010	false		barbarian	att_inf_polearm_land	att_special_transportship_naval	1
exe_ereg_ost-in-edhil_mounted_guard		0	heavy	1	false	exe_ereg_ost-in-edhil_mounted_guard	55	0	1850	good_transport_ship	1	20	55	0	1850			540	tier_IV_very_heavy	-1		false	false	0	4200001011	false		barbarian	att_cav_melee_land	att_special_transportship_naval	1
exe_ereg_mirdain_remnants		0	heavy	1	false	exe_ereg_mirdain_remnants	80	0	1800	good_transport_ship	1	20	80	0	1800			525	tier_IV_heavy	-1		false	false	0	4200001012	false		barbarian	att_inf_bow_land	att_special_transportship_naval	1
exe_ereg_celebrimbor_guard_vestige		0	heavy	1	false	exe_ereg_celebrimbor_guard_vestige	80	0	1450	good_transport_ship	1	20	80	0	1450			440	tier_IV_very_heavy	-1		false	false	0	4200001013	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
exe_ereg_onager		0	medium	1	false	exe_ereg_onager	40	0	1200	good_transport_ship	1	10	40	0	1200			215	catapult	-1		false	false	0	4200001014	false		barbarian	att_art_field_land	att_special_transportship_naval	1
exe_ereg_supply_barrel		0	medium	1	false	exe_ereg_supply_barrel	8	0	160	good_transport_ship	1	1	8	0	160			0	projectiles	-1		false	false	0	4200001015	false		barbarian	supply_barrel	att_special_transportship_naval	1
exe_ereg_supply_wagon		0	medium	1	false	exe_ereg_supply_wagon	1	0	1100	good_transport_ship	1	1	1	0	1100			275	medium	-1		false	false	0	4200001016	false		barbarian	supply_wagon	att_special_transportship_naval	1
