unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/exe_iml_main_units																															
exe_iml_rivendell_bows		0	light	1	false	exe_iml_rivendell_bows	120	0	775	good_transport_ship	1	40	120	0	775			195	tier_I_very_light	-1		false	false	0	4200000015	false		barbarian	att_inf_bow_land	att_special_transportship_naval	1
exe_iml_rivendell_longspears		0	light	1	false	exe_iml_rivendell_longspears	120	0	775	good_transport_ship	1	40	120	0	775			195	tier_I_light	-1		false	false	0	4200000016	false		barbarian	att_inf_polearm_land	att_special_transportship_naval	1
exe_iml_rivendell_riders		0	light	1	false	exe_iml_rivendell_riders	65	0	1150	good_transport_ship	1	20	65	0	1150			290	tier_I_very_light	-1		false	false	0	4200000017	false		barbarian	att_cav_shock_land	att_special_transportship_naval	1
exe_iml_archers		0	medium	1	false	exe_iml_archers	110	0	1025	good_transport_ship	1	40	110	0	1025			280	tier_II_medium	-1		false	false	0	4200000012	false		barbarian	att_inf_bow_land	att_special_transportship_naval	1
exe_iml_spears		0	heavy	1	false	exe_iml_spears	110	0	925	good_transport_ship	1	40	110	0	925			255	tier_II_heavy	-1		false	false	0	4200000013	false		barbarian	att_inf_spear_land	att_special_transportship_naval	1
exe_iml_swords		0	medium	1	false	exe_iml_swords	110	0	1000	good_transport_ship	1	40	110	0	1000			275	tier_II_medium	-1		false	false	0	4200000014	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
exe_iml_hidden_valley_rangers		0	light	1	false	exe_iml_hidden_valley_rangers	110	0	1125	good_transport_ship	1	40	110	0	1125			140	tier_II_light	-1		false	false	0	4200000046	false		barbarian	att_inf_bow_land	att_special_transportship_naval	1
exe_iml_noldorin_spears		0	heavy	1	false	exe_iml_noldorin_spears	90	0	1125	good_transport_ship	1	20	90	0	1125			330	tier_III_very_heavy	-1		false	false	0	4200000034	false		barbarian	att_inf_spear_land	att_special_transportship_naval	1
exe_iml_noldorin_sword_infantry		0	heavy	1	false	exe_iml_noldorin_sword_infantry	90	0	1200	good_transport_ship	1	20	90	0	1200			350	tier_III_very_heavy	-1		false	false	0	4200000042	false		barbarian	att_inf_sword_land	att_special_transportship_naval	1
exe_iml_loremasters		0	heavy	1	false	exe_iml_loremasters	80	0	1325	good_transport_ship	1	20	80	0	1325			405	tier_IV_very_light	-1		false	false	0	4200000024	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
exe_iml_elrond		0	heavy	1	false	exe_iml_elrond	80	1	1650	good_transport_ship	1	20	80	0	1650			490	tier_IV_very_heavy	-1		false	false	0	4200000048	false		barbarian	exe_hammer	att_special_transportship_naval	1
exe_iml_eregion_veterans		0	heavy	1	false	exe_iml_eregion_veterans	80	0	1550	good_transport_ship	1	20	80	0	1550			465	tier_IV_very_heavy	-1		false	false	0	4200000047	false		barbarian	exe_hammer	att_special_transportship_naval	1
exe_iml_lords_golden_flower		0	heavy	1	false	exe_iml_lords_golden_flower	55	0	1825	good_transport_ship	1	20	55	0	1825			530	tier_IV_very_heavy	-1		false	false	0	4200000038	false		barbarian	spear_cavalry	att_special_transportship_naval	1
exe_iml_glorfindel		0	heavy	1	false	exe_iml_glorfindel	55	1	1925	good_transport_ship	1	20	55	0	1925			555	tier_IV_very_heavy	-1		false	false	0	4200000039	false		barbarian	spear_cavalry	att_special_transportship_naval	1
