unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/exe_old_main_units																															
exe_lin_haven_javelins		0	medium	1	false	exe_lin_haven_javelins	135	0	650	att_lon_heavy_tra_cel	1	20	160	0	650			425	medium	-1		false	false	0	4200000006	false		nomad	att_inf_javelin_land	att_special_transportship_naval	1
exe_lin_haven_bows		0	light	1	false	exe_lin_haven_bows	135	0	700	att_lon_heavy_tra_cel	1	20	160	0	700			525	light	-1		false	false	0	4200000007	false		nomad	att_inf_bow_land	att_special_transportship_naval	1
exe_lin_haven_scouts		0	light	1	false	exe_lin_haven_scouts	70	0	900	att_lon_heavy_tra_cel	1	20	160	0	900			375	light	-1		false	false	0	4200000008	false		nomad	att_cav_bow_land	att_special_transportship_naval	1
exe_loth_lorien_bow_sentries		0	light	1	false	exe_loth_lorien_bow_sentries	120	3	950	att_lon_heavy_tra_cel	1	20	160	0	1200			225	very_light	-1		false	false	0	4199999995	false		nomad	att_inf_bow_land	att_special_transportship_naval	2
exe_loth_lorien_sword_sentries		0	light	1	false	exe_loth_lorien_sword_sentries	120	0	875	att_lon_heavy_tra_cel	1	20	160	0	1250			325	very_light	-1		false	false	0	4199999988	false		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	2
exe_loth_galadhrim_sword_infantry		0	heavy	1	false	exe_loth_galadhrim_sword_infantry	100	0	1100	att_lon_heavy_tra_cel	1	20	160	0	850			325	very_heavy	-1		false	false	0	4199999990	false		nomad	att_inf_sword_land	att_special_transportship_naval	2
exe_loth_galadhrim_spear_infantry		0	heavy	1	false	exe_loth_galadhrim_spear_infantry	100	0	1100	att_lon_heavy_tra_cel	1	20	160	0	850			325	very_heavy	-1		false	false	0	4199999989	false		nomad	att_inf_spear_land	att_special_transportship_naval	2
exe_loth_lorien_bows		0	heavy	1	false	exe_loth_lorien_bows	85	3	1350	att_lon_heavy_tra_cel	1	20	160	0	1200			225	very_heavy	-1		false	false	0	4199999992	false		nomad	att_inf_bow_land	att_special_transportship_naval	3
exe_loth_lorien_swords		0	heavy	1	false	exe_loth_lorien_swords	85	3	1325	att_lon_heavy_tra_cel	1	20	160	0	1250			325	very_heavy	-1		false	false	0	4199999987	false		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	3
exe_loth_celin_amroth_sentinels		0	heavy	1	false	exe_loth_celin_amroth_sentinels	85	1	1400	att_lon_heavy_tra_cel	1	20	160	0	850			325	very_heavy	-1		false	false	0	4199999985	false		nomad	att_inf_spear_land	att_special_transportship_naval	3
exe_loth_greenwood_marchwardens		0	light	1	false	exe_loth_greenwood_marchwardens	85	1	1575	att_lon_heavy_tra_cel	1	20	160	0	1200			225	light	-1		false	false	0	4199999994	false		nomad	att_inf_bow_land	att_special_transportship_naval	3
exe_loth_golden_wood_marchwardens		0	light	1	false	exe_loth_golden_wood_marchwardens	85	1	1525	att_lon_heavy_tra_cel	1	20	160	0	1200			225	light	-1		false	false	0	4199999993	false		nomad	att_inf_bow_land	att_special_transportship_naval	3
exe_loth_lorien_bow_cav		0	heavy	1	false	exe_loth_lorien_bow_cav	50	3	1775	att_lon_heavy_tra_cel	1	20	160	0	1200			225	very_heavy	-1		false	false	0	4199999998	false		nomad	att_cav_bow_land	att_special_transportship_naval	3
exe_wr_silvan_bows		0	light	1	false	exe_wr_silvan_bows	135	0	700	att_lon_heavy_tra_cel	1	20	160	0	700			525	light	-1		false	false	0	4200000020	false		nomad	att_inf_bow_land	att_special_transportship_naval	1
exe_wr_silvan_axes		0	medium	1	false	exe_wr_silvan_axes	135	0	600	att_lon_heavy_tra_cel	1	20	160	0	650			100	medium	-1		false	false	0	4200000021	false		nomad	att_inf_axe_land	att_special_transportship_naval	1
exe_wr_silvan_spears		0	medium	1	false	exe_wr_silvan_spears	135	0	575	att_lon_heavy_tra_cel	1	20	160	0	600			450	medium	-1		false	false	0	4200000022	false		nomad	att_inf_spear_land	att_special_transportship_naval	1
exe_wr_forest_bows		0	medium	1	false	exe_wr_forest_bows	120	0	900	att_lon_heavy_tra_cel	1	20	160	0	900			400	medium	-1		false	false	0	4200000018	false		nomad	att_inf_bow_land	att_special_transportship_naval	2
exe_wr_forest_axes		0	medium	1	false	exe_wr_forest_axes	120	0	850	att_lon_heavy_tra_cel	1	20	160	0	850			350	medium	-1		false	false	0	4200000019	false		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	2
exe_wr_forest_spears		0	heavy	1	false	exe_wr_forest_spears	120	0	900	att_lon_heavy_tra_cel	1	20	160	0	900			350	heavy	-1		false	false	0	4200000045	false		nomad	att_inf_spear_land	att_special_transportship_naval	2
exe_wr_beorning_berserkers		0	medium	1	false	exe_wr_beorning_berserkers	120	2	1050	att_lon_heavy_tra_cel	1	20	160	0	1050			300	medium	-1		false	false	0	4200000036	false		nomad	att_inf_polearm_shock_land	att_special_transportship_naval	3
exe_wr_gate_wardens		0	heavy	1	false	exe_wr_gate_wardens	85	3	1300	att_lon_heavy_tra_cel	1	20	160	0	1300			600	very_heavy	-1		false	false	0	4200000035	false		nomad	att_inf_spear_land	att_special_transportship_naval	3
