unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_dol_amroth_main_units																															
dol_amroth_knights		0	heavy	1	false	dol_amroth_knights	130	3	1075	att_lon_heavy_tra_cel	1	20	160	0	1050			850	tier_III_very_heavy	-1		false	false	0	755555020	false		roman	att_inf_sword_land	att_special_transportship_naval	4
dol_champions_of_dor_ernil		0	heavy	1	false	dol_champions_of_dor_ernil	140	0	1075	att_lon_heavy_tra_cel	1	20	160	0	1025			850	tier_III_very_heavy	-1		false	false	0	755555021	false		roman	att_inf_polearm_shock_land	att_special_transportship_naval	6
dol_knight_edhellond		0	heavy	1	false	dol_knight_edhellond	70	0	1500	att_lon_heavy_tra_cel	1	20	160	0	1350			1050	tier_III_very_heavy	-1		false	false	0	755555022	false		roman	att_cav_melee_land	att_special_transportship_naval	4
dol_princes_footmen		0	medium	1	false	dol_princes_footmen	170	0	750	att_lon_heavy_tra_cel	1	20	160	0	775			775	tier_II_medium	-1		false	false	0	755555023	false		roman	att_inf_sword_land	att_special_transportship_naval	6
dol_amrothian_watchmen		0	light	1	false	dol_amrothian_watchmen	190	0	575	att_lon_heavy_tra_cel	1	20	160	0	625			625	tier_I_light	-1		false	false	0	755555024	false		roman	att_inf_spear_land	att_special_transportship_naval	6
dol_amrothian_deckmen		0	light	0	false	dol_amrothian_deckmen	190	0	475	att_lon_heavy_tra_cel	1	20	160	0	425			20	tier_I_very_light	-1		false	false	0	755555025	false		roman	att_inf_javelin_land	att_special_transportship_naval	6
dol_amorthian_squires		0	medium	0	false	dol_amorthian_squires	85	0	800	att_lon_heavy_tra_cel	1	20	160	0	825			160	tier_I_medium	-1		false	false	0	755555025	false		roman	att_cav_melee_land	att_special_transportship_naval	6
dol_patrollers_of_belfalas		0	medium	0	false	dol_patrollers_of_belfalas	85	0	800	att_lon_heavy_tra_cel	1	20	160	0	875			160	tier_I_medium	-1		false	false	0	755555025	false		roman	att_cav_shock_land	att_special_transportship_naval	6
dol_prince_marksmen		0	medium	0	false	dol_prince_marksmen	170	0	800	att_lon_heavy_tra_cel	1	20	160	0	750			160	tier_II_medium	-1		false	false	0	755555025	false		roman	att_inf_bow_land	att_special_transportship_naval	6
dol_sentinels		0	heavy	0	false	dol_sentinels	110	1	1475	att_lon_heavy_tra_cel	1	20	160	0	1200			415	tier_IV_very_heavy	-1		false	false	0	755555025	false		roman	att_inf_pike_land	att_special_transportship_naval	4
dol_prince_imrahil_swan		0	heavy	0	false	dol_prince_imrahil_swan	65	0	1875	att_lon_heavy_tra_cel	1	20	160	0	1750			160	tier_IV_very_heavy	-1		false	false	0	755555030	false		roman	att_cav_shock_land	att_special_transportship_naval	4
dol_princes_coastguard		0	medium	1	false	dol_princes_coastguard	155	0	850	att_lon_heavy_tra_cel	1	40	155	0	850			240	tier_II_medium	-1		false	false	0	755555032	false	Rom_AOR_Belfalas	roman	att_inf_polearm_land	att_special_transportship_naval	4
dol_princes_sergeants		0	heavy	1	false	dol_princes_sergeants	70	0	1150	att_lon_heavy_tra_cel	1	20	70	0	1150			315	tier_II_heavy	-1		false	false	0	755555033	false	Rom_AOR_Belfalas	roman	spear_cavalry	att_special_transportship_naval	4
