unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_umbar_main_units																															
umb_slaves_of_umbar		0	light	1	false	umb_slaves_of_umbar	225	0	500	att_lon_heavy_tra_cel	1	20	160	0	525			375	tier_I_very_light	-1		false	false	0	755555001	false		barbarian	att_inf_axe_land	att_special_transportship_naval	11
umb_balik_bowmen		0	light	1	false	umb_balik_bowmen	190	0	400	att_lon_heavy_tra_cel	1	20	160	0	600			375	tier_I_very_light	-1		false	false	0	755555002	false		barbarian	att_inf_bow_land	att_special_transportship_naval	11
umb_corsair_blades		0	light	1	false	umb_corsair_blades	190	0	475	att_lon_heavy_tra_cel	1	20	160	0	575			375	tier_I_light	-1		false	false	0	755555003	false		barbarian	att_inf_sword_land	att_special_transportship_naval	11
umb_haradrim_hunters		0	light	1	false	umb_haradrim_hunters	190	3	600	att_lon_heavy_tra_cel	1	20	160	0	575			375	tier_I_light	-1		false	false	0	755555004	false		barbarian	att_inf_javelin_land	att_special_transportship_naval	11
umb_balik_axemen		0	medium	1	false	umb_balik_axemen	170	0	725	att_lon_heavy_tra_cel	1	20	160	0	700			375	tier_II_medium	-1		false	false	0	755555005	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	11
umb_haradrim_auxillaries		0	medium	1	false	umb_haradrim_auxillaries	80	3	900	att_lon_heavy_tra_cel	1	20	160	0	850			375	tier_II_medium	-1		false	false	0	755555006	false		barbarian	att_cav_shock_land	att_special_transportship_naval	11
umb_lb_corsair_archers		0	medium	1	false	umb_lb_corsair_archers	170	0	600	att_lon_heavy_tra_cel	1	20	200	0	650			375	tier_II_medium	-1		false	false	0	755555007	false		barbarian	att_inf_bow_land	att_special_transportship_naval	11
umb_lb_corsair_marines		0	medium	1	false	umb_lb_corsair_marines	170	0	600	att_lon_heavy_tra_cel	1	20	200	0	700			375	tier_II_medium	-1		false	false	0	755555008	false		barbarian	att_inf_axe_land	att_special_transportship_naval	11
umb_usurpers		0	heavy	1	false	umb_usurpers	140	0	1025	att_lon_heavy_tra_cel	1	20	200	0	975			375	tier_III_very_heavy	-1		false	false	0	755555009	false		barbarian	att_inf_sword_land	att_special_transportship_naval	11
umb_cheiroballista		0	light	1	false	umb_cheiroballista	40	5	1300	att_cor_light_rom	1	10	40	0	1300			375	very_light	-1		false	false	0	755555010	false		barbarian	att_art_field_land	att_special_transportship_naval	11
umb_onager		0	medium	1	false	umb_onager	40	5	1200	att_cor_light_rom	1	10	40	0	1500			375	medium	-1		false	false	0	755555011	false		barbarian	att_art_field_land	att_special_transportship_naval	11
umb_maces_of_tolfalas		0	heavy	1	false	umb_maces_of_tolfalas	140	0	975	att_lon_heavy_tra_cel	1	20	160	0	950			375	tier_III_heavy	-1		false	false	0	755555012	false		barbarian	att_inf_axe_land	att_special_transportship_naval	11
umb_black_haven_sentries		0	heavy	1	false	umb_black_haven_sentries	140	0	975	att_lon_heavy_tra_cel	1	20	160	0	975			375	tier_III_heavy	-1		false	false	0	755555013	false		barbarian	att_inf_polearm_land	att_special_transportship_naval	11
umb_black_haven_guard		0	heavy	1	false	umb_black_haven_guard	140	0	975	att_lon_heavy_tra_cel	1	20	160	0	1000			375	tier_III_heavy	-1		false	false	0	755555014	false		barbarian	att_inf_spear_land	att_special_transportship_naval	11
umb_supply_barrel		0	medium	1	false	umb_supply_barrel	4	0	160	att_lon_heavy_tra_cel	1	1	4	0	160			0	medium	-1		false	false	0	755555015	false		barbarian	supply_barrel	att_special_transportship_naval	11
umb_ar_pharazon_azgar		0	heavy	1	false	umb_ar_pharazon_azgar	110	1	1225	att_lon_heavy_tra_cel	1	20	160	0	1250			375	tier_IV_very_heavy	-1		false	false	0	755555016	false		barbarian	att_inf_sword_land	att_special_transportship_naval	5
umb_agannalo		0	medium	1	false	umb_agannalo	80	1	1300	att_lon_heavy_tra_cel	1	20	160	0	1300			375	tier_IV_very_light	-1		false	false	0	755555017	false		barbarian	com	att_special_transportship_naval	11
umb_bakulmagan		0	heavy	1	false	umb_bakulmagan	110	1	1425	att_lon_heavy_tra_cel	1	20	160	0	1350			375	tier_IV_very_heavy	-1		false	false	0	755555018	false		barbarian	att_inf_spear_land	att_special_transportship_naval	5
umb_black_haven_marksmen		0	medium	1	false	umb_black_haven_marksmen	140	0	975	att_lon_heavy_tra_cel	1	20	160	0	925			375	tier_III_medium	-1		false	false	0	755555019	false		barbarian	att_inf_bow_land	att_special_transportship_naval	11
umb_har_corsair_marines		0	light	1	false	har_corsair_marines	170	0	800	att_lon_heavy_tra_cel	1	40	170	0	800			225	tier_II_very_light	-1		false	false	0	99991066	false	Rom_AOR_Harad_Coasts	barbarian	att_inf_javelin_land	att_special_transportship_naval	11
