unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_dorwinion_main_units																															
dor_vineland_watchmen		0	medium	1	false	dor_vineland_watchmen	170	0	700	att_lon_heavy_tra_cel	1	20	160	0	650			375	tier_II_medium	-1		false	false	0	99991003	false		roman	att_inf_pike_land	att_special_transportship_naval	6
dor_merchant_escorts		0	heavy	1	false	dor_merchant_escorts	80	3	1000	att_lon_heavy_tra_cel	1	20	160	0	1000			375	tier_II_heavy	-1		false	false	0	99991014	false		roman	att_cav_melee_land	att_special_transportship_naval	6
dor_vineland_yardpatrollers		0	medium	1	false	dor_vineland_yardpatrollers	170	0	700	att_lon_heavy_tra_cel	1	20	160	0	575			375	tier_II_medium	-1		false	false	0	99991018	false		roman	att_inf_bow_land	att_special_transportship_naval	6
dor_vineland_guard_sword		0	heavy	1	false	dor_vineland_guard_sword	120	2	1225	att_lon_heavy_tra_cel	1	20	160	0	1225			375	tier_IV_very_heavy	-1		false	false	0	99991019	false		roman	att_inf_sword_land	att_special_transportship_naval	6
dor_vineland_spear_militia		0	light	1	false	dor_vineland_spear_militia	190	0	525	att_lon_heavy_tra_cel	1	20	160	0	600			375	tier_I_light	-1		false	false	0	99991020	false		roman	att_inf_spear_land	att_special_transportship_naval	6
dor_dorwinion_sword_milita		0	light	1	false	dor_dorwinion_sword_milita	190	0	600	att_lon_heavy_tra_cel	1	20	160	0	475			375	tier_I_light	-1		false	false	0	99991021	false		roman	att_inf_sword_land	att_special_transportship_naval	6
dor_vineland_seafarers		0	light	1	false	dor_vineland_seafarers	190	0	525	att_lon_heavy_tra_cel	1	20	160	0	425			375	tier_I_light	-1		false	false	0	99991022	false		roman	att_inf_bow_land	att_special_transportship_naval	6
dor_vineland_men_at_arms		0	medium	1	false	dor_vineland_men_at_arms	170	0	800	att_lon_heavy_tra_cel	1	20	160	0	900			375	tier_II_medium	-1		false	false	0	99991023	false		roman	att_inf_sword_land	att_special_transportship_naval	6
dor_vineland_vanguard		0	medium	1	false	dor_vineland_vanguard	80	0	975	att_lon_heavy_tra_cel	1	20	160	0	1025			375	tier_II_medium	-1		false	false	0	99991024	false		roman	att_cav_shock_land	att_special_transportship_naval	6
dor_dorwinion_spearguard		0	heavy	1	false	dor_dorwinion_spearguard	140	0	900	att_lon_heavy_tra_cel	1	20	160	0	950			375	tier_III_heavy	-1		false	false	0	99991025	false		roman	att_inf_spear_land	att_special_transportship_naval	6
dor_dorwinion_crossbow		0	heavy	1	false	dor_dorwinion_crossbow	140	0	925	att_lon_heavy_tra_cel	1	20	160	0	925			375	tier_III_heavy	-1		false	false	0	99991026	false		roman	att_inf_crossbow_land	att_special_transportship_naval	6
dor_dorwinion_Infantry		0	heavy	1	false	dor_dorwinion_Infantry	140	0	1000	att_lon_heavy_tra_cel	1	20	160	0	1075			375	tier_III_heavy	-1		false	false	0	99991027	false		roman	att_inf_sword_land	att_special_transportship_naval	6
dor_warden		0	heavy	1	false	dor_warden	120	2	1200	att_lon_heavy_tra_cel	1	20	160	0	1150			375	tier_IV_heavy	-1		false	false	0	99991028	false		roman	att_inf_polearm_land	att_special_transportship_naval	6
dor_avari_warriors		0	heavy	1	false	dor_avari_warriors	85	1	1300	att_lon_heavy_tra_cel	1	20	160	0	1375			375	tier_IV_very_heavy	-1		false	false	0	99991029	false		roman	att_inf_spear_land	att_special_transportship_naval	3
dor_onager		0	medium	1	false	dor_onager	40	5	1200	att_cor_light_rom	1	10	40	0	1200			215	medium	-1		false	false	0	99991031	false		roman	att_art_field_land	att_special_transportship_naval	6
dor_supply_barrel		0	medium	1	false	dor_supply_barrel	4	0	160	att_lon_heavy_tra_cel	1	1	4	0	160			0	medium	-1		false	false	0	99991032	false		roman	supply_barrel	att_special_transportship_naval	6
dor_dorwinion_vinter_guard		0	heavy	1	false	dor_dorwinion_vinter_guard	140	0	975	att_lon_heavy_tra_cel	1	20	160	0	875			375	tier_III_heavy	-1		false	false	0	99991033	false		roman	att_inf_polearm_land	att_special_transportship_naval	6
dor_riders_of_the_vinter_court		0	heavy	1	false	dor_riders_of_the_vinter_court	65	0	1700	att_lon_heavy_tra_cel	1	20	160	0	1550			375	tier_IV_very_heavy	-1		false	false	0	99991034	false		roman	att_cav_shock_land	att_special_transportship_naval	6
