unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_ered_luin_main_units_tables																															
el_bridge_wardens		0	heavy	1	false	el_bridge_wardens	150	0	575	att_lon_heavy_tra_cel	1	20	200	0	775			195	tier_I_heavy	-1		false	false	0	9999710801	false		eastern	att_inf_spear_land	att_special_transportship_naval	9
el_dwarven_shooters		0	light	1	false	el_dwarven_shooters	150	0	650	att_lon_heavy_tra_cel	1	20	200	0	575			145	tier_I_light	-1		false	false	0	9999710802	false		eastern	att_inf_sling_land	att_special_transportship_naval	9
el_firebeared_scouts		0	light	1	false	el_firebeared_scouts	150	0	725	att_lon_heavy_tra_cel	1	20	200	0	575			145	tier_I_light	-1		false	false	0	9999710803	false		eastern	att_inf_bow_land	att_special_transportship_naval	9
el_merchant_wardens		0	medium	1	false	el_merchant_wardens	150	0	600	att_lon_heavy_tra_cel	1	20	200	0	600			150	tier_I_medium	-1		false	false	0	9999710804	false		eastern	att_inf_sword_land	att_special_transportship_naval	9
el_broadbeam_pikes		0	medium	1	false	el_broadbeam_pikes	150	0	925	att_lon_heavy_tra_cel	1	20	200	0	875			245	tier_II_medium	-1		false	false	0	9999710805	false		eastern	att_inf_polearm_land	att_special_transportship_naval	9
el_broadbeam_axe_warriors		0	heavy	1	false	el_broadbeam_axe_warriors	135	0	850	att_lon_heavy_tra_cel	1	20	200	0	850			290	tier_II_heavy	-1		false	false	0	9999710806	false		eastern	att_inf_axe_land	att_special_transportship_naval	9
el_firebeared_orc_hunters		0	heavy	1	false	el_firebeared_orc_hunters	135	0	925	att_lon_heavy_tra_cel	1	20	200	0	925			220	tier_II_heavy	-1		false	false	0	9999710807	false		eastern	att_inf_javelin_land	att_special_transportship_naval	9
el_noldorian_borderguards		0	heavy	1	false	el_noldorian_borderguards	135	3	1225	att_lon_heavy_tra_cel	1	20	200	0	975			270	tier_III_heavy	-1		false	false	0	9999710808	false		eastern	att_inf_bow_land	att_special_transportship_naval	3
el_broadbeam_shielders		0	heavy	1	false	el_broadbeam_shielders	115	0	1175	att_lon_heavy_tra_cel	1	20	200	0	1175			375	tier_III_heavy	-1		false	false	0	9999710809	false		eastern	att_inf_axe_land	att_special_transportship_naval	9
el_firebeared_hammers		0	heavy	1	false	el_firebeared_hammers	115	0	1175	att_lon_heavy_tra_cel	1	20	200	0	1175			375	tier_III_heavy	-1		false	false	0	9999710810	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
el_firebeared_crossbows		0	medium	1	false	el_firebeared_crossbows	115	0	1100	att_lon_heavy_tra_cel	1	20	200	0	1025			375	tier_III_medium	-1		false	false	0	9999710811	false		eastern	att_inf_crossbow_land	att_special_transportship_naval	9
el_broadbeam_underground_guard		0	medium	1	false	el_broadbeam_underground_guard	115	0	1100	att_lon_heavy_tra_cel	1	20	200	0	1025			375	tier_III_medium	-1		false	false	0	9999710812	false		eastern	att_inf_polearm_land	att_special_transportship_naval	9
el_gabligathol_wardens		0	heavy	1	false	el_gabligathol_wardens	100	2	1475	att_lon_heavy_tra_cel	1	20	200	0	1475			375	tier_IV_heavy	-1		false	false	0	9999710813	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
el_tomb_protectors		0	heavy	1	false	el_tomb_protectors	100	2	1350	att_lon_heavy_tra_cel	1	20	200	0	1350			375	tier_IV_heavy	-1		false	false	0	9999710814	false		eastern	att_inf_axe_land	att_special_transportship_naval	9
