unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_iron_hills_main_units																															
ere_iron_guardians		0	heavy	1	false	ere_iron_guardians	100	1	1300	att_lon_heavy_tra_cel	1	20	200	0	1125			375	tier_IV_very_heavy	-1		false	false	0	9999710043	false		eastern	att_inf_spear_land	att_special_transportship_naval	9
iro_sons_of_mountain		0	heavy	1	false	iro_sons_of_mountain	100	1	1450	att_lon_heavy_tra_cel	1	20	200	0	1425			375	tier_IV_heavy	-1		false	false	0	9999710044	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
ere_ered_mithrin_veterans		0	medium	1	false	ere_ered_mithrin_veterans	100	1	1350	att_lon_heavy_tra_cel	1	20	200	0	1350			375	tier_IV_medium	-1		false	false	0	9999710046	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
iro_mattock_warriors		0	heavy	1	false	iro_mattock_warriors	135	0	925	att_lon_heavy_tra_cel	1	20	200	0	1000			375	tier_II_heavy	-1		false	false	0	9999710053	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
iro_dwarven_company		0	medium	1	false	ere_dwarven_company	150	0	700	att_lon_heavy_tra_cel	1	20	200	0	525			375	tier_I_medium	-1		false	false	0	9999710059	false		eastern	att_inf_axe_land	att_special_transportship_naval	9
iro_dain_ironfoot		0	heavy	1	false	iro_dain_ironfoot	100	1	1550	att_lon_heavy_tra_cel	1	20	200	0	1425			375	tier_IV_very_heavy	-1		false	false	0	9999710047	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
iro_dwarven_spearguard		0	medium	1	false	iro_dwarven_spearguard	150	0	625	att_lon_heavy_tra_cel	1	20	200	0	600			375	tier_I_medium	-1		false	false	0	9999710064	false		eastern	att_inf_spear_land	att_special_transportship_naval	9
iro_dwarven_volunteers		0	light	1	false	iro_dwarven_volunteers	150	0	725	att_lon_heavy_tra_cel	1	20	200	0	800			375	tier_I_very_light	-1		false	false	0	9999710065	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
iro_carnen_axe_throwers		0	medium	1	false	iro_carnen_axe_throwers	135	0	1025	att_lon_heavy_tra_cel	1	20	200	0	775			375	tier_II_medium	-1		false	false	0	9999710066	false		eastern	att_inf_javelin_land	att_special_transportship_naval	9
iro_carnen_spearguard		0	heavy	1	false	iro_carnen_spearguard	115	3	1075	att_lon_heavy_tra_cel	1	20	200	0	1050			375	tier_III_heavy	-1		false	false	0	9999710067	false		eastern	att_inf_spear_land	att_special_transportship_naval	9
iro_dragonslayers		0	heavy	1	false	iro_dragonslayers	100	1	1350	att_lon_heavy_tra_cel	1	20	200	0	1300			375	tier_IV_very_heavy	-1		false	false	0	9999710068	false		eastern	att_inf_pike_land	att_special_transportship_naval	9
iro_dwarven_infantry		0	medium	1	false	iro_dwarven_infantry	135	0	900	att_lon_heavy_tra_cel	1	20	200	0	750			375	tier_II_medium	-1		false	false	0	9999710069	false		eastern	att_inf_axe_land	att_special_transportship_naval	9
iro_iron_pikemen		0	heavy	1	false	iro_iron_pikemen	115	0	1075	att_lon_heavy_tra_cel	1	20	200	0	1025			375	tier_III_heavy	-1		false	false	0	9999710070	false		eastern	att_inf_pike_land	att_special_transportship_naval	9
iro_iron_warriors		0	heavy	1	false	iro_iron_warriors	115	0	1125	att_lon_heavy_tra_cel	1	20	200	0	1075			375	tier_III_heavy	-1		false	false	0	9999710071	false		eastern	att_inf_sword_land	att_special_transportship_naval	9
iro_ered_crossbows		0	medium	1	false	iro_ered_crossbows	115	3	1100	att_lon_heavy_tra_cel	1	20	200	0	1025			375	tier_III_medium	-1		false	false	0	9999710072	false		eastern	att_inf_crossbow_land	att_special_transportship_naval	9
iro_ered_volunteers		0	medium	1	false	iro_ered_volunteers	115	3	1175	att_lon_heavy_tra_cel	1	20	200	0	1125			375	tier_III_medium	-1		false	false	0	9999710073	false		eastern	att_inf_polearm_shock_land	att_special_transportship_naval	9
iro_fortress_guardians		0	heavy	1	false	iro_fortress_guardians	100	1	1500	att_lon_heavy_tra_cel	1	20	200	0	1400			375	tier_IV_very_heavy	-1		false	false	0	9999710074	false		eastern	att_inf_crossbow_land	att_special_transportship_naval	9
iro_onager		0	medium	1	false	iro_onager	40	5	1200	att_cor_light_rom	1	10	40	0	425			215	medium	-1		false	false	0	9999710075	false		eastern	att_art_field_land	att_special_transportship_naval	9
iro_iron_crossbowmen		0	medium	1	false	iro_iron_crossbowmen	135	0	900	att_lon_heavy_tra_cel	1	20	200	0	850			375	tier_II_medium	-1		false	false	0	9999710076	false		eastern	att_inf_crossbow_land	att_special_transportship_naval	9
iro_supply_barrel		0	medium	1	false	iro_supply_barrel	4	0	160	att_lon_heavy_tra_cel	1	1	4	0	160			0	medium	-1		false	false	0	9999710077	false		eastern	supply_barrel	att_special_transportship_naval	9
