unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_khand_main_units																															
kha_akha_tribalists		0	light	0	false	kha_akha_tribalists	190	0	525	att_lon_heavy_tra_cel	1	20	160	0	475			375	tier_I_light	-1		false	false	0	755554001	false		barbarian	att_inf_axe_land	att_special_transportship_naval	12
kha_bane_of_the_steppes		0	heavy	0	false	kha_bane_of_the_steppes	70	2	1525	att_lon_heavy_tra_cel	1	20	160	0	1250			375	tier_IV_heavy	-1		false	false	0	755554002	false		barbarian	com	att_special_transportship_naval	12
kha_akha_spearfishers		0	light	0	false	kha_akha_spearfishers	190	0	525	att_lon_heavy_tra_cel	1	20	160	0	500			375	tier_I_light	-1		false	false	0	755554003	false		barbarian	att_inf_spear_land	att_special_transportship_naval	12
kha_akha_hunters		0	light	0	false	kha_akha_hunters	190	0	425	att_lon_heavy_tra_cel	1	20	160	0	425			375	tier_I_very_light	-1		false	false	0	755554004	false		barbarian	att_inf_bow_land	att_special_transportship_naval	12
kha_khandish_raiders		0	light	0	false	kha_khandish_raiders	170	0	725	att_lon_heavy_tra_cel	1	20	160	0	700			375	tier_II_medium	-1		false	false	0	755554005	false		barbarian	att_inf_axe_land	att_special_transportship_naval	12
kha_khandish_sentries		0	medium	0	false	kha_khandish_sentries	170	0	725	att_lon_heavy_tra_cel	1	20	200	0	725			181	tier_II_medium	-1		false	false	0	888881008	false		barbarian	att_inf_sword_land	att_special_transportship_naval	12
kha_khandish_bowmen		0	medium	0	false	kha_khandish_bowmen	170	0	700	att_lon_heavy_tra_cel	1	20	160	0	750			375	tier_II_medium	-1		false	false	0	755554007	false		barbarian	att_inf_bow_land	att_special_transportship_naval	12
kha_khandish_horse_archers		0	medium	0	false	kha_khandish_horse_archers	80	0	1075	att_lon_heavy_tra_cel	1	20	200	0	950			375	tier_II_medium	-1		false	false	0	755554008	false		barbarian	att_cav_bow_land	att_special_transportship_naval	12
kha_wainrider_spear_warriors		0	heavy	0	false	kha_wainrider_spear_warriors	140	2	1025	att_lon_heavy_tra_cel	1	20	160	0	1100			375	tier_III_heavy	-1		false	false	0	755554009	false		barbarian	att_inf_spear_land	att_special_transportship_naval	12
kha_variag_warriors		0	medium	0	false	kha_variag_warriors	140	0	1000	att_lon_heavy_tra_cel	1	20	160	0	1050			375	tier_III_medium	-1		false	false	0	755554010	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	12
kha_variag_bowmen		0	medium	0	false	kha_variag_bowmen	140	0	1150	att_lon_heavy_tra_cel	1	20	160	0	1150			375	tier_III_medium	-1		false	false	0	755554011	false		barbarian	att_inf_bow_land	att_special_transportship_naval	12
kha_variag_horse_archers		0	heavy	0	false	kha_variag_horse_archers	75	0	1525	att_lon_heavy_tra_cel	1	20	160	0	1300			375	tier_III_medium	-1		false	false	0	755554012	false		barbarian	att_cav_bow_land	att_special_transportship_naval	12
kha_variag_riders		0	heavy	0	false	kha_variag_riders	75	0	1300	att_lon_heavy_tra_cel	1	20	160	0	1275			375	tier_III_heavy	-1		false	false	0	755554013	false		barbarian	spear_cavalry	att_special_transportship_naval	12
kha_akha_chosen		0	heavy	0	false	kha_akha_chosen	75	0	1350	att_lon_heavy_tra_cel	1	20	160	0	1275			375	tier_III_heavy	-1		false	false	0	755554014	false		barbarian	att_cav_melee_land	att_special_transportship_naval	12
kha_khandish_cataphracts		0	heavy	0	false	kha_khandish_cataphracts	70	2	1625	att_lon_heavy_tra_cel	1	20	160	0	1500			375	tier_IV_heavy	-1		false	false	0	755554015	false		barbarian	att_cav_shock_land	att_special_transportship_naval	12
kha_wainrider_nobles		0	heavy	0	false	kha_wainrider_nobles	70	1	1750	att_lon_heavy_tra_cel	1	20	160	0	1425			375	tier_IV_very_heavy	-1		false	false	0	755554016	false		barbarian	com	att_special_transportship_naval	12
kha_eastern_legion		0	heavy	0	false	kha_eastern_legion	120	2	1325	att_lon_heavy_tra_cel	1	20	160	0	1300			375	tier_IV_very_heavy	-1		false	false	0	755554017	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	12
kha_akha_raiders		0	light	0	false	kha_akha_raiders	190	0	575	att_lon_heavy_tra_cel	1	20	160	0	525			375	tier_I_very_light	-1		false	false	0	755554018	false		barbarian	att_inf_javelin_land	att_special_transportship_naval	12
kha_khandish_berserkers		0	light	0	false	kha_khandish_berserkers	170	3	725	att_lon_heavy_tra_cel	1	20	160	0	725			375	tier_II_light	-1		false	false	0	755554019	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	12
kha_onager		0	medium	1	false	kha_onager	40	5	1200	att_cor_light_rom	1	10	40	0	425			215	medium	-1		false	false	0	755554020	false		barbarian	att_art_field_land	att_special_transportship_naval	12
kha_khandish_outriders		0	medium	0	false	kha_khandish_outriders	80	0	1050	att_lon_heavy_tra_cel	1	20	160	0	1000			375	tier_II_medium	-1		false	false	0	755554021	false		barbarian	att_cav_melee_land	att_special_transportship_naval	12
kha_supply_barrel		0	medium	1	false	kha_supply_barrel	4	0	160	att_lon_heavy_tra_cel	1	1	4	0	160			0	medium	-1		false	false	0	755554022	false		barbarian	supply_barrel	att_special_transportship_naval	12
