unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/rom_rhu_main_units_tables																															
rhu_corcurian_axe_hird		0	medium	0	false	rhu_corcurian_axe_hird	170	0	875		0	170	170	0	950			0	tier_II_medium	-1		false	false	0	755554041	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	17
rhu_trev_duvardain_reavers		0	heavy	0	false	rhu_trev_duvardain_reavers	120	2	1225		0	120	120	0	1225			0	tier_IV_heavy	-1		false	false	0	755554042	false		barbarian	att_inf_sword_land	att_special_transportship_naval	17
rhu_trev_gallorg_wardens		0	heavy	0	false	rhu_trev_gallorg_wardens	120	2	1075		0	120	120	0	1125			0	tier_IV_heavy	-1		false	false	0	755554043	false		barbarian	att_inf_spear_land	att_special_transportship_naval	17
rhu_bondi_axes		0	light	0	false	rhu_bondi_axes	190	0	600		0	190	190	0	600			0	tier_I_light	-1		false	false	0	755554044	false		barbarian	att_inf_axe_land	att_special_transportship_naval	17
rhu_bondi_spears		0	light	0	false	rhu_bondi_spears	190	0	525		0	190	190	0	575			0	tier_I_light	-1		false	false	0	755554045	false		barbarian	att_inf_spear_land	att_special_transportship_naval	17
rhu_hillman_hunters		0	light	0	false	rhu_hillman_hunters	190	0	525		0	190	190	0	525			0	tier_I_light	-1		false	false	0	755554046	false		barbarian	att_inf_bow_land	att_special_transportship_naval	17
rhu_weather_hill_scavengers		0	medium	0	false	rhu_weather_hill_scavengers	170	0	825		0	170	170	0	825			0	tier_II_medium	-1		false	false	0	755554048	false		barbarian	att_inf_axe_land	att_special_transportship_naval	17
rhu_coldfell_spearband		0	medium	0	false	rhu_coldfell_spearband	170	0	800		0	170	170	0	775			0	tier_II_medium	-1		false	false	0	755554049	false		barbarian	att_inf_spear_land	att_special_transportship_naval	17
rhu_ettenmoor_marksmen		0	medium	0	false	rhu_ettenmoor_marksmen	170	0	750		0	170	170	0	700			0	tier_II_medium	-1		false	false	0	755554050	false		barbarian	att_inf_bow_land	att_special_transportship_naval	17
rhu_corcurian_raiders		0	heavy	0	false	rhu_corcurian_raiders	80	0	1075		0	140	140	0	900			0	tier_II_medium	-1		false	false	0	755554051	false		barbarian	att_cav_melee_land	att_special_transportship_naval	17
rhu_creothean_retainers		0	heavy	0	false	rhu_creothean_retainers	140	0	975		0	140	140	0	1000			0	tier_III_heavy	-1		false	false	0	755554052	false		barbarian	att_inf_sword_land	att_special_transportship_naval	17
rhu_creothean_raiders		0	heavy	0	false	rhu_creothean_raiders	140	0	1000		0	140	140	0	1025			0	tier_III_heavy	-1		false	false	0	755554053	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	17
rhu_trev_duvardain_packmasters		0	medium	0	false	rhu_trev_duvardain_packmasters	120	1	1500		0	120	120	0	1525			0	tier_IV_very_light	-1		false	false	0	755554055	false		barbarian	att_special_wardog_land	att_special_transportship_naval	17
rhu_crrothean_hill_riders		0	heavy	0	false	rhu_crrothean_hill_riders	75	0	1475		0	75	75	0	1425			0	tier_III_heavy	-1		false	false	0	755554054	false		barbarian	att_cav_shock_land	att_special_transportship_naval	17
