unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/wftm_ered_mithrin_main_units																															
em_snow_axes		0	light	1	false	em_snow_axes	150	0	675	att_lon_heavy_tra_cel	1	20	200	0	675			170	tier_I_very_light	-1		false	false	0	99999991036	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
em_dwarven_conscripts		0	medium	1	false	em_dwarven_conscripts	150	0	725	att_lon_heavy_tra_cel	1	20	200	0	725			180	tier_I_medium	-1		false	false	0	99999991037	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_axe_land	att_special_transportship_naval	1
em_grey_mountain_scouts		0	light	1	false	em_grey_mountain_scouts	150	0	800	att_lon_heavy_tra_cel	1	20	200	0	800			200	tier_I_light	-1		false	false	0	99999991038	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_crossbow_land	att_special_transportship_naval	1
em_ered_battalions		0	heavy	1	false	em_ered_battalions	135	0	900	att_lon_heavy_tra_cel	1	20	200	0	900			250	tier_II_heavy	-1		false	false	0	99999991039	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_axe_land	att_special_transportship_naval	1
em_ered_mithrin_pikes		0	heavy	1	false	em_ered_mithrin_pikes	135	0	900	att_lon_heavy_tra_cel	1	20	200	0	900			250	tier_II_heavy	-1		false	false	0	99999991040	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_pike_land	att_special_transportship_naval	1
em_troll_hunters		0	heavy	1	false	em_troll_hunters	135	0	900	att_lon_heavy_tra_cel	1	20	200	0	900			250	tier_II_heavy	-1		false	false	0	99999991041	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_bow_land	att_special_transportship_naval	1
em_dragon_slayers		0	heavy	1	false	em_dragon_slayers	100	1	1350	att_lon_heavy_tra_cel	1	20	200	0	1350			415	tier_IV_very_heavy	-1		false	false	0	99999991042	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
em_guardians_mountain		0	heavy	1	false	em_guardians_mountain	135	3	925	att_lon_heavy_tra_cel	1	20	200	0	925			255	tier_II_heavy	-1		false	false	0	99999991043	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
em_bronzewatch_spearmen		0	heavy	1	false	em_bronzewatch_spearmen	115	0	1075	att_lon_heavy_tra_cel	1	20	200	0	1075			320	tier_III_very_heavy	-1		false	false	0	99999991044	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_spear_land	att_special_transportship_naval	1
em_dragon_trackers		0	heavy	1	false	em_dragon_trackers	100	1	1600	att_lon_heavy_tra_cel	1	20	200	0	1250			365	tier_IV_very_heavy	-1		false	false	0	99999991045	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_bow_land	att_special_transportship_naval	1
em_fist_mountain		0	heavy	1	false	em_fist_mountain	115	0	1175	att_lon_heavy_tra_cel	1	20	200	0	1175			345	tier_III_very_heavy	-1		false	false	0	99999991046	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
em_nobles		0	heavy	1	false	em_nobles	115	0	1125	att_lon_heavy_tra_cel	1	20	200	0	1125			330	tier_III_very_heavy	-1		false	false	0	99999991047	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_axe_land	att_special_transportship_naval	1
em_ered_mithrin_veterans		0	heavy	1	false	em_ered_mithrin_veterans	100	1	1300	att_lon_heavy_tra_cel	1	20	200	0	1300			325	tier_IV_medium	-1		false	false	0	99999991048	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
em_frostguard		0	heavy	0	false	em_frostguard	100	1	1450	att_lon_heavy_tra_cel	1	20	200	0	1450			440	tier_IV_very_heavy	-1		false	false	0	99999991049	false	Rom_AOR_Ered_Mithrin	eastern	att_inf_pike_land	att_special_transportship_naval	1
em_onager		0	medium	1	false	em_onager	40	5	1500	att_cor_light_rom	1	10	40	0	1500			375	catapult	-1		false	false	0	99999991050	false	Rom_AOR_Ered_Mithrin	eastern	att_art_field_land	att_special_transportship_naval	1
em_ballista		0	medium	1	false	em_ballista	40	5	1200	att_cor_light_rom	1	10	40	0	1200			345	ballista	-1		false	false	0	99999991051	false	Rom_AOR_Ered_Mithrin	barbarian	att_art_field_land	att_special_transportship_naval	1
