unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/gundabad_main_units																															
tomb_gundabad_goblins		0	medium	1	false	tomb_gundabad_goblins	225	0	525	att_lon_heavy_tra_cel	1	20	250	0	525			100	tier_II_medium	-1		false	false	0	230076891	false		barbarian	att_inf_sword_land	att_special_transportship_naval	1
tomb_gundabad_warband		0	light	1	false	tomb_gundabad_warband	225	0	475	att_lon_heavy_tra_cel	1	20	240	0	475			25	tier_I_very_light	-1		false	false	0	233076893	false		barbarian	att_inf_spear_land	att_special_transportship_naval	1
tomb_gundabad_marauders		0	light	1	false	tomb_gundabad_marauders	225	0	700	att_lon_heavy_tra_cel	1	20	160	0	700			25	tier_I_light	-1		false	false	0	233076894	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
tomb_gundabad_tunnel_slaves		0	light	1	false	tomb_gundabad_tunnel_slaves	225	0	325	att_lon_heavy_tra_cel	1	20	160	0	325			375	tier_I_very_light	-1		false	false	0	233076895	false		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
tomb_gundabad_stalkers		0	medium	1	false	tomb_gundabad_stalkers	200	0	750	att_lon_heavy_tra_cel	1	20	225	0	750			375	tier_II_medium	-1		false	false	0	233076896	false		barbarian	att_inf_sword_land	att_special_transportship_naval	1
tomb_gundabad_reavers		0	medium	1	false	tomb_gundabad_reavers	200	0	750	att_lon_heavy_tra_cel	1	20	225	0	750			375	tier_II_medium	-1		false	false	0	233076897	false		barbarian	att_inf_axe_land	att_special_transportship_naval	1
tomb_gundabad_night_hunters		0	medium	1	false	tomb_gundabad_night_hunters	200	0	750	att_lon_heavy_tra_cel	1	20	225	0	750			375	tier_II_medium	-1		false	false	0	233076898	false		barbarian	att_inf_bow_land	att_special_transportship_naval	1
tomb_gundabad_blades		0	heavy	1	false	tomb_gundabad_blades	170	0	975	att_lon_heavy_tra_cel	1	20	200	0	975			375	tier_III_heavy	-1		false	false	0	233076899	false		barbarian	att_inf_sword_land	att_special_transportship_naval	1
tomb_gundabad_traversers		0	heavy	1	false	tomb_gundabad_traversers	170	0	1075	att_lon_heavy_tra_cel	1	20	200	0	1075			375	tier_III_heavy	-1		false	false	0	233076900	false		barbarian	att_inf_bow_land	att_special_transportship_naval	1
tomb_gundabad_raiders		0	heavy	1	false	tomb_gundabad_raiders	150	1	1300	att_lon_heavy_tra_cel	1	20	200	0	1300			375	tier_III_heavy	-1		false	false	0	233076901	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
tomb_gundabad_warlord		0	heavy	1	false	tomb_gundabad_warlord	150	1	1225	att_lon_heavy_tra_cel	1	20	200	0	1225			375	tier_IV_heavy	-1		false	false	0	233076902	false		barbarian	att_inf_sword_land	att_special_transportship_naval	1
tomb_gundabad_citadel		0	heavy	1	false	tomb_gundabad_citadel	150	1	1300	att_lon_heavy_tra_cel	0	20	200	0	1300			375	tier_IV_heavy	-1		false	false	0	233076903	false		barbarian	att_inf_spear_land	att_special_transportship_naval	1
tomb_gundabad_berserker		0	light	1	false	tomb_gundabad_berserker	90	1	1150	att_lon_heavy_tra_cel	1	20	200	0	1150			375	tier_IV_light	-1		false	false	0	230076890	false		barbarian	att_inf_polearm_shock_land	att_special_transportship_naval	1
tomb_gundabad_halberd		0	heavy	1	false	tomb_gundabad_halberd	170	1	1300	att_lon_heavy_tra_cel	1	20	200	0	1300			375	tier_III_heavy	-1		false	false	0	230076892	false		barbarian	att_inf_polearm_land	att_special_transportship_naval	1
gundabad_onager		0	medium	1	false	gundabad_onager	40	5	1500	att_cor_light_rom	1	10	40	0	1500			215	catapult	-1		false	false	0	233076904	false		barbarian	att_art_field_land	att_special_transportship_naval	1
tomb_gundabad_rhudaur_infantry		0	medium	1	false	tomb_gundabad_rhudaur_infantry	170	0	775	att_lon_heavy_tra_cel	1	20	160	0	775			375	tier_II_medium	-1		false	false	0	233076905	false		barbarian	att_inf_spear_land	att_special_transportship_naval	1
tomb_gundabad_rhudaur_macemen		0	medium	1	false	tomb_gundabad_rhudaur_macemen	170	0	800	att_lon_heavy_tra_cel	1	20	160	0	800			375	tier_II_medium	-1		false	false	0	233076906	false		barbarian	att_inf_axe_land	att_special_transportship_naval	1
gob_scavenged_crossbows		0	light	1	false	gob_scavenged_crossbows	225	0	675	att_lon_heavy_tra_cel	1	20	250	0	675			100	tier_II_light	-1		false	false	0	9759773157	false		barbarian	att_inf_crossbow_land	att_special_transportship_naval	1
gob_goblin_blackshield_spears		0	medium	1	false	gob_goblin_blackshield_spears	190	0	850	att_lon_heavy_tra_cel	1	20	250	0	850			100	tier_III_very_heavy	-1		false	false	0	9759773159	false		barbarian	att_inf_spear_land	att_special_transportship_naval	1
gob_goblin_blackshield_guard		0	heavy	1	false	gob_goblin_blackshield_guard	180	5	900	att_lon_heavy_tra_cel	1	20	250	0	900			100	tier_III_very_heavy	-1		false	false	0	9759773160	false		barbarian	att_inf_sword_land	att_special_transportship_naval	1
