unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/wftm_khz_main_units																															
khz_legionaries		0	heavy	1	false	khz_legionaries	115	0	1100	att_lon_heavy_tra_cel	1	20	160	0	1100			325	tier_III_very_heavy	-1		false	false	0	99999991021	false	Rom_AOR_Moria	roman	att_inf_axe_land	att_special_transportship_naval	1
khz_crossbows		0	heavy	1	false	khz_crossbows	115	0	1200	att_lon_heavy_tra_cel	1	20	200	0	1200			350	tier_III_very_heavy	-1		false	false	0	99999991022	false	Rom_AOR_Moria	eastern	att_inf_crossbow_land	att_special_transportship_naval	1
khz_longbeard_spears		0	medium	1	false	khz_longbeard_spears	150	0	600	att_lon_heavy_tra_cel	1	20	200	0	600			150	tier_I_medium	-1		false	false	0	99999991023	false	Rom_AOR_Moria	eastern	att_inf_spear_land	att_special_transportship_naval	1
khz_axe_throwers		0	medium	1	false	khz_axe_throwers	135	0	950	att_lon_heavy_tra_cel	1	20	200	0	950			265	tier_II_heavy	-1		false	false	0	99999991024	false	Rom_AOR_Moria	eastern	att_inf_javelin_land	att_special_transportship_naval	1
khz_darrowdelf_swordsmen		0	medium	1	false	khz_darrowdelf_swordsmen	135	0	800	att_lon_heavy_tra_cel	1	20	200	0	800			225	tier_II_heavy	-1		false	false	0	99999991025	false	Rom_AOR_Moria	eastern	att_inf_sword_land	att_special_transportship_naval	1
khz_watchers_mirrormere		0	heavy	1	false	khz_watchers_mirrormere	115	3	1050	att_lon_heavy_tra_cel	1	20	200	0	1050			315	tier_III_very_heavy	-1		false	false	0	99999991026	false	Rom_AOR_Moria	eastern	att_inf_pike_land	att_special_transportship_naval	1
khz_hunters		0	light	1	false	khz_hunters	150	0	725	att_lon_heavy_tra_cel	1	20	200	0	725			180	tier_I_very_light	-1		false	false	0	99999991027	false	Rom_AOR_Moria	eastern	att_inf_crossbow_land	att_special_transportship_naval	1
khz_halberds		0	heavy	1	false	khz_halberds	135	3	875	att_lon_heavy_tra_cel	1	20	200	0	875			245	tier_II_medium	-1		false	false	0	99999991028	false	Rom_AOR_Moria	eastern	att_inf_polearm_land	att_special_transportship_naval	1
khz_champions_of_mountain		0	heavy	1	false	khz_champions_of_mountain	115	0	1125	att_lon_heavy_tra_cel	1	20	200	0	1125			330	tier_III_very_heavy	-1		false	false	0	99999991029	false	Rom_AOR_Moria	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
khz_durins_gate_guard		0	heavy	1	false	khz_durins_gate_guard	100	1	1375	att_lon_heavy_tra_cel	1	20	200	0	1375			420	tier_IV_very_heavy	-1		false	false	0	99999991030	false	Rom_AOR_Moria	eastern	att_inf_spear_land	att_special_transportship_naval	1
khz_durins_mithril_guard		0	heavy	1	false	khz_durins_mithril_guard	100	1	1425	att_lon_heavy_tra_cel	1	20	200	0	1425			430	tier_IV_very_heavy	-1		false	false	0	99999991031	false	Rom_AOR_Moria	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
khz_mountain_travellers		0	medium	1	false	khz_mountain_travellers	135	0	900	att_lon_heavy_tra_cel	1	20	200	0	900			250	tier_II_medium	-1		false	false	0	99999991032	false	Rom_AOR_Moria	eastern	att_inf_polearm_shock_land	att_special_transportship_naval	1
khz_protectors_azanulbizar		0	medium	0	false	khz_protectors_azanulbizar	135	0	950	att_lon_heavy_tra_cel	1	20	200	0	950			265	tier_II_medium	-1		false	false	0	99999991033	false	Rom_AOR_Moria	eastern	att_inf_spear_land	att_special_transportship_naval	1
khz_veterans_khazad_dum		0	heavy	0	false	khz_veterans_khazad_dum	100	1	1400	att_lon_heavy_tra_cel	1	20	200	0	1400			425	tier_IV_very_heavy	-1		false	false	0	99999991034	false	Rom_AOR_Moria	eastern	att_inf_axe_land	att_special_transportship_naval	1
khz_onager		0	medium	1	false	khz_onager	40	5	1500	att_cor_light_rom	1	10	40	0	1500			375	catapult	-1		false	false	0	99999991035	false	Rom_AOR_Moria	eastern	att_art_field_land	att_special_transportship_naval	1
khz_mansion_reclaimers		0	heavy	1	false	khz_mansion_reclaimers	100	1	1475	att_lon_heavy_tra_cel	1	20	200	0	1475			368	tier_IV_very_heavy	-1		false	false	0	99999991036	false	Rom_AOR_Moria	eastern	att_inf_sword_land	att_special_transportship_naval	1
