unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/main_units																															
att_alan_alani_cavalry_raiders		0	light	1	false	att_alan_alani_cavalry_raiders	80	0	450	att_lon_light_tra_hun	1	40	80	0	450			270	very_light	-1		false	false	0	14126	true		nomad	att_cav_javelin_land	att_special_transportship_naval	1
att_alan_alani_cavalry_warriors		0	generic	1	false	att_alan_alani_cavalry_warriors	80	0	400	att_lon_light_tra_hun	1	20	80	0	400			180	medium	-1		false	false	0	14127	true		nomad	att_cav_melee_land	att_special_transportship_naval	1
att_alan_alani_chosen_raiders		0	medium	2	false	att_alan_alani_chosen_raiders	80	0	900	att_lon_light_tra_hun	1	40	80	0	900			600	medium	-1		false	false	0	14136	true		nomad	att_cav_javelin_land	att_special_transportship_naval	3
att_alan_alani_horse_archers		0	light	1	false	att_alan_alani_horse_archers	80	0	475	att_lon_light_tra_hun	1	20	80	0	475			250	very_light	-1		false	false	0	14149	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
att_alan_alani_mounted_bows		0	light	1	false	att_alan_alani_mounted_bows	80	0	450	att_lon_light_tra_hun	1	20	80	0	450			200	very_light	-1		false	false	0	14144	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
att_alan_alani_mounted_sword_raiders		0	medium	1	false	att_alan_alani_mounted_sword_raiders	80	0	600	att_lon_light_tra_hun	1	40	80	0	600			350	medium	-1		false	false	0	14127	true		nomad	att_cav_javelin_land	att_special_transportship_naval	2
att_alan_alani_nobles_general		0	medium	1	false	att_alan_alani_nobles_general	80	0	450	att_lon_light_tra_ger	1	20	80	0	450			200	medium	-1		false	false	0	14118	true		nomad	att_cav_shock_land	att_special_transportship_naval	1
att_alan_alani_swordsmen		0	medium	1	false	att_alan_alani_swordsmen	160	0	300	att_lon_light_tra_hun	1	40	160	0	550			300	medium	-1		false	false	0	14121	true		nomad	att_inf_sword_land	att_special_transportship_naval	2
att_alan_alani_warriors		0	light	1	false	att_alan_alani_warriors	160	0	300	att_lon_light_tra_hun	1	40	160	0	300			200	medium	-1		false	false	0	14116	true		nomad	att_inf_sword_land	att_special_transportship_naval	1
att_alan_anti_cav_light_tier_3		0	medium	2	false	att_alan_anti_cav_light_tier_3	80	0	500	att_lon_light_tra_hun	1	20	80	0	500			380	medium	-1		false	false	0	14135	true		nomad	att_cav_melee_land	att_special_transportship_naval	2
att_alan_anti_cav_light_tier_4		0	medium	2	false	att_alan_anti_cav_light_tier_4	80	0	650	att_lon_light_tra_hun	1	20	80	0	650			500	medium	-1		false	false	0	14140	true		nomad	att_cav_melee_land	att_special_transportship_naval	3
att_alan_onager		0	light	1	false	att_alan_onager	40	0	425	att_lon_light_tra_ger	1	10	40	0	325			215	light	-1		false	false	0	14133	true		barbarian	att_art_field_land	att_special_transportship_naval	1
att_alan_sarmatian_band		0	light	1	false	att_alan_sarmatian_band	160	0	150	att_lon_light_tra_hun	1	40	160	0	150			75	medium	-1		false	false	0	14112	true		nomad	att_inf_sword_land	att_special_transportship_naval	1
att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5		0	heavy	3	false	att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5	80	0	1150	att_lon_light_tra_hun	1	20	80	0	1150			650	very_heavy	-1		false	false	0	14114	true		nomad	att_cav_melee_land	att_special_transportship_naval	3
att_alan_sarmatian_shock_tier_1		0	medium	1	false	att_alan_sarmatian_shock_tier_1	80	0	400	att_lon_light_tra_hun	1	20	80	0	400			200	medium	-1		false	false	0	14110	true		nomad	att_cav_shock_land	att_special_transportship_naval	1
att_alan_sarmatian_shock_tier_4		0	heavy	2	false	att_alan_sarmatian_shock_tier_4	80	0	980	att_lon_light_tra_hun	1	20	80	0	980			570	medium	-1		false	false	0	14112	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
att_alan_tank		0	heavy	3	false	att_alan_tank	80	0	1200	att_lon_light_tra_hun	1	20	80	0	1200			650	very_heavy	-1		false	false	0	14109	true		nomad	att_cav_shock_land	att_special_transportship_naval	3
att_cel_black_blades		0	heavy	2	false	att_cel_black_blades	160	0	725	att_lon_heavy_tra_cel	1	40	160	0	725			360	heavy	-1		false	false	0	10720	true		barbarian	att_inf_sword_land	att_special_transportship_naval	3
att_cel_caledonian_axemen		0	medium	1	false	att_cel_caledonian_axemen	160	0	575	att_lon_heavy_tra_cel	1	40	160	0	575			285	medium	-1		false	false	0	10805	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
att_cel_cateran_brigade		0	heavy	1	false	att_cel_cateran_brigade	160	0	525	att_lon_heavy_tra_cel	1	40	160	0	525			265	very_heavy	-1		false	false	0	10815	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
att_cel_celtic_archers		0	light	1	false	att_cel_celtic_archers	160	0	180	att_lon_heavy_tra_cel	1	40	160	0	180			90	very_light	-1		false	false	0	10818	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
att_cel_celtic_axe_band		0	medium	1	false	att_cel_celtic_axe_band	160	0	425	att_lon_heavy_tra_cel	1	40	160	0	425			210	medium	-1		false	false	0	10691	true		barbarian	att_inf_axe_land	att_special_transportship_naval	1
att_cel_celtic_axe_warriors		0	medium	1	false	att_cel_celtic_axe_warriors	160	0	500	att_lon_heavy_tra_cel	1	40	160	0	500			245	medium	-1		false	false	0	10722	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
att_cel_celtic_band		0	light	1	false	att_cel_celtic_band	160	0	230	att_lon_heavy_tra_cel	1	40	160	0	230			115	light	-1		false	false	0	10754	true		barbarian	att_inf_sword_land	att_special_transportship_naval	1
att_cel_celtic_berserkers		0	light	1	false	att_cel_celtic_berserkers	160	0	425	att_lon_heavy_tra_cel	1	40	160	0	425			210	very_light	-1		false	false	0	10699	true		barbarian	att_inf_axe_land	att_special_transportship_naval	1
att_cel_celtic_bows		0	light	1	false	att_cel_celtic_bows	160	0	100	att_lon_heavy_tra_cel	1	40	160	0	100			50	very_light	-1		false	false	0	10704	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
att_cel_celtic_brigands		0	light	1	false	att_cel_celtic_brigands	160	0	375	att_lon_heavy_tra_cel	1	40	160	0	375			190	light	-1		false	false	0	10710	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
att_cel_celtic_cavalry_raiders		0	light	1	false	att_cel_celtic_cavalry_raiders	80	0	450	att_lon_light_tra_cel	1	20	80	0	450			225	very_light	-1		false	false	0	10712	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	1
att_cel_celtic_crossbows		0	light	1	false	att_cel_celtic_crossbows	160	0	190	att_lon_heavy_tra_cel	1	40	160	0	190			95	very_light	-1		false	false	0	10722	true		barbarian	att_inf_crossbow_land	att_special_transportship_naval	1
att_cel_celtic_levy		0	light	1	false	att_cel_celtic_levy	160	0	275	att_lon_heavy_tra_cel	1	40	160	0	275			135	very_light	-1		false	false	0	10726	true		barbarian	att_inf_spear_land	att_special_transportship_naval	1
att_cel_celtic_nobles		0	heavy	2	false	att_cel_celtic_nobles	160	0	425	att_lon_heavy_tra_cel	1	40	160	0	425			215	very_heavy	-1		false	false	0	10823	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
att_cel_celtic_skirmishers		0	light	1	false	att_cel_celtic_skirmishers	160	0	450	att_lon_heavy_tra_cel	1	40	160	0	450			230	light	-1		false	false	0	10729	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
att_cel_celtic_spearmen		0	medium	1	false	att_cel_celtic_spearmen	160	0	400	att_lon_heavy_tra_cel	1	40	160	0	400			200	medium	-1		false	false	0	10737	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
att_cel_celtic_spears		0	light	1	false	att_cel_celtic_spears	160	0	350	att_lon_heavy_tra_cel	1	40	160	0	350			175	light	-1		false	false	0	10743	true		barbarian	att_inf_spear_land	att_special_transportship_naval	1
