unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/mubs_main_units																															
mubs_ayyar		0	heavy	1	false	mubs_ayyar	240	0	800	cha_longship_transport	1	40	160	0	800			240	heavy	-1		false	false	0	25018	false		eastern	att_inf_sword_land	att_special_transportship_naval	3
mubs_cataphracts		0	heavy	1	false	mubs_cataphracts	120	0	800	cha_longship_transport	1	40	160	0	800			260	very_heavy	-1		false	false	0	25016	false		eastern	cav_shk	att_special_transportship_naval	3
mubs_mubarizun		0	heavy	1	false	mubs_mubarizun	240	0	850	cha_transport	1	40	160	0	600			180	very_heavy	-1		false	false	0	25017	false		eastern	att_inf_sword_land	att_special_transportship_naval	3
mubs_arab_nobles		0	heavy	1	false	mubs_arab_nobles	120	0	800	cha_longship_transport	1	40	160	0	800			260	very_heavy	-1		false	false	0	25019	false		eastern	cav_shk	att_special_transportship_naval	3
mubs_armored_footmen		0	heavy	1	false	mubs_armored_footmen	300	0	800	cha_longship_transport	1	40	160	0	800			240	heavy	-1		false	false	0	25020	false		eastern	att_inf_sword_land	att_special_transportship_naval	2
mubs_arab_lesser_nobles		0	heavy	1	false	mubs_arab_lesser_nobles	120	0	800	cha_longship_transport	1	40	160	0	800			260	heavy	-1		false	false	0	25021	false		eastern	cav_shk	att_special_transportship_naval	3
mubs_light_horsemen		0	medium	1	false	mubs_light_horsemen	120	0	800	cha_longship_transport	1	40	160	0	800			260	light	-1		false	false	0	25022	false		eastern	att_cav_melee_land	att_special_transportship_naval	2
mubs_bowmen		0	light	1	false	mubs_bowmen	240	0	500	cha_transport	1	40	160	0	800			180	light	-1		false	false	0	25023	false		eastern	att_inf_bow_land	att_special_transportship_naval	2
mubs_pikemen		0	heavy	1	false	mubs_pikemen	240	0	500	cha_longship_transport	1	40	160	0	800			180	medium	-1		false	false	0	25024	false		eastern	att_inf_spear_land	att_special_transportship_naval	2
mubs_light_footmen		0	light	1	false	mubs_light_footmen	240	0	500	att_cor_heavy_rom	1	40	160	0	800			53	medium	-1		false	false	0	25025	false		eastern	att_inf_javelin_land	att_special_transportship_naval	2
mubs_arab_levy_swords		0	medium	1	false	mubs_arab_levy_swords	300	0	450	cha_transport	1	40	160	0	450			135	medium	-1		false	false	0	25026	false		eastern	att_inf_sword_land	att_special_transportship_naval	1
mubs_arab_levy_spears		0	light	1	false	mubs_arab_levy_spears	240	0	450	cha_transport	1	40	160	0	450			135	light	-1		false	false	0	25029	false		eastern	att_inf_spear_land	att_special_transportship_naval	1
mubs_armored_horsemen		0	heavy	1	false	mubs_armored_horsemen	120	0	800	cha_longship_transport	1	40	160	0	800			260	heavy	-1		false	false	0	25027	false		eastern	cav_mel	att_special_transportship_naval	2
mubs_house_guards		0	heavy	1	false	mubs_house_guards	240	0	850	cha_transport	1	40	160	0	600			180	very_heavy	-1		false	false	0	25028	false		eastern	att_inf_sword_land	att_special_transportship_naval	3
mubs_arab_levy_cav		0	medium	1	false	mubs_arab_levy_cav	120	0	800	cha_longship_transport	1	40	160	0	800			260	medium	-1		false	false	0	25030	false		eastern	att_cav_melee_land	att_special_transportship_naval	1
mubs_rijal		0	medium	1	false	mubs_rijal	240	0	500	att_cor_heavy_rom	1	40	160	0	800			53	medium	-1		false	false	0	25031	false		eastern	att_inf_javelin_land	att_special_transportship_naval	3
mubs_rumat		0	medium	1	false	mubs_rumat	240	0	500	cha_transport	1	40	160	0	800			180	medium	-1		false	false	0	25032	false		eastern	att_inf_bow_land	att_special_transportship_naval	3
mubs_asawira		0	heavy	1	false	mubs_asawira	120	0	800	cha_longship_transport	1	40	160	0	800			260	very_heavy	-1		false	false	0	25033	false		eastern	cav_mis	att_special_transportship_naval	3
mubs_arab_levy_bows		0	light	1	false	mubs_arab_levy_bows	240	0	500	cha_transport	1	40	160	0	800			180	very_light	-1		false	false	0	25034	false		eastern	att_inf_bow_land	att_special_transportship_naval	1
mubs_bedouin_levy_spears		0	light	1	false	mubs_bedouin_levy_spears	240	0	450	cha_transport	1	40	160	0	450			135	light	-1		false	false	0	25035	false		eastern	att_inf_spear_land	att_special_transportship_naval	1
mubs_bedouin_levy_swords		0	medium	1	false	mubs_bedouin_levy_swords	300	0	450	cha_transport	1	40	160	0	450			135	medium	-1		false	false	0	25036	false		eastern	att_inf_sword_land	att_special_transportship_naval	1
