unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/@@@@@@@@@@earl_main_units																															
mk_bulg_t3_bolyars		0	mk_noble	2	false	mk_bulg_t3_bolyars	80	0	1564	att_cor_heavy_rom	1	20	200	0	1564			469	trained	-1		false	false	0	25862	false		roman_christian	earl_cav_melee_bow_land	att_special_transportship_naval	3
mk_bulg_t3_cavalry		0	mk_peasant_burgher	2	false	mk_bulg_t3_cavalry	120	0	1011	att_cor_heavy_rom	1	20	200	0	1011			303	poorly_trained	-1		false	false	0	25847	false		roman_christian	earl_cav_sword_land	att_special_transportship_naval	3
mk_bulg_t3_general_bodyguard		0	mk_noble	3	false	mk_bulg_t3_general_bodyguard	70	0	1863	att_cor_heavy_rom	1	20	200	0	1863			559	poorly_trained	-1		false	false	0	49039	false		roman_christian	com	att_special_transportship_naval	3
earl_tre_t3_war_elephants_siphonatores		1	mk_peasant	3	false	earl_tre_t3_war_elephants_siphonatores	24	0	6632	att_cor_heavy_rom	1	20	200	0	6632			1533	elite	-1		false	false	0	25110544039	false		eastern_generic	att_cav_elephant_land	att_special_transportship_naval	3
earl_zag_t1_elephants		10	mk_tribesmen	2	false	earl_zag_t1_elephants	96	0	3464	att_cor_heavy_rom	1	20	200	0	3464			1377	poorly_trained	-1		false	false	0	24020243907	false		eastern_generic	att_cav_elephant_land	att_special_transportship_naval	1
mk_mio_t2_templar_knights_garrison		0	mk_religious_military_order	3	false	mk_mio_t2_templar_knights	70	0	1632	att_cor_heavy_rom	1	20	200	0	1632		att_rel_chr_catholic	490	well_trained	-1		false	false	0	44216	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	2
mk_mio_t2_teu_halbbruder		1	mk_noble	2	false	mk_teu_t2_halbbruder	70	0	1229	att_cor_heavy_rom	1	20	200	0	1229		att_rel_chr_catholic	369	rabble	-1		false	false	0	28087	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	2
mk_mio_t2_teu_ritterbruder		1	mk_religious_military_order	3	false	mk_teu_t2_ritterbruder	70	0	1632	att_cor_heavy_rom	1	20	200	0	1632		att_rel_chr_catholic	490	well_trained	-1		false	false	0	28113	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	2
mk_mio_t3_hospitaller_knights		1	mk_religious_military_order	3	false	mk_mio_t3_hospitaller_knights	70	0	1756	att_cor_heavy_rom	1	20	200	0	1756		att_rel_chr_catholic	527	well_trained	-1		false	false	0	22612	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	3
mk_mio_t3_hospitaller_knights_garrison		0	mk_religious_military_order	3	false	mk_mio_t3_hospitaller_knights	70	0	1756	att_cor_heavy_rom	1	20	200	0	1756		att_rel_chr_catholic	527	well_trained	-1		false	false	0	44198	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	3
earl_zag_t1_war_elephants		3	mk_tribesmen	3	false	earl_zag_t1_war_elephants	12	0	3864	att_cor_heavy_rom	1	20	200	0	3864			2301	elite	-1		false	false	0	24020243906	false		eastern_generic	att_cav_elephant_land_mel	att_special_transportship_naval	1
mk_bulg_t3_heavy_cavalry		0	mk_noble	2	false	mk_bulg_t3_heavy_cavalry	70	0	1591	att_cor_heavy_rom	1	20	200	0	1591			477	trained	-1		false	false	0	25878	false		roman_christian	earl_cav_cataphract_land	att_special_transportship_naval	3
mk_bulg_t3_tsar_bodyguards		0	mk_noble	3	false	mk_bulg_t3_tsar_bodyguards	70	0	1863	att_cor_heavy_rom	1	20	200	0	1863			559	poorly_trained	-1		false	false	0	25845	false		roman_christian	com	att_special_transportship_naval	3
mk_mio_t3_hospitaller_mounted_bodyguard		1	mk_religious_military_order	3	false	mk_mio_t3_hospitaller_mounted_bodyguard	70	0	1806	att_cor_heavy_rom	1	20	200	0	1806		att_rel_chr_catholic	542	poorly_trained	-1		false	false	0	2024010022912	false		roman_christian	com	att_special_transportship_naval	3
mk_mio_t3_order_cavalry		0	mk_religious_military_order	2	false	mk_mio_t3_order_cavalry	90	0	977	att_cor_heavy_rom	1	20	200	0	977		att_rel_chr_catholic	293	poorly_trained	-1		false	false	0	22632	false		roman_christian	earl_cav_spear_land	att_special_transportship_naval	3
mk_mio_t3_ritterbruder_garrison		0	mk_religious_military_order	3	false	mk_teu_t3_ritterbruder	70	0	1756	att_cor_heavy_rom	1	20	200	0	1756		att_rel_chr_catholic	527	well_trained	-1		false	false	0	44230	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	3
mk_mio_t3_spanish_order_crossbows		0	mk_religious_military_order	2	false	mk_mio_t3_spanish_order_crossbows	90	0	845	att_cor_heavy_rom	1	20	200	0	845		att_rel_chr_catholic	253	poorly_trained	-1		false	false	0	17235	false		barbarian_christian	att_cav_crossbow_land	att_special_transportship_naval	3
mk_mio_t3_spanish_order_knights		1	mk_religious_military_order	2	false	mk_mio_t3_spanish_order_knights	70	0	1956	att_cor_heavy_rom	1	20	200	0	1956		att_rel_chr_catholic	587	well_trained	-1		false	false	0	17236	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	3
mk_mio_t3_templar_bodyguard		1	mk_religious_military_order	3	false	mk_mio_t3_templar_bodyguard	70	0	1806	att_cor_heavy_rom	1	20	200	0	1806		att_rel_chr_catholic	542	poorly_trained	-1		false	false	0	22644	false		roman_christian	com	att_special_transportship_naval	3
mk_bur_t1_banneret_chevaliers		1	mk_noble	3	false	mk_bur_t1_banneret_chevaliers	70	0	1522	att_cor_heavy_rom	1	20	200	0	1522			732	well_trained	-1		false	false	0	24012343902	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	1
mk_bur_t1_chevaliers		0	mk_noble	2	false	mk_bur_t1_chevaliers	70	0	1322	att_cor_heavy_rom	1	20	200	0	1322			396	trained	-1		false	false	0	19504	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	1
mk_bur_t1_duke_bodyguard		0	mk_noble	3	false	mk_bur_t1_duke_bodyguard	70	0	1462	att_cor_heavy_rom	1	20	200	0	1462			438	poorly_trained	-1		false	false	0	19484	false		roman_christian	com	att_special_transportship_naval	1
mk_bur_t1_mounted_crossbowmen		0	mk_burgher_peasant	2	false	mk_bur_t1_mounted_crossbowmen	90	0	662	att_cor_heavy_rom	1	20	200	0	662			199	poorly_trained	-1		false	false	0	19499	false		roman_christian	att_cav_crossbow_land	att_special_transportship_naval	1
mk_bur_t1_mounted_serjeants		0	mk_noble	2	false	mk_bur_t1_mounted_serjeants	70	0	792	att_cor_heavy_rom	1	20	200	0	792			238	rabble	-1		false	false	0	19505	false		barbarian_christian	earl_cav_lancer_land	att_special_transportship_naval	1
mk_bur_t1_scouts		0	mk_peasant	1	false	mk_bur_t1_scouts	90	0	391	att_cor_heavy_rom	1	20	200	0	391			117	scout	-1		false	false	0	19515	false		barbarian_christian	earl_cav_spear_land	att_special_transportship_naval	1
mk_bur_t2_banneret_chevaliers		1	mk_noble	3	false	mk_bur_t2_banneret_chevaliers	70	0	1742	att_cor_heavy_rom	1	20	200	0	1742			866	well_trained	-1		false	false	0	24012343944	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	2
earl_zag_t1_war_elephants_bodyguard		3	mk_tribesmen	3	false	earl_zag_t1_war_elephants_bodyguard	12	0	3864	att_cor_heavy_rom	1	20	200	0	3864			2301	elite	-1		false	false	0	25110544044	false		eastern_generic	com	att_special_transportship_naval	1
mk_bur_t2_chevaliers		0	mk_noble	2	false	mk_bur_t2_chevaliers	70	0	1542	att_cor_heavy_rom	1	20	200	0	1542			463	trained	-1		false	false	0	19582	false		roman_christian	earl_cav_lancer_land	att_special_transportship_naval	2
earl_zag_t2_elephants		10	mk_tribesmen	2	false	earl_zag_t2_elephants	96	0	4232	att_cor_heavy_rom	1	20	200	0	4232			1505	poorly_trained	-1		false	false	0	24020243909	false		eastern_generic	att_cav_elephant_land	att_special_transportship_naval	2
earl_zag_t2_war_elephants		3	mk_tribesmen	3	false	earl_zag_t2_war_elephants	12	0	4632	att_cor_heavy_rom	1	20	200	0	4632			2333	elite	-1		false	false	0	24020243908	false		eastern_generic	att_cav_elephant_land_mel	att_special_transportship_naval	2
