unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/@@@@@@@@@@@@@@earl_ri_main_units																															
earl_civ_byz_farm		0	mk_peasant	1	false	earl_civ_byz_farm	200	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243910	false		roman_christian	att_inf_spear_land	att_special_transportship_naval	1
earl_civ_byz_town		0	mk_peasant_burgher	1	false	earl_civ_byz_town	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243911	false		roman_christian	att_inf_sword_land	att_special_transportship_naval	1
earl_civ_eur_farm		0	mk_peasant	1	false	earl_civ_eur_farm	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243912	false		barbarian_christian	att_inf_spear_land	att_special_transportship_naval	1
earl_civ_eur_town		0	mk_peasant_burgher	1	false	earl_civ_eur_town	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243913	false		barbarian_christian	att_inf_sword_land	att_special_transportship_naval	1
earl_civ_mon_farm		0	mk_tribesmen	1	false	earl_civ_mon_farm	200	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243914	false		nomad	att_inf_bow_land	att_special_transportship_naval	1
earl_civ_mon_town		0	mk_peasant_burgher	1	false	earl_civ_mon_town	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243915	false		nomad	att_inf_sword_land	att_special_transportship_naval	1
earl_civ_mus_farm		0	mk_peasant	1	false	earl_civ_mus_farm	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243916	false		eastern_generic	att_inf_spear_land	att_special_transportship_naval	1
earl_civ_mus_town		0	mk_peasant_burgher	1	false	earl_civ_mus_town	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243917	false		eastern_generic	att_inf_sword_land	att_special_transportship_naval	1
earl_civ_rus_farm		0	mk_peasant	1	false	earl_civ_rus_farm	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243918	false		barbarian_christian	att_inf_spear_land	att_special_transportship_naval	1
earl_civ_rus_town		0	mk_peasant_burgher	1	false	earl_civ_rus_town	250	0	0	att_cor_heavy_rom	1	20	200	0	50			25	mob	-1		false	false	0	24011243919	false		barbarian_christian	att_inf_sword_land	att_special_transportship_naval	1
mk_mon_t1_golden_kharash		0	mk_peasant	1	false	mk_mon_t1_golden_kharash	250	0	86	att_cor_heavy_rom	1	20	200	0	86			5	mob	-1		false	false	0	25110544121	false		nomad	att_inf_sword_land	att_special_transportship_naval	1
mk_mon_t1_ilkhan_kharash		0	mk_peasant	1	false	mk_mon_t1_ilkhan_kharash	250	0	86	att_cor_heavy_rom	1	20	200	0	86			5	mob	-1		false	false	0	14826	false		eastern_generic	att_inf_sword_land	att_special_transportship_naval	1
earl_ger_t3_gothic_dismounted		3	mk_noble	2	false	earl_ger_t3_gothic_dismounted	160	0	1143	att_cor_heavy_rom	1	20	200	0	1143			343	elite	-1		false	false	0	2023120044032	false		roman_christian	att_inf_polearm_shock_land	att_special_transportship_naval	3
mk_ant_t3_knights_dismounted		0	mk_noble	2	false	mk_ant_t3_knights_dismounted	160	0	1143	att_cor_heavy_rom	1	20	200	0	1143			343	well_trained	-1		false	false	0	41116	false		roman_christian	att_inf_polearm_shock_land	att_special_transportship_naval	3
mk_ara_t3_halberdier_maa		0	mk_noble	2	false	mk_ara_t3_halberdier_maa	160	0	1038	att_cor_heavy_rom	1	20	200	0	1038			311	well_trained	-1		false	false	0	16329	false		roman_christian	att_inf_polearm_land	att_special_transportship_naval	3
mk_aus_t3_knight_dismounted		0	mk_noble	2	false	mk_aus_t3_knight_dismounted	160	0	1143	att_cor_heavy_rom	1	20	200	0	1143			343	well_trained	-1		false	false	0	19950	false		roman_christian	att_inf_polearm_shock_land	att_special_transportship_naval	3
mk_brab_t3_dismounted_duke_guard		0	mk_noble	3	false	mk_brab_t3_dismounted_duke_guard	160	0	1283	att_cor_heavy_rom	1	20	200	0	1283			385	well_trained	-1		false	false	0	39609	false		roman_christian	att_inf_polearm_shock_land	att_special_transportship_naval	3
mk_brab_t3_dismounted_knights		0	mk_noble	2	false	mk_brab_t3_dismounted_knights	160	0	1143	att_cor_heavy_rom	1	20	200	0	1143			343	well_trained	-1		false	false	0	19975	false		roman_christian	att_inf_polearm_shock_land	att_special_transportship_naval	3
mk_bur_t3_dismounted_chevaliers		0	mk_noble	2	false	mk_bur_t3_dismounted_chevaliers	160	0	1143	att_cor_heavy_rom	1	20	200	0	1143			343	well_trained	-1		false	false	0	19614	false		roman_christian	att_inf_polearm_shock_land	att_special_transportship_naval	3
mk_cas_t3_halberdiers_maa		0	mk_noble	2	false	mk_cas_t3_halberdiers_maa	160	0	1038	att_cor_heavy_rom	1	20	200	0	1038			311	well_trained	-1		false	false	0	17226	false		roman_christian	att_inf_polearm_land	att_special_transportship_naval	3
