unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/@@@@@@@@@@@@earl_supplyba_main_units																															
supply_wagon		0	mk_peasant	1	false	supply_wagon	3	0	1100	att_lon_light_tra_hun	1	1	4	0	1100			560	medium	-1		false	false	0	230720172	true		roman	supply_wagon	att_special_transportship_naval	1
supply_wagon_eur		0	mk_peasant	1	false	supply_wagon_eur	3	0	1100	att_lon_light_tra_hun	1	1	4	0	1100			560	medium	-1		false	false	0	231720172	true		roman	supply_wagon	att_special_transportship_naval	1
supply_wagon_afr		0	mk_peasant	1	false	supply_wagon_afr	2	0	1100	att_lon_light_tra_hun	1	1	4	0	1100			560	medium	-1		false	false	0	231720173	true		eastern_desert	supply_wagon	att_special_transportship_naval	1
supply_wagon_byz		0	mk_peasant	1	false	supply_wagon_byz	3	0	1100	att_lon_light_tra_hun	1	1	4	0	1100			560	medium	-1		false	false	0	231720174	true		eastern	supply_wagon	att_special_transportship_naval	1
supply_wagon_mon		0	mk_peasant	1	false	supply_wagon_mon	3	0	1100	att_lon_light_tra_hun	1	1	4	0	1100			560	medium	-1		false	false	0	231720175	true		nomad_hunnic	supply_wagon	att_special_transportship_naval	1
supply_wagon_mus		0	mk_peasant	1	false	supply_wagon_mus	2	0	1100	att_lon_light_tra_hun	1	1	4	0	1100			560	medium	-1		false	false	0	231720176	true		eastern_desert	supply_wagon	att_special_transportship_naval	1
supply_wagon_rus		0	mk_peasant	1	false	supply_wagon_rus	3	0	1100	att_lon_light_tra_hun	1	1	4	0	1100			560	medium	-1		false	false	0	231720177	true		eastern	supply_wagon	att_special_transportship_naval	1
supply_barrel		0	mk_peasant	1	false	supply_barrel	4	0	160	att_lon_heavy_tra_cel	1	1	4	0	160			0	medium	-1		false	false	0	230720173	true		roman	supply_barrel	att_special_transportship_naval	1
supply_barrel_eur		0	mk_peasant	1	false	supply_barrel_eur	4	0	160	att_lon_heavy_tra_cel	1	1	4	0	160			0	medium	-1		false	false	0	231720178	true		roman	supply_barrel	att_special_transportship_naval	1
